序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920371,欧福蛋业,10.25,29.91,2.36,284120.0,272779243.47,31.18,10.25,7.79,7.88,7.89,4.08,14.58,140.51,3.48,2105816744.0,1996798441.0,0.0,0.0,29.75,-0.1
2,688293,奥浦迈,68.29,20.0,11.38,85403.0,532219598.0,20.47,68.29,56.64,56.64,56.91,2.2,7.29,39.14,3.09,9710441850.0,8001245516.0,0.0,0.0,91.13,39.94
3,300788,中信出版,31.75,19.99,5.29,152853.0,474235860.2,8.81,31.75,29.42,29.89,26.46,2.66,8.04,39.17,2.69,6037310601.0,6037310601.0,0.0,0.0,26.7,16.69
4,688137,近岸蛋白,71.01,15.33,9.44,91625.0,600218979.0,23.36,73.88,59.5,61.0,61.57,1.77,13.1,-85.0,2.48,4964838338.0,4964838338.0,-0.01,0.71,100.03,77.3
5,688660,电气风电,8.95,14.6,1.14,932835.0,822062886.0,23.05,9.37,7.57,7.75,7.81,3.59,7.0,-11.02,3.3,11933333930.0,11933333930.0,0.0,-0.11,-7.06,-47.38
6,301206,三元生物,27.0,14.26,3.37,155750.0,415419497.86,10.2,27.59,25.18,25.18,23.63,13.25,11.95,54.2,1.3,5462793900.0,3517644321.0,0.19,0.26,14.16,4.65
7,300290,ST荣科,6.15,13.68,0.74,438137.0,256331792.48,13.12,6.16,5.45,5.5,5.41,2.41,6.85,-12.93,6.54,3934355299.0,3933476618.0,0.0,0.16,-38.0,-77.65
8,301080,百普赛斯,92.5,13.11,10.72,151518.0,1321173227.21,14.7,92.62,80.6,82.78,81.78,1.21,11.95,78.85,5.82,15510312865.0,11732455430.0,0.31,0.41,147.0,73.22
9,300553,集智股份,57.86,12.83,6.58,98302.0,550969340.13,16.03,58.88,50.66,51.3,51.28,1.52,11.55,2223.79,7.6,6423909219.0,4923261806.0,0.21,0.17,-16.0,43.43
10,688039,当虹科技,37.58,12.48,4.17,106993.0,410418498.0,16.58,40.09,34.55,34.55,33.41,4.06,9.67,-64.83,4.04,4156401514.0,4156401514.0,0.54,0.37,-11.41,-16.02
11,688690,纳微科技,41.4,12.1,4.47,222281.0,886468329.0,14.51,41.87,36.51,36.9,36.93,1.96,5.5,61.1,8.04,16717931271.0,16717931271.0,-0.02,0.0,3.24,61.03
12,920786,骑士乳业,9.73,11.97,1.04,359098.0,350735105.06,16.46,10.54,9.11,9.28,8.69,1.82,26.01,25.9,2.62,2034085690.0,1343240657.0,0.0,-0.51,38.01,-0.1
13,300505,川金诺,22.93,11.69,2.4,576289.0,1296004173.16,19.58,24.5,20.48,20.5,20.53,2.6,26.52,25.44,2.16,6302712302.0,4982680378.0,0.09,-0.09,1.01,4.27
14,688196,卓越新能,39.37,11.28,3.99,45978.0,175072669.0,12.52,39.5,35.07,35.07,35.38,1.96,3.61,155.7,1.61,5007501599.0,5007501599.0,0.0,-0.05,-1.58,-32.59
15,300381,溢多利,6.15,10.22,0.57,251311.0,149079080.2,10.22,6.16,5.59,5.6,5.58,2.21,5.25,-303.23,1.17,2953069245.0,2942487020.0,-0.16,-0.16,6.77,-4.95
16,000980,众泰汽车,1.84,10.18,0.17,3535313.0,642105600.74,8.98,1.84,1.69,1.69,1.67,2.57,7.01,57.71,47.56,9278287840.0,9278173944.0,0.0,0.0,-23.01,-47.88
17,002285,世联行,2.6,10.17,0.24,1575880.0,394771728.42,9.75,2.6,2.37,2.38,2.36,1.32,7.96,-76.18,2.4,5181355499.0,5145424391.0,0.0,1.56,5.26,-8.77
18,600691,潞化科技,3.36,10.16,0.31,1742259.0,561832566.0,11.48,3.36,3.01,3.03,3.05,1.08,7.33,86.98,2.49,7983299359.0,7981968799.0,0.0,0.0,29.23,21.74
19,600881,亚泰集团,2.07,10.11,0.19,2564175.0,516272600.0,10.11,2.07,1.88,1.88,1.88,2.42,7.93,-6.95,63.31,6690552545.0,6690552545.0,0.0,0.0,22.49,11.29
20,600792,云煤能源,4.47,10.1,0.41,500021.0,215516085.0,9.85,4.47,4.07,4.07,4.06,0.61,4.51,-9.98,2.17,4961358492.0,4961358492.0,0.0,0.0,7.45,15.21
21,600880,博瑞传播,4.58,10.1,0.42,147054.0,67350576.0,0.0,4.58,4.58,4.58,4.16,0.7,1.35,-44.91,1.7,5007460981.0,5006078202.0,0.0,0.0,10.9,-7.29
22,000911,*ST广糖,6.66,10.08,0.61,204729.0,135759636.0,2.48,6.66,6.51,6.6,6.05,1.11,5.11,-83.17,-32.38,2666129988.0,2666129988.0,0.0,0.0,43.23,-8.89
23,000679,大连友谊,7.21,10.08,0.66,159334.0,110322664.17,10.23,7.21,6.54,6.57,6.55,2.69,4.47,-41.09,20.42,2569644000.0,2569644000.0,0.0,0.0,18.78,1.26
24,002790,瑞尔特,6.99,10.08,0.64,121235.0,82816843.32,10.55,6.99,6.32,6.36,6.35,1.6,4.65,-138.09,1.43,2920927377.0,1822275525.0,0.0,0.0,16.31,-16.59
25,002349,精华制药,8.42,10.07,0.77,831055.0,670654646.42,12.55,8.42,7.46,7.65,7.65,1.24,10.21,25.7,2.48,6998100353.0,6855403245.0,0.0,0.0,28.94,17.43
26,002702,海欣食品,6.79,10.05,0.62,889298.0,598325975.74,7.13,6.79,6.35,6.79,6.17,4.02,19.39,-128.36,3.73,3773610400.0,3114870063.0,0.0,0.0,36.62,-4.63
27,000020,深华发Ａ,13.7,10.04,1.25,109546.0,145809893.9,10.76,13.7,12.36,12.36,12.45,1.45,6.05,230.75,8.67,3879308810.0,2481965857.0,0.0,0.0,14.64,-1.23
28,002068,黑猫股份,9.1,10.04,0.83,539696.0,478781728.74,10.04,9.1,8.27,8.3,8.27,2.34,7.34,-31.45,2.71,6691641284.0,6688552971.0,0.0,0.0,-9.81,3.17
29,002357,富临运业,12.6,10.04,1.15,249118.0,305680052.4,11.09,12.6,11.33,11.49,11.45,4.05,7.95,6.24,1.95,3949961854.0,3949820104.0,0.0,0.0,33.62,18.09
30,002295,精艺股份,10.53,10.03,0.96,173031.0,180588436.46,3.97,10.53,10.15,10.22,9.57,1.06,6.91,333.77,2.04,2638986480.0,2636995520.0,0.0,0.0,5.41,-20.95
31,002194,武汉凡谷,11.08,10.03,1.01,524703.0,572503985.53,6.95,11.08,10.38,10.59,10.07,2.82,10.2,3105.72,3.03,7570806730.0,5702290422.0,0.0,0.0,-4.15,-15.1
32,000978,桂林旅游,8.01,10.03,0.73,255502.0,204578866.1,0.14,8.01,8.0,8.0,7.28,0.79,5.46,305.51,3.48,3749721300.0,3749653720.0,0.0,0.0,33.95,10.64
33,002274,华昌化工,6.69,10.03,0.61,778370.0,498583868.35,11.68,6.69,5.98,6.06,6.08,0.93,8.3,25.88,1.21,6371319482.0,6274210680.0,0.0,0.0,25.52,20.54
34,000059,华锦股份,6.15,10.02,0.56,884825.0,521373764.7,10.2,6.15,5.58,5.59,5.59,0.86,5.53,13.47,0.98,9836571603.0,9836389870.0,0.0,0.0,44.71,14.95
