排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日打二板以上表现,BK1645,24060.13,1853.76,8.35,35410748000,5.03,5,0,百大集团,10.01
2,昨日连板_含一字,BK1051,95154.52,5907.19,6.62,80023158000,10.75,12,1,百大集团,10.01
3,昨日连板,BK0816,42704.82,2417.16,6.0,65969836000,12.84,10,1,百大集团,10.01
4,代糖概念,BK0938,1193.32,62.18,5.5,171533756000,3.46,15,1,红棉股份,10.0
5,草甘膦,BK0950,1790.38,89.84,5.28,189090525000,5.29,13,0,和邦生物,10.0
6,题材股,BK1717,1437.74,53.21,3.84,767252176000,18.03,37,11,百大集团,10.01
7,资源开采概念,BK1017,1709.42,61.67,3.74,3258366784000,0.5,24,2,中曼石油,9.98
8,低碳冶金,BK0979,952.3,34.34,3.74,254401802000,0.9,7,0,中钢国际,9.96
9,CRO,BK0899,2212.39,74.98,3.51,1119797232000,3.89,44,5,奥浦迈,20.0
10,转基因,BK0907,1667.28,56.37,3.5,171297439000,7.39,17,3,敦煌种业,9.97
11,供销社概念,BK1109,1147.88,37.81,3.41,230660874000,5.21,19,2,敦煌种业,9.97
12,调味品概念,BK1026,1057.33,34.71,3.39,661452512000,3.06,28,4,中粮糖业,9.99
13,磷化工,BK1010,1020.44,33.28,3.37,1307051456000,3.23,43,7,川发龙蟒,10.01
14,重组蛋白,BK1063,1005.77,32.46,3.34,410833456000,2.46,30,4,奥浦迈,20.0
15,生态农业,BK0669,1553.31,49.28,3.28,365810688000,3.71,46,1,亚盛集团,10.0
16,粮食概念,BK1086,885.5,27.97,3.26,451785040000,6.85,32,5,亚盛集团,10.0
17,农业种植,BK0888,2635.67,81.69,3.2,794131936000,5.53,74,12,亚盛集团,10.0
18,煤化工概念,BK0492,11542.98,348.13,3.11,3124314512000,1.94,71,7,泸天化,10.0
19,农药兽药,BK0730,1277.2,38.3,3.09,324431968000,3.3,45,4,新安股份,10.02
20,土地流转,BK0632,1880.84,53.92,2.95,431666272000,3.83,43,2,亚盛集团,10.0
21,化工原料,BK0512,29342.81,825.83,2.9,1946965232000,3.03,85,8,三孚股份,10.0
22,昨日涨停_含一字,BK1050,163962.7,4500.89,2.82,1941735136000,11.67,60,34,百大集团,10.01
23,长寿药,BK0936,1119.62,29.7,2.72,147902409000,3.72,14,0,雅本化学,9.13
24,昨日涨停,BK0815,199.54,5.29,2.72,1910121792000,11.95,57,33,百大集团,10.01
25,油气设服,BK0606,2150.36,52.4,2.5,2297601472000,2.08,45,8,中曼石油,9.98
26,数字阅读,BK0959,1600.08,38.39,2.46,179499368000,2.6,17,2,中信出版,19.99
27,页岩气,BK0603,2663.74,64.02,2.46,3202380880000,0.59,27,5,通源石油,8.15
28,天然气,BK0843,1782.74,40.5,2.32,6108393472000,1.04,112,18,泸天化,10.0
29,东方财富热股,BK1637,3726.4,82.01,2.25,8161334272000,10.27,58,41,百大集团,10.01
30,可燃冰,BK0818,1554.17,34.14,2.25,224751097000,1.31,7,2,石化油服,5.38
31,合成生物,BK1174,1318.97,28.88,2.24,1491737984000,3.58,108,16,华康股份,10.01
32,啤酒概念,BK1073,1209.66,26.29,2.22,232810570000,2.19,14,4,红棉股份,10.0
33,低价股,BK1053,1139.21,24.08,2.16,1976332032000,1.86,176,15,金正大,10.0
34,油气资源,BK1649,851.72,17.83,2.14,6382188288000,1.08,131,25,贵州燃气,10.02
35,租售同权,BK0822,689.12,14.04,2.08,338085632000,2.84,18,5,深物业A,9.97
36,阿兹海默,BK0894,1934.54,38.44,2.03,239883548000,4.18,19,2,赤天化,9.98
37,创新医疗服务,BK1658,971.79,19.24,2.02,1602314576000,2.38,69,9,ST荣科,13.68
38,昨日首板,BK1630,6407.1,125.82,2.0,1779324976000,9.48,42,30,读者传媒,9.95
39,AI语料,BK1172,1085.86,21.02,1.97,467690800000,4.84,27,8,中国出版,9.98
40,毛发医疗,BK0996,1024.69,19.62,1.95,159049499000,2.99,18,2,澳洋健康,9.94
41,REITs概念,BK0992,768.74,14.61,1.94,622961040000,1.71,22,0,世联行,10.17
42,知识产权,BK0839,2151.37,40.65,1.93,360083424000,5.34,32,11,读者传媒,9.95
43,乡村振兴,BK0834,1644.19,31.07,1.93,3260815584000,4.03,114,32,亚盛集团,10.0
44,CAR-T细胞疗法,BK0986,1214.6,22.73,1.91,888240288000,2.03,27,4,百普赛斯,13.11
45,北交所概念,BK0925,2245.76,41.51,1.88,324104768000,4.62,18,5,金正大,10.0
46,稀缺资源,BK0519,37303.87,687.0,1.88,5291019776000,1.82,64,16,云煤能源,10.1
47,最近多板,BK1638,2412.73,43.47,1.83,2220491408000,11.78,74,57,百大集团,10.01
48,人造肉,BK0866,1364.51,24.42,1.82,200896427000,5.23,14,4,美盈森,6.1
49,培育钻石,BK1023,3008.58,53.69,1.82,294215504000,4.7,15,5,沃尔德,9.5
50,京津冀,BK0684,1748.85,31.34,1.82,720251968000,2.18,45,14,金牛化工,10.02
51,维生素,BK0895,1958.95,34.58,1.8,481506496000,3.19,29,3,兄弟科技,5.84
52,黄金概念,BK0547,20660.02,360.01,1.77,3316483712000,2.76,58,14,和邦生物,10.0
53,环氧丙烷,BK1011,696.2,12.14,1.77,640269808000,2.12,20,3,中化国际,5.64
54,水产概念,BK0967,978.32,16.85,1.75,324678896000,5.09,14,3,百洋股份,7.4
55,股权转让,BK0803,764.43,13.16,1.75,188006201000,3.14,27,11,敦煌种业,9.97
56,工业大麻,BK0856,1927.48,32.94,1.74,387147152000,2.74,26,8,雅本化学,9.13
57,肝素概念,BK0944,850.98,14.5,1.73,184654127000,1.4,12,1,丰原药业,4.15
58,反内卷概念,BK1197,1043.25,17.77,1.73,5093040384000,1.55,127,29,云煤能源,10.1
59,乳业,BK0892,1104.33,18.74,1.73,436423712000,3.4,24,7,骑士乳业,11.97
60,中药概念,BK0615,2246.69,37.52,1.7,1774109840000,3.4,125,19,亚泰集团,10.11
61,滨海新区,BK0566,10648.32,178.42,1.7,209259442000,1.78,20,1,天保基建,4.2
62,社区团购,BK0965,904.93,15.12,1.7,508842688000,4.9,29,8,中百集团,10.0
63,低市净率,BK1723,1079.83,17.88,1.68,15600338688000,0.63,188,8,我爱我家,9.9
64,东北振兴,BK0838,1201.79,19.79,1.67,692995872000,2.15,43,13,大连友谊,10.08
65,辅助生殖,BK0939,1072.73,17.46,1.65,507461376000,2.67,48,6,澳洋健康,9.94
66,味蕾经济,BK1653,935.63,15.14,1.64,3495983072000,2.04,67,20,海欣食品,10.05
67,AB股,BK0498,11889.69,189.82,1.62,1269642528000,1.67,58,11,深华发Ａ,10.04
68,病原体防治,BK1657,967.49,15.38,1.62,1683228720000,3.44,143,25,精华制药,10.07
69,医废处理,BK0914,1282.36,20.4,1.62,213295498000,2.35,26,6,中钢国际,9.96
70,微利股,BK1642,871.65,13.62,1.59,771759136000,2.97,72,27,中国出版,9.98
71,流感,BK0906,1657.93,25.85,1.58,1448434688000,2.93,111,18,精华制药,10.07
72,破净股,BK1112,1483.63,22.86,1.56,22996967168000,0.6,365,25,中粮科技,10.0
73,病毒防治,BK0675,2640.5,40.31,1.55,1227185488000,1.75,96,12,东亚药业,10.02
74,基因测序,BK0693,1847.65,28.08,1.54,435807984000,2.89,40,6,百奥赛图,7.76
75,海南自贸,BK1193,977.8,14.6,1.52,1318095008000,2.41,70,15,新 华 都,9.99
76,中字头,BK0505,9072.96,134.8,1.51,16489765376000,0.43,80,20,中国出版,9.98
77,航母概念,BK0715,974.45,14.5,1.51,1132192016000,1.51,26,6,航发科技,8.51
78,AI制药（医疗）,BK1170,1341.47,19.79,1.5,1216721184000,2.3,61,17,ST荣科,13.68
79,参股银行,BK0525,12309.75,179.86,1.48,11790300160000,1.16,172,51,博瑞传播,10.1
80,中俄贸易概念,BK1072,1609.37,23.36,1.47,667804672000,2.32,64,19,众泰汽车,10.18
81,肝炎概念,BK1078,1393.66,20.14,1.47,611096272000,5.45,46,11,福瑞医科,8.34
82,旅游概念,BK0692,1606.81,23.31,1.47,563934560000,3.83,48,12,博瑞传播,10.1
83,预制菜概念,BK1025,1156.86,16.42,1.44,627378000000,5.86,47,18,海欣食品,10.05
84,生物质能发电,BK1098,1106.58,15.63,1.43,265490063000,1.73,29,4,高能环境,5.1
85,长期破净,BK1635,959.5,13.46,1.42,15197039872000,0.63,162,21,我爱我家,9.9
