排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,粮食种植,BK1515,1092.29,79.06,7.8,39587199000,5.47,2,0,苏垦农发,9.97
2,房产租赁经纪,BK1341,1581.85,110.81,7.53,20915151000,14.13,3,0,我爱我家,9.9
3,磷肥及磷化工,BK1435,3327.77,218.07,7.01,209115148000,5.6,9,0,川发龙蟒,10.01
4,其他农产品加工,BK1505,2853.51,185.46,6.95,91969604000,4.95,13,0,中粮科技,10.0
5,学历教育,BK1558,2081.45,133.17,6.84,10631386000,2.92,2,0,国脉科技,10.01
6,氮肥,BK1432,2277.6,142.22,6.66,100186773000,6.58,6,0,泸天化,10.0
7,教育运营及其他,BK1556,1173.44,71.78,6.52,14431214000,9.11,2,0,博瑞传播,10.1
8,焦炭Ⅲ,BK1492,846.54,47.99,6.01,58231709000,3.33,7,0,云煤能源,10.1
9,焦炭Ⅱ,BK1249,846.54,47.99,6.01,58231709000,3.33,7,0,云煤能源,10.1
10,大众出版,BK1289,1850.25,92.62,5.27,132111440000,3.69,17,0,读者传媒,9.95
11,油田服务,BK1573,1777.43,84.71,5.0,168894764000,1.47,8,0,中曼石油,9.98
12,煤化工,BK1419,2125.03,99.01,4.89,265917947000,2.98,10,0,华昌化工,10.03
13,油服工程,BK1275,2026.05,91.26,4.72,243770871000,1.76,14,0,中曼石油,9.98
14,农产品加工,BK1256,2601.62,116.63,4.69,320753984000,7.09,27,1,中粮科技,10.0
15,其他种植业,BK1516,1257.45,55.83,4.65,56817812000,8.27,4,1,亚盛集团,10.0
16,农化制品,BK0731,1812.98,80.09,4.62,950865216000,4.82,61,2,泸天化,10.0
17,风电整机,BK1314,1369.0,59.46,4.54,137164468000,2.57,5,0,电气风电,14.6
18,复合肥,BK1433,3654.29,156.38,4.47,86221053000,6.7,9,1,金正大,10.0
19,出版,BK1218,2070.97,87.02,4.39,256394023000,2.85,27,0,读者传媒,9.95
20,油气及炼化工程,BK1572,1903.51,79.04,4.33,74876106000,2.42,6,0,通源石油,8.15
21,农药,BK1436,3104.07,118.02,3.95,228852014000,4.04,33,1,新安股份,10.02
22,铜,BK1615,4089.56,151.97,3.86,1985731440000,2.78,17,0,精艺股份,10.03
23,油气开采Ⅲ,BK1574,3612.04,129.51,3.72,1700788368000,1.91,5,0,新潮能源,5.2
24,油气开采Ⅱ,BK1276,3612.04,129.51,3.72,1700788368000,1.91,5,0,新潮能源,5.2
25,种植业,BK1261,3184.29,114.16,3.72,180387816000,10.68,17,4,亚盛集团,10.0
26,医疗研发外包,BK1600,8406.84,299.0,3.69,928243264000,5.47,27,2,万邦医药,8.71
27,农业综合Ⅲ,BK1506,2532.44,89.47,3.66,11195810000,5.31,3,0,润农节水,4.08
28,农业综合Ⅱ,BK1257,2532.44,89.47,3.66,11195810000,5.31,3,0,润农节水,4.08
29,石油石化,BK0464,7013.28,240.41,3.55,5334870784000,0.62,45,4,中曼石油,9.98
30,食用菌,BK1517,1471.2,50.12,3.53,13721554000,10.61,4,0,华绿生物,3.97
31,炼油化工,BK1569,3932.45,132.77,3.49,3235446864000,0.3,9,1,华锦股份,10.02
32,国际工程,BK1475,2565.16,84.61,3.41,51316686000,2.23,4,0,中钢国际,9.96
33,房地产综合服务,BK1342,1420.04,45.68,3.32,4125657000,2.42,1,0,珠江股份,3.32
34,综合Ⅲ,BK1627,12695.66,398.94,3.24,214043010000,3.86,20,2,红棉股份,10.0
35,综合,BK1217,12695.66,398.94,3.24,214043010000,3.86,20,2,红棉股份,10.0
36,综合Ⅱ,BK0539,12695.66,398.94,3.24,214043010000,3.86,20,2,红棉股份,10.0
37,炭黑,BK1442,1871.75,58.45,3.22,26755631000,3.39,6,0,黑猫股份,10.04
38,食品及饲料添加剂,BK1429,2185.67,67.46,3.18,240084938000,2.31,21,3,华康股份,10.01
39,长材,BK1369,537.45,16.23,3.11,18245869000,1.04,3,0,三钢闽光,3.36
40,其他数字媒体,BK1295,971.66,29.3,3.11,11019841000,17.5,2,0,风语筑,3.53
41,房地产服务,BK1045,1156.54,34.23,3.05,69966309000,6.06,13,2,我爱我家,9.9
42,其他化学原料,BK1420,3294.29,96.61,3.02,178683034000,2.16,16,2,三孚股份,10.0
43,教育,BK0740,644.91,18.87,3.01,88165829000,4.88,14,2,博瑞传播,10.1
44,炼化及贸易,BK1274,3689.18,106.65,2.98,3390311648000,0.4,26,4,和顺石油,10.0
45,煤炭,BK0437,14457.9,416.98,2.97,2354027184000,1.67,32,2,云煤能源,10.1
46,粮油加工,BK1504,1681.75,48.47,2.97,183539875000,17.22,9,0,金健米业,9.31
47,板材,BK1367,836.78,24.0,2.95,468622080000,0.96,18,0,本钢板材,5.65
48,油品石化贸易,BK1571,3238.11,92.37,2.94,29093838000,3.29,4,2,和顺石油,10.0
49,普钢,BK1226,766.02,21.55,2.89,512681808000,1.04,24,0,本钢板材,5.65
50,教育出版,BK1290,2274.51,63.76,2.88,124282583000,1.89,10,0,龙版传媒,9.12
51,医疗服务,BK0727,1428.24,39.53,2.85,1185204000000,3.38,49,5,澳洋健康,9.94
52,原料药,BK1595,3915.94,103.8,2.72,357476192000,2.54,42,4,永安药业,9.99
53,疫苗,BK1598,4187.57,109.44,2.68,174735772000,2.26,13,0,*ST康乐,6.63
54,门户网站,BK1294,3193.84,82.27,2.64,115111768000,5.67,7,2,生 意 宝,9.98
55,其他石化,BK1570,3063.87,78.35,2.62,125770953000,2.19,13,1,东华能源,5.45
56,种子,BK1518,5456.36,133.79,2.51,70261249000,15.93,7,3,敦煌种业,9.97
57,燃料电池,BK1305,269.22,6.6,2.51,4416169000,1.94,1,0,亿华通-U,2.51
58,焦煤,BK1494,1305.3,31.56,2.48,224238720000,1.62,10,0,辽宁能源,4.4
59,有机硅,BK1431,3400.26,81.47,2.45,100512804000,4.33,9,1,集泰股份,9.96
60,地面兵装Ⅲ,BK1382,3872.99,91.99,2.43,145859447000,4.76,11,1,北方长龙,6.5
61,地面兵装Ⅱ,BK1229,3872.99,91.99,2.43,145859447000,4.76,11,1,北方长龙,6.5
62,农林牧渔,BK0433,16329.7,387.57,2.43,1361518176000,6.27,91,22,亚盛集团,10.0
63,农用机械,BK1404,1892.74,44.68,2.42,48535691000,2.48,9,1,丰安股份,8.58
64,化学原料,BK1019,1091.57,25.68,2.41,847870720000,2.16,55,9,三孚股份,10.0
65,果蔬加工,BK1503,3114.12,72.67,2.39,45244499000,3.64,5,1,安德利,5.58
66,医院,BK1601,6544.83,151.85,2.38,188751544000,2.38,13,2,澳洋健康,9.94
67,钢铁,BK0479,8155.29,188.68,2.37,860071552000,1.07,43,3,本钢板材,5.65
68,铁矿石,BK1371,1798.7,41.49,2.36,87610293000,2.77,5,1,河钢资源,4.96
69,钢铁管材,BK1368,602.47,13.76,2.34,25813864000,2.84,3,0,新兴铸管,4.1
70,汽车综合服务,BK1524,1188.29,27.09,2.33,15889105000,2.27,3,0,阿尔特,2.82
71,锦纶,BK1414,605.15,13.74,2.32,23824220000,1.4,5,0,恒申新材,4.1
72,燃气Ⅲ,BK1381,2000.81,45.4,2.32,274340480000,1.84,27,4,贵州燃气,10.02
73,燃气Ⅱ,BK1028,2000.81,45.4,2.32,274340480000,1.84,27,4,贵州燃气,10.02
74,住宅开发,BK1346,1960.57,44.45,2.32,563865584000,2.39,58,5,香江控股,10.0
75,超市,BK1552,1814.84,41.02,2.31,72890649000,5.78,5,2,中百集团,10.0
76,海洋捕捞,BK1513,1192.83,26.92,2.31,6991140000,13.56,3,0,中水渔业,3.32
77,水产饲料,BK1509,6646.8,149.85,2.31,88545906000,3.55,3,1,百洋股份,7.4
78,生物制品,BK1044,1011.99,22.42,2.27,860096624000,1.68,50,8,奥浦迈,20.0
79,钾肥,BK1434,2337.58,51.4,2.25,326490224000,1.17,4,0,藏格矿业,3.05
80,乳品,BK1585,2400.9,52.16,2.22,261260155000,2.06,16,3,骑士乳业,11.97
81,煤炭开采,BK1250,1990.69,42.5,2.18,2295795488000,1.42,25,2,广汇能源,7.61
82,其他生物制品,BK1596,7904.0,167.56,2.17,599702704000,1.86,32,7,奥浦迈,20.0
83,房地产,BK1202,2035.63,42.38,2.13,961734752000,2.34,93,9,香江控股,10.0
84,原材料供应链服务,BK1490,3006.21,61.97,2.1,111392483000,1.24,11,1,远大控股,5.68
85,影视动漫制作,BK1299,3856.94,79.05,2.09,139663660000,6.56,11,3,慈文传媒,9.95
86,工业金属,BK1287,3425.92,69.08,2.06,3091120736000,2.37,52,5,精艺股份,10.03
87,冶钢原料,BK1228,3829.76,76.74,2.04,175785483000,1.26,9,1,河钢资源,4.96
88,大宗用纸,BK1544,2001.92,39.55,2.02,93252779000,1.52,10,2,ST晨鸣B,6.78
89,血液制品,BK1597,4364.36,86.0,2.01,85658150000,0.95,5,1,天坛生物,3.92
90,动力煤,BK1493,2539.95,49.98,2.01,2071556768000,1.36,15,2,广汇能源,7.61
91,百货,BK1551,2234.98,43.86,2.0,135824519000,6.13,15,4,百大集团,10.01
92,纺织鞋类制造,BK1347,391.96,7.65,1.99,38884440000,0.22,1,0,华利集团,1.99
93,影视院线,BK1222,3714.43,72.36,1.99,177308208000,5.95,15,3,慈文传媒,9.95
94,铅锌,BK1614,2639.81,50.98,1.97,197898278000,2.78,10,0,锌业股份,3.46
95,房地产开发,BK0451,14243.03,273.85,1.96,891768432000,2.01,80,7,香江控股,10.0
96,传媒,BK0486,10348.5,198.38,1.95,1521758864000,4.07,103,24,读者传媒,9.95
97,钛白粉,BK1421,1864.38,35.62,1.95,66364489000,1.85,6,0,鲁北化工,3.88
98,预加工食品,BK1581,6742.11,128.63,1.94,62677003000,5.74,8,3,海欣食品,10.05
99,饮料乳品,BK1282,2401.43,45.62,1.94,438020096000,2.04,21,6,骑士乳业,11.97
100,物业管理,BK1343,1832.81,34.29,1.91,44925501000,1.82,9,2,特发服务,4.73
101,氯碱,BK1418,2223.7,40.53,1.86,155189863000,1.73,14,1,华塑股份,3.86
102,航空装备Ⅲ,BK1384,4323.42,78.01,1.84,1169164080000,2.08,42,7,航发科技,8.51
103,航空装备Ⅱ,BK1231,4323.42,78.01,1.84,1169164080000,2.08,42,7,航发科技,8.51
104,渔业,BK1260,1089.44,19.63,1.83,20341060000,8.3,6,1,中水渔业,3.32
105,纯碱,BK1417,1027.22,18.48,1.83,49164291000,1.81,5,0,双环科技,2.78
106,水泥制品,BK1463,2114.88,37.74,1.82,30168184000,1.62,8,1,龙泉股份,2.73
107,金融信息服务,BK1360,5558.61,99.04,1.81,40501151000,7.3,3,0,翠微股份,4.42
108,培训教育,BK1557,5062.19,89.24,1.79,63103228000,4.01,10,2,ST东时,4.9
109,其他能源发电,BK1378,1499.7,26.03,1.77,11193305000,0.8,2,0,长青集团,1.84
110,橡胶,BK1018,1499.41,25.93,1.76,123003011000,3.18,18,4,黑猫股份,10.04
111,人力资源服务,BK1568,1952.67,33.74,1.76,21895358000,0.79,3,0,外服控股,2.81
112,图片媒体,BK1297,3039.68,52.38,1.75,12603388000,9.21,1,0,视觉中国,1.75
113,管材,BK1466,1954.35,32.86,1.71,34839558000,1.68,6,1,青龙管业,6.27
114,农商行Ⅲ,BK1612,477.94,7.87,1.67,269585584000,1.13,10,0,张家港行,2.32
115,畜禽饲料,BK1508,2156.65,35.47,1.67,87411263000,4.69,7,1,邦基科技,5.22
116,饲料,BK1258,3727.59,61.27,1.67,206509652000,4.39,13,3,百洋股份,7.4
117,金融控股,BK1359,2093.64,34.34,1.67,248122408000,1.08,9,0,新力金融,5.62
118,体育Ⅲ,BK1564,869.89,14.23,1.66,16402920000,1.74,3,0,力盛体育,2.88
119,体育Ⅱ,BK1273,869.89,14.23,1.66,16402920000,1.74,3,0,力盛体育,2.88
120,汽车服务,BK1016,973.13,15.81,1.65,35530872000,1.48,8,0,阿尔特,2.9
121,中药Ⅲ,BK1608,1375.33,22.31,1.65,766869744000,2.44,57,9,精华制药,10.07
122,中药Ⅱ,BK1040,1375.33,22.31,1.65,766869744000,2.44,57,9,精华制药,10.07
123,电能综合服务,BK1373,3296.55,53.37,1.65,204405760000,0.96,15,0,山高环能,4.74
124,贸易Ⅲ,BK1550,10072.07,162.63,1.64,143303034000,1.07,13,1,怡 亚 通,3.9
125,贸易Ⅱ,BK0484,10072.07,162.63,1.64,143303034000,1.07,13,1,怡 亚 通,3.9
126,院线,BK1300,622.2,9.91,1.62,37644547000,3.04,4,0,金逸影视,2.19
127,基础化工,BK1206,3747.4,59.31,1.61,4727515136000,2.98,330,114,三孚股份,10.0
128,水泥,BK0424,26668.62,421.35,1.61,285588416000,1.0,20,3,万年青,6.05
129,电视广播Ⅲ,BK1291,1285.58,20.16,1.59,130497897000,2.35,12,1,吉视传媒,3.91
130,电视广播Ⅱ,BK1219,1285.58,20.16,1.59,130497897000,2.35,12,1,吉视传媒,3.91
131,特钢Ⅲ,BK1370,2064.05,32.19,1.58,171604265000,1.12,10,2,抚顺特钢,5.08
132,特钢Ⅱ,BK1227,2064.05,32.19,1.58,171604265000,1.12,10,2,抚顺特钢,5.08
133,冶钢辅料,BK1372,6226.41,96.24,1.57,88175190000,0.88,4,0,鄂尔多斯,1.91
134,热力服务,BK1379,3363.02,51.52,1.56,135129932000,2.79,15,3,金房能源,7.64
135,磨具磨料,BK1397,9225.29,139.55,1.54,145977315000,8.22,10,4,沃尔德,9.5
136,数字媒体,BK1221,6921.8,103.22,1.51,207073549000,9.45,11,4,生 意 宝,9.98
137,造纸,BK1267,2526.56,37.6,1.51,166351414000,3.8,21,4,ST晨鸣B,6.78
138,公用事业,BK0427,9570.76,141.74,1.5,4192553056000,0.97,127,14,贵州燃气,10.02
139,营销代理,BK1293,4726.16,69.91,1.5,226159351000,7.18,23,4,新 华 都,9.99
140,其他养殖,BK1510,1059.32,15.57,1.49,11043030000,3.45,3,0,华英农业,1.81
141,零食,BK1583,1899.42,27.88,1.49,96198853000,4.59,10,1,好想你,4.18
142,其他家电Ⅲ,BK1456,1196.82,17.54,1.49,10467101000,1.59,3,0,荣泰健康,2.35
143,其他家电Ⅱ,BK1243,1196.82,17.54,1.49,10467101000,1.59,3,0,荣泰健康,2.35
144,自然景区,BK1563,3162.02,46.31,1.49,64006436000,4.77,12,1,桂林旅游,10.03
145,水产养殖,BK1514,726.98,10.59,1.48,13349919000,7.26,3,1,好当家,2.77
146,医药生物,BK1216,4684.2,68.03,1.47,6734445056000,2.52,410,91,永安药业,9.99
147,厨房小家电,BK1457,2109.79,30.55,1.47,72019378000,1.53,6,4,爱仕达,9.99
148,广告营销,BK1220,4946.81,71.63,1.47,305506480000,4.56,25,5,新 华 都,9.99
149,水泥制造,BK1464,2104.68,30.47,1.47,255420225000,0.89,12,2,万年青,6.05
150,化学制药,BK0465,36462.28,526.14,1.46,2324401072000,3.15,127,29,永安药业,9.99
151,厨房电器,BK1451,8738.9,125.34,1.46,35016938000,1.86,4,1,亿田智能,6.21
152,林业Ⅲ,BK1502,5057.54,71.82,1.44,23107759000,17.74,4,0,福建金森,2.69
153,林业Ⅱ,BK1255,5057.54,71.82,1.44,23107759000,17.74,4,0,福建金森,2.69
154,多元金融,BK0738,602.4,8.54,1.44,522598656000,1.23,26,0,新力金融,5.62
155,光伏发电,BK1375,3229.21,45.21,1.42,123069350000,2.05,12,1,金开新能,3.12
156,娱乐用品,BK1543,2706.57,37.89,1.42,72097952000,3.35,12,3,通达创智,6.02
157,楼宇设备,BK1402,2391.4,33.47,1.42,79955214000,1.61,13,3,梅轮电梯,7.78
158,厨卫电器,BK1240,5934.09,82.99,1.42,50585544000,1.95,7,1,亿田智能,6.21
159,调味发酵品Ⅲ,BK1576,5017.21,69.76,1.41,344586944000,2.59,11,4,安记食品,6.37
160,调味发酵品Ⅱ,BK1278,5017.21,69.76,1.41,344586944000,2.59,11,4,安记食品,6.37
161,医药流通,BK1607,2148.19,29.8,1.41,229395623000,2.01,21,1,百洋医药,6.7
162,商业物业经营,BK1554,1824.42,25.19,1.4,196826540000,1.51,14,3,浙江东日,6.46
163,一般零售,BK0482,18024.18,245.86,1.38,474497392000,4.02,46,12,百大集团,10.01
164,综合乘用车,BK1520,2510.95,33.81,1.36,383536672000,0.53,6,0,海马汽车,2.52
165,期货,BK1361,518.78,6.93,1.35,50237843000,1.32,4,0,弘业期货,2.62
166,水务及水治理,BK1390,2068.49,27.6,1.35,286613344000,1.39,41,9,祥龙电业,10.02
167,卫浴电器,BK1452,1404.15,18.63,1.34,15568605000,2.1,3,0,奥普科技,1.77
168,洗护用品,BK1496,582.52,7.69,1.34,19592849000,2.14,2,2,两面针,3.15
169,汽车经销商,BK1523,1431.96,18.54,1.31,19641767000,1.1,5,0,上海物贸,2.28
170,化学制品,BK0538,32146.29,413.26,1.3,1733562624000,2.72,131,48,百合花,9.99
171,风力发电,BK1374,1989.7,25.42,1.29,720359120000,0.82,14,1,云南能投,4.08
172,其他橡胶制品,BK1441,4362.26,55.66,1.29,55379527000,3.34,10,4,三维装备,5.56
