排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,鸡肉概念,BK0887,730.65,31.38,4.49,332394848000,1.68,20,0,益生股份,10.02
2,乳业,BK0892,1008.31,38.28,3.95,416185968000,2.31,31,1,益生股份,10.02
3,历史新高,BK1675,1615.14,60.07,3.86,210614674000,8.32,5,1,爱丽家居,9.99
4,猪肉概念,BK0882,1172.82,43.61,3.86,737587120000,2.3,35,1,益生股份,10.02
5,CRO,BK0899,2241.03,77.02,3.56,1097097424000,7.1,34,7,百花医药,9.96
6,微盘精选,BK1644,863.49,29.21,3.5,122746788000,2.51,56,1,正弦电气,12.53
7,昨日首板,BK1630,5637.21,183.12,3.36,523092320000,10.0,27,17,秦安股份,10.02
8,微盘股,BK1158,3520.31,112.26,3.29,846069760000,3.04,391,10,贝肯能源,10.0
9,社区团购,BK0965,845.72,26.61,3.25,492821440000,1.96,35,3,一鸣食品,9.98
10,水产概念,BK0967,847.64,26.61,3.24,193959093000,3.29,14,2,百洋股份,10.04
11,钛白粉概念,BK0805,1376.74,41.41,3.1,199715875000,1.86,12,0,振华股份,7.03
12,昨日连板,BK0816,27965.75,825.39,3.04,363582256000,11.97,9,2,开开实业,10.02
13,预制菜概念,BK1025,1034.68,30.39,3.03,592748176000,2.32,62,3,百洋股份,10.04
14,味蕾经济,BK1653,898.99,25.84,2.96,3589539088000,2.22,86,4,一鸣食品,9.98
15,人造肉,BK0866,1268.92,36.43,2.96,194979605000,5.27,15,3,爱普股份,9.99
16,托育服务,BK1074,895.21,25.47,2.93,26279495000,1.7,6,0,ST易联众,8.54
17,黄金概念,BK0547,20668.23,582.18,2.9,3348282720000,3.0,59,12,鹏欣资源,10.03
18,调味品概念,BK1026,974.23,27.11,2.86,648276352000,2.44,31,2,爱普股份,9.99
19,民爆概念,BK1066,1555.66,43.07,2.85,364270976000,1.22,20,2,高争民爆,10.01
20,生态农业,BK0669,1428.01,38.24,2.75,271765184000,2.26,36,3,凯龙股份,10.05
21,统一大市场,BK1077,1244.16,33.2,2.74,406595376000,1.53,41,2,瑞康医药,9.87
22,百日新高,BK1676,1483.9,39.29,2.72,1527615504000,7.45,20,9,高争民爆,10.01
23,内贸流通,BK1001,1237.1,32.23,2.67,1300710272000,2.03,150,9,开开实业,10.02
24,昨日涨停,BK0815,172323.59,4470.71,2.66,1724393856000,10.28,41,30,开开实业,10.02
25,趋势股,BK1715,840.44,21.45,2.62,5376251648000,2.98,81,19,一鸣食品,9.98
26,近期新高,BK1674,1406.18,35.8,2.61,1824296624000,5.37,23,14,百花医药,9.96
27,户外露营,BK1079,1383.19,34.78,2.58,129698519000,2.0,22,3,趣睡科技,13.95
28,小金属概念,BK0695,4534.5,113.68,2.57,5597722624000,2.82,99,18,先导基电,10.01
29,SPD概念,BK1147,998.19,24.83,2.55,149597580000,2.93,13,0,开开实业,10.02
30,创新医疗服务,BK1658,996.52,24.8,2.55,1679486976000,3.54,69,9,开开实业,10.02
31,基因测序,BK0693,1863.23,46.11,2.54,438140320000,4.86,34,7,贝瑞基因,10.02
32,AI制药（医疗）,BK1170,1384.17,33.71,2.5,729221824000,4.69,49,12,贝瑞基因,10.02
33,啤酒概念,BK1073,1153.8,28.09,2.5,237323533000,2.04,19,0,品渥食品,10.61
34,新零售,BK0825,964.78,23.37,2.48,2250063008000,2.41,134,17,潮宏基,10.01
35,旅游酒店,BK0485,14255.23,343.13,2.47,313138768000,1.95,35,3,华天酒店,9.92
36,生物质能发电,BK1098,1084.77,25.84,2.44,239131151000,2.34,27,2,*ST动力,10.6
37,宠物经济,BK0993,856.18,20.2,2.42,394259264000,3.23,57,11,源飞宠物,9.99
38,医废处理,BK0914,1229.51,28.77,2.4,206466451000,1.79,30,2,华康洁净,9.55
39,噪声防治,BK1082,1710.87,39.8,2.38,46958303000,3.7,9,0,天溯计量,6.91
40,地摊经济,BK0924,1832.05,42.23,2.36,417159648000,1.81,27,3,百洋股份,10.04
41,题材股,BK1717,1322.65,30.0,2.32,4575243520000,9.34,37,23,百花医药,9.96
42,青蒿素,BK0872,2086.93,47.13,2.31,325902240000,3.4,10,1,海正药业,8.62
43,维生素,BK0895,1914.23,43.19,2.31,481989088000,4.19,30,2,金达威,10.03
44,磷化工,BK1010,1000.25,22.49,2.3,1350401392000,2.01,45,4,ST天际,8.68
