序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301080,百普赛斯,77.7,20.0,12.95,295610.0,2264869005.48,9.45,77.7,71.58,76.88,64.75,3.36,23.31,70.41,4.99,13028662807.0,9855262561.0,0.0,0.0,75.4,45.51
2,301357,北方长龙,113.23,20.0,18.87,116631.0,1204444783.48,20.57,113.23,93.82,94.14,94.36,2.47,12.25,-216.39,9.5,10779496000.0,10779496000.0,0.0,1.57,6.98,-19.64
3,688073,毕得医药,73.92,20.0,12.32,105575.0,760585430.0,11.23,73.92,67.0,67.99,61.6,3.73,11.62,35.86,3.36,6718067516.0,6718067516.0,0.0,0.0,36.51,23.3
4,300862,蓝盾光电,22.81,19.99,3.8,8805.0,20085071.78,0.0,22.81,22.81,22.81,19.01,0.1,0.58,-121.51,2.15,4211134345.0,3455053670.0,0.0,0.0,-13.1,-0.31
5,301051,信濠光电,20.72,19.98,3.45,269869.0,524792428.25,19.63,20.72,17.33,17.5,17.27,2.61,11.95,-26.95,3.02,5889884563.0,4679345044.0,0.0,0.0,16.34,48.0
6,688137,近岸蛋白,54.9,17.51,8.18,79647.0,435152523.0,16.22,56.06,48.48,48.99,46.72,3.76,11.39,-90.49,1.9,3838468170.0,3838468170.0,-0.16,-0.53,13.71,37.08
7,688130,晶华微,25.76,17.36,3.81,88396.0,219109934.0,14.26,26.34,23.21,23.21,21.95,3.84,14.66,-771.07,2.51,3114154581.0,1552944021.0,-0.16,-0.85,-13.44,23.02
8,688203,海正生材,12.17,17.36,1.8,131134.0,150210385.0,20.73,12.36,10.21,10.37,10.37,4.13,6.47,589.58,1.67,2466592088.0,2466592088.0,-0.41,-0.73,-14.36,-4.77
9,920699,海达尔,82.4,15.58,11.11,27072.0,213115952.67,17.51,84.49,72.01,76.12,71.29,1.59,9.26,130.35,15.75,5263334608.0,2408174608.0,0.0,0.97,71.81,146.49
10,301552,科力装备,26.79,15.52,3.6,65449.0,166601838.05,19.58,27.66,23.12,23.26,23.19,3.73,21.15,32.85,2.98,3315530400.0,828882600.0,0.11,-0.45,-12.62,-4.56
11,300062,中能电气,7.63,15.43,1.02,1206121.0,898710542.43,18.76,7.9,6.66,6.72,6.61,2.92,26.31,428.59,3.12,4806422133.0,3497273448.0,0.0,0.13,-8.95,-8.4
12,688114,华大智造,61.64,14.51,7.81,205461.0,1233471387.0,17.15,64.58,55.35,55.46,53.83,4.0,4.94,-61.02,3.62,25674055794.0,25619903143.0,-0.23,-0.34,17.59,1.45
13,301336,趣睡科技,45.49,13.95,5.57,38047.0,163197692.22,16.83,45.92,39.2,39.66,39.92,5.04,9.47,73.14,2.84,2361137525.0,1827147974.0,0.0,-0.09,4.57,14.84
14,301239,普瑞眼科,38.0,13.94,4.65,113581.0,427536569.76,21.35,40.02,32.9,33.32,33.35,5.42,8.0,20.12,2.69,5685523824.0,5397673824.0,0.34,1.14,-13.24,15.54
15,301328,维峰电子,59.95,13.28,7.03,67583.0,382963757.2,15.33,60.6,52.49,53.0,52.92,2.1,5.87,128.57,4.87,9552775374.0,6904085577.0,-0.02,0.05,8.1,83.9
