代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,11.21,11.21,10.98,11.06,11.24,-1.6,1711561286.57
000021,深科技,37.88,39.5,36.46,39.47,37.09,6.42,5102805737.84
000063,中兴通讯,36.51,37.5,35.7,37.22,36.35,2.39,6385605445.09
000100,TCL科技,4.57,4.66,4.53,4.62,4.55,1.54,4246879331.2
000166,申万宏源,4.55,4.69,4.53,4.59,4.53,1.32,730443998.18
000301,东方盛虹,11.9,12.91,11.9,12.76,11.88,7.41,492967355.22
000333,美的集团,82.95,82.98,80.5,80.93,83.23,-2.76,3514282135.45
000338,潍柴动力,28.56,29.38,28.21,29.38,28.0,4.93,3583006919.91
000408,藏格矿业,81.99,83.6,80.0,81.86,79.47,3.01,1932349194.98
000425,徐工机械,9.32,9.52,9.15,9.27,9.12,1.64,1136428833.48
000538,云南白药,50.62,50.62,49.7,50.15,50.6,-0.89,559754614.24
000568,泸州老窖,85.12,85.78,84.29,84.68,85.0,-0.38,941223389.47
000617,中油资本,7.3,7.57,7.29,7.41,7.25,2.21,825456945.13
000630,铜陵有色,7.3,7.71,7.27,7.66,7.1,7.89,9342479559.09
000636,风华高科,61.5,65.03,60.7,65.03,59.12,10.0,9129482277.99
000651,格力电器,38.53,38.54,37.65,37.86,38.53,-1.74,2496546585.25
000657,中钨高新,80.8,86.9,77.99,86.9,79.0,10.0,9967499760.22
000725,京东方Ａ,5.74,6.01,5.73,5.92,5.57,6.28,17610050750.1
000776,广发证券,20.1,21.5,20.1,20.83,20.08,3.74,2860443123.0
000792,盐湖股份,32.1,32.78,31.25,32.03,31.7,1.04,4396721128.44
000807,云铝股份,28.45,28.75,26.54,26.9,28.1,-4.27,3386253903.88
000838,*ST发展,1.67,1.73,1.66,1.68,1.67,0.6,27392099.5
000858,五 粮 液,79.96,80.28,79.1,79.63,79.92,-0.36,1916505151.87
000895,双汇发展,24.2,24.21,23.9,24.15,24.17,-0.08,324214381.64
