序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,601091,C沈鼓,57.77,177.74,36.97,1881071.0,4816769833.0,326.49,82.59,14.68,15.0,20.8,1.12,89.08,321.37,26.06,179664849567.0,12198897024.0,0.0,-7.2,1215.95,1215.95
2,688837,C信诺维,55.6,34.46,14.25,380050.0,1907383882.0,93.01,78.98,40.52,40.6,41.35,1.17,78.21,-72.16,10.92,24213189234.0,2701825622.0,0.0,-1.35,101.45,101.45
3,920298,腾信精密,90.48,30.0,20.88,102928.0,827694936.09,29.43,90.48,70.0,72.5,69.6,0.8,67.27,31.82,4.29,7057440000.0,1384344000.0,0.0,0.0,152.88,152.88
4,688292,浩瀚深度,23.02,20.02,3.84,107858.0,236030039.0,19.13,23.02,19.35,19.36,19.18,1.66,6.81,-38.14,3.82,3645238892.0,3645238892.0,0.0,0.0,27.53,-20.46
5,301689,电科思仪,63.0,20.0,10.5,283990.0,1588249887.84,21.52,63.0,51.7,53.99,52.5,1.11,49.34,175.28,13.62,58457947716.0,3626371476.0,0.0,0.0,293.75,293.75
6,301583,托伦斯,142.56,20.0,23.76,126897.0,1675296901.53,17.73,142.56,121.5,123.5,118.8,2.97,41.16,343.46,14.07,26441129532.0,4395320535.0,0.0,0.0,530.8,530.8
7,301390,经纬股份,54.0,20.0,9.0,44237.0,238877748.0,0.0,54.0,54.0,54.0,45.0,2.77,9.02,-70.06,3.52,3240000000.0,2649033720.0,0.0,0.0,80.84,62.16
8,688175,高凌信息,21.74,19.98,3.62,120243.0,247409618.0,23.95,21.74,17.4,17.4,18.12,4.95,7.15,835.06,2.14,3654757054.0,3654757054.0,0.0,0.0,-13.56,-11.98
9,300836,佰奥智能,62.6,19.42,10.18,83445.0,499243049.7,19.5,62.9,52.68,52.68,52.42,3.92,13.15,128.6,9.09,5802119186.0,3971973881.0,-0.03,0.21,-15.96,14.44
10,300464,星徽股份,11.61,17.39,1.72,640334.0,704053683.5,19.82,11.87,9.91,10.03,9.89,1.74,18.03,464.97,36.27,5425349087.0,4123206457.0,-0.26,-0.26,50.58,83.12
