代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,10.65,10.93,10.62,10.93,10.66,2.53,1515692068.28
000021,深科技,42.37,43.85,38.59,39.79,42.65,-6.71,9409421638.2
000063,中兴通讯,38.5,38.78,36.44,36.72,38.3,-4.13,10129413711.35
000100,TCL科技,4.57,4.57,4.26,4.28,4.59,-6.75,4869025347.94
000166,申万宏源,4.36,4.46,4.34,4.41,4.36,1.15,524810023.26
000301,东方盛虹,12.13,12.29,12.05,12.05,12.2,-1.23,212662730.46
000333,美的集团,78.92,81.26,78.5,80.85,78.95,2.41,3461222697.57
000338,潍柴动力,35.89,36.34,35.0,35.34,35.31,0.08,3719542575.0
000408,藏格矿业,79.3,79.78,76.98,77.18,77.68,-0.64,1014966602.7
000425,徐工机械,9.43,9.98,9.43,9.75,9.22,5.75,2650265489.62
000538,云南白药,48.99,50.11,48.86,49.94,48.82,2.29,866198960.69
000568,泸州老窖,88.61,92.38,88.56,91.04,89.02,2.27,1824661077.01
000617,中油资本,7.74,7.93,7.72,7.8,7.77,0.39,844327116.79
000630,铜陵有色,6.86,7.23,6.85,6.9,6.75,2.22,5243963020.85
000636,风华高科,51.82,53.5,49.55,53.03,48.64,9.03,11886230962.74
000651,格力电器,38.0,39.38,38.0,39.17,37.88,3.41,2713373140.61
000657,中钨高新,68.97,70.96,66.7,68.0,68.97,-1.41,6804776313.77
000725,京东方Ａ,5.63,5.64,5.11,5.11,5.68,-10.04,19135809571.25
000776,广发证券,18.59,19.26,18.54,18.89,18.55,1.83,1656536331.57
000792,盐湖股份,31.39,31.78,30.52,30.77,31.2,-1.38,2184610257.56
000807,云铝股份,29.41,29.55,28.47,28.49,28.77,-0.97,1897111855.11
000838,*ST发展,1.89,1.95,1.87,1.89,1.86,1.61,81475977.41
000858,五 粮 液,80.99,85.59,80.88,84.89,81.49,4.17,5028433894.52
000895,双汇发展,24.72,25.11,24.65,25.02,24.72,1.21,349501246.02
000938,紫光股份,30.03,30.49,27.45,28.64,28.92,-0.97,7356950501.77
000958,电投产融,6.01,6.16,5.99,6.1,6.03,1.16,349632235.4
000977,浪潮信息,71.0,72.03,64.0,64.63,66.41,-2.68,8095973700.53
000988,华工科技,166.34,166.34,150.28,151.92,165.63,-8.28,16580104667.97
001280,中国铀业,74.62,74.98,72.1,72.47,74.91,-3.26,591593563.88
001289,龙源电力,18.1,19.47,17.91,18.74,18.1,3.54,409760418.45
001309,德明利,669.0,679.58,630.0,640.0,657.35,-2.64,8201852886.4
001389,广合科技,197.0,199.74,189.77,196.48,185.3,6.03,2633290078.72
002001,新 和 成,30.0,30.13,29.34,29.37,30.05,-2.26,893592073.87
002008,大族激光,136.1,137.69,130.07,131.85,135.98,-3.04,5169098665.36
002027,分众传媒,5.43,5.65,5.41,5.58,5.41,3.14,1257589787.8
002028,思源电气,208.0,208.56,201.0,202.15,204.9,-1.34,2631448668.83
002049,紫光国微,86.39,86.53,78.51,79.3,86.3,-8.11,5439198150.38
002050,三花智控,48.47,49.29,45.73,46.34,48.61,-4.67,7716653560.82
002080,中材科技,75.73,75.73,70.5,71.15,76.51,-7.01,3360008906.19
002142,宁波银行,30.5,31.66,30.34,31.03,30.54,1.6,1039050312.6
002156,通富微电,70.11,70.9,64.63,66.0,69.3,-4.76,13115525271.47
002179,中航光电,39.0,39.46,36.15,36.42,38.99,-6.59,1976796752.35
