代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,10.98,11.06,10.92,10.96,10.99,-0.27,1214803431.0
000010,*ST美丽,3.67,3.67,3.52,3.58,3.67,-2.45,84045072.0
000021,深科技,30.52,31.05,29.26,29.44,30.57,-3.7,3286322042.0
000063,中兴通讯,40.01,40.65,39.36,39.5,40.11,-1.52,4266549956.0
000100,TCL科技,5.06,5.15,5.0,5.03,5.05,-0.4,2877306077.0
000166,申万宏源,5.1,5.19,5.1,5.13,5.1,0.59,811928261.0
000301,东方盛虹,12.07,12.69,12.0,12.3,12.08,1.82,814113337.0
000333,美的集团,76.8,77.87,76.02,76.35,76.78,-0.56,3631661682.0
000338,潍柴动力,24.12,25.72,24.0,24.32,23.5,3.49,6929731695.0
000408,藏格矿业,94.0,97.28,93.57,94.87,93.49,1.48,1802324798.0
000425,徐工机械,10.96,11.28,10.9,10.95,10.91,0.37,1873178670.0
000538,云南白药,56.13,56.47,55.92,56.17,56.15,0.04,614246408.0
000568,泸州老窖,112.06,113.09,109.4,112.43,112.04,0.35,1791130339.0
000617,中油资本,9.26,9.3,9.11,9.12,9.29,-1.83,827022499.0
000630,铜陵有色,7.3,7.55,7.1,7.55,6.86,10.06,8256639149.0
000636,风华高科,20.88,21.24,20.43,20.63,20.88,-1.2,1084550081.0
000651,格力电器,39.43,39.58,39.02,39.07,39.43,-0.91,2463838287.0
000657,中钨高新,45.66,49.47,44.8,49.47,44.97,10.01,4833625089.0
000725,京东方Ａ,4.48,4.55,4.47,4.47,4.45,0.45,4049436157.0
000776,广发证券,22.22,22.95,22.19,22.71,22.31,1.79,2048458734.0
000792,盐湖股份,35.8,37.38,35.61,35.92,35.6,0.9,5644078566.0
000807,云铝股份,33.0,34.08,33.0,33.59,32.64,2.91,3422589552.0
000838,*ST发展,2.95,2.97,2.85,2.88,2.95,-2.37,84731039.0
000858,五 粮 液,102.96,103.5,101.06,102.34,102.99,-0.63,3203042467.0
000895,双汇发展,25.51,25.83,25.21,25.71,25.52,0.74,448534543.0
000938,紫光股份,26.53,27.08,25.79,26.0,26.56,-2.11,2148445247.0
000958,电投产融,6.78,6.83,6.65,6.66,6.79,-1.91,305026220.0
000977,浪潮信息,65.09,68.06,65.09,65.84,64.88,1.48,4778658977.0
000988,华工科技,78.0,80.0,77.56,77.74,78.23,-0.63,2644830431.0
001280,中国铀业,90.91,99.65,89.19,98.89,90.72,9.01,4304871083.0
001289,龙源电力,15.82,15.99,15.78,15.84,15.8,0.25,97518680.0
001309,德明利,278.71,284.0,268.24,274.8,278.7,-1.4,2803162254.0
001389,广合科技,99.33,106.55,98.68,102.31,99.66,2.66,1834955909.0
002001,新 和 成,27.83,28.55,27.6,28.0,27.95,0.18,1384875684.0
002008,大族激光,51.12,52.6,50.45,50.98,51.45,-0.91,1829894840.0
002027,分众传媒,7.3,7.5,7.14,7.42,7.44,-0.27,2444311520.0
002028,思源电气,187.52,194.57,187.1,189.77,188.56,0.64,2059649117.0
002049,紫光国微,87.93,87.95,84.03,84.29,87.92,-4.13,3479119429.0
002050,三花智控,54.04,54.89,51.8,51.94,54.04,-3.89,11495842189.0
002080,中材科技,38.96,39.8,38.43,38.96,39.67,-1.79,1425611048.0
002102,ST能特,3.63,3.72,3.58,3.64,3.63,0.28,211898475.0
002142,宁波银行,28.98,30.78,28.84,30.29,28.98,4.52,2356425365.0
002156,通富微电,56.04,56.95,51.7,51.8,56.34,-8.06,11225066954.0
002179,中航光电,37.59,37.59,36.02,36.06,37.57,-4.02,2276596212.0
002185,华天科技,14.2,14.49,13.24,13.33,14.28,-6.65,4579074673.0
002202,金风科技,29.79,30.53,28.01,28.4,29.58,-3.99,16880314061.0
002230,科大讯飞,59.7,60.0,57.7,58.17,58.75,-0.99,4962568922.0
002241,歌尔股份,29.18,29.18,28.1,28.22,29.32,-3.75,3762806037.0
002281,光迅科技,71.63,74.18,70.66,71.13,71.25,-0.17,2413151451.0
002311,海大集团,51.28,52.19,50.48,51.92,51.03,1.74,657490546.0
002352,顺丰控股,39.15,39.16,38.56,38.75,39.15,-1.02,1393024109.0
002353,杰瑞股份,85.8,89.5,85.35,87.94,86.17,2.05,1405077179.0
002371,北方华创,508.1,508.1,489.0,496.22,510.37,-2.77,4491201620.0
002379,宏桥控股,29.61,30.41,29.42,29.87,29.47,1.36,685421466.0
002384,东山精密,73.0,74.39,72.13,73.11,73.1,0.01,2101459492.0
002409,雅克科技,94.91,95.65,91.3,92.01,94.71,-2.85,1350727519.0
002415,海康威视,32.05,32.43,31.47,32.31,31.95,1.13,3143057140.0
002428,云南锗业,40.7,42.88,39.43,41.58,40.39,2.95,5224516993.0
002460,赣锋锂业,75.5,76.15,73.25,73.64,73.87,-0.31,6216067523.0
002463,沪电股份,71.8,72.45,70.8,71.65,72.1,-0.62,3341919056.0
002466,天齐锂业,64.0,64.55,61.48,61.71,62.8,-1.74,4431137211.0
002475,立讯精密,55.38,55.4,54.01,54.09,55.5,-2.54,6917918137.0
002484,江海股份,31.28,31.59,30.18,30.28,31.4,-3.57,980245451.0
002493,荣盛石化,13.72,14.07,13.62,13.64,13.72,-0.58,908349094.0
002565,顺灏股份,16.5,17.2,15.28,16.97,16.48,2.97,3095571894.0
002594,比亚迪,93.65,93.66,92.5,92.63,93.65,-1.09,3485372554.0
002600,领益智造,15.82,16.05,15.4,15.42,15.89,-2.96,2476319658.0
002602,世纪华通,19.38,19.65,18.94,19.01,19.52,-2.61,2645984479.0
002648,卫星化学,22.5,23.17,22.03,22.71,22.18,2.39,2094270208.0
002653,海思科,50.6,50.9,50.01,50.46,50.6,-0.28,99673416.0
002709,天赐材料,44.74,44.77,43.35,43.41,44.25,-1.9,2675606193.0
002714,牧原股份,46.0,46.88,45.52,46.51,46.01,1.09,2736721028.0
002736,国信证券,12.57,12.75,12.54,12.57,12.56,0.08,827125841.0
002816,*ST和科,28.43,28.67,27.83,28.67,27.3,5.02,145903924.0
002837,英维克,96.5,100.76,96.25,97.34,97.35,-0.01,2773387093.0
002851,麦格米特,119.86,128.88,119.81,126.5,120.62,4.87,2963707703.0
002916,深南电路,246.11,247.31,241.26,241.5,247.47,-2.41,2384860803.0
002938,鹏鼎控股,57.88,59.08,56.56,57.08,58.29,-2.08,1778939044.0
003816,中国广核,3.88,3.92,3.85,3.9,3.88,0.52,660650283.0
159516,半导体设备ETF国泰,1.925,1.929,1.851,1.865,1.946,-4.16,2560922340
159558,半导体设备ETF易方达,2.273,2.273,2.168,2.185,2.273,-3.87,395466380
300014,亿纬锂能,68.03,68.5,65.75,65.78,66.75,-1.45,4054680162.0
300015,爱尔眼科,11.32,11.41,11.2,11.31,11.3,0.09,993009643.0
300024,机器人,18.71,20.08,18.71,19.16,18.59,3.07,2228288644.0
300033,同花顺,361.9,369.63,354.08,355.03,365.18,-2.78,4290399409.0
300054,鼎龙股份,46.76,46.9,44.6,45.0,47.39,-5.04,1229648053.0
300059,东方财富,23.25,23.73,23.13,23.31,23.3,0.04,9960847235.0
