代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,10.93,11.0,10.87,10.93,10.94,-0.09,920839356.0
000010,*ST美丽,4.1,4.53,4.09,4.53,4.12,9.95,211570338.0
000021,深科技,30.6,32.2,30.26,30.92,31.25,-1.06,2588350170.0
000063,中兴通讯,36.8,37.22,36.35,36.46,37.12,-1.78,2685444343.0
000100,TCL科技,4.85,4.93,4.81,4.83,4.89,-1.23,1904096961.0
000166,申万宏源,4.94,4.99,4.91,4.93,4.96,-0.6,383808476.0
000301,东方盛虹,11.7,11.83,11.5,11.56,11.78,-1.87,406646803.0
000333,美的集团,76.95,77.46,76.65,76.86,77.4,-0.7,1443018566.0
000338,潍柴动力,25.04,25.7,24.68,24.88,25.2,-1.27,3610079349.0
000408,藏格矿业,81.0,83.36,79.5,79.74,80.61,-1.08,1538020861.0
000425,徐工机械,11.41,11.64,11.29,11.31,11.47,-1.39,1128449324.0
000538,云南白药,56.26,56.58,56.17,56.3,56.3,0.0,263168619.0
000568,泸州老窖,104.7,108.79,104.62,107.86,105.18,2.55,1403484995.0
000617,中油资本,9.02,9.06,8.86,8.88,9.08,-2.2,767710459.0
000630,铜陵有色,7.1,7.2,6.93,6.95,7.15,-2.8,2485256045.0
000636,风华高科,22.24,22.38,21.59,21.7,22.5,-3.56,1365005436.0
000651,格力电器,37.88,38.66,37.8,38.6,37.88,1.9,2277902663.0
000657,中钨高新,59.7,59.7,56.07,56.07,62.3,-10.0,7058483768.0
000725,京东方Ａ,4.4,4.45,4.35,4.36,4.42,-1.36,2328660718.0
000776,广发证券,19.44,19.55,19.29,19.32,19.49,-0.87,562300283.0
000792,盐湖股份,39.01,40.9,39.01,39.6,38.26,3.5,5598309173.0
000807,云铝股份,35.34,36.5,34.53,34.75,35.24,-1.39,2654713380.0
000838,*ST发展,2.38,2.46,2.35,2.35,2.38,-1.26,91072946.0
000858,五 粮 液,102.06,103.66,101.85,102.95,102.27,0.66,1577733443.0
000895,双汇发展,27.78,28.18,27.64,27.93,27.78,0.54,320688544.0
000938,紫光股份,26.15,26.45,25.72,25.8,26.52,-2.71,2754297221.0
000958,电投产融,6.92,6.97,6.79,6.81,6.95,-2.01,346596319.0
000977,浪潮信息,62.05,63.51,60.79,61.79,63.3,-2.39,3254889551.0
000988,华工科技,125.3,126.8,118.59,118.69,127.9,-7.2,19453659274.0
001280,中国铀业,85.97,91.68,85.02,90.0,86.57,3.96,1632816735.0
001289,龙源电力,18.69,18.84,18.19,18.43,18.48,-0.27,267552426.0
001309,德明利,296.22,322.85,295.02,320.05,293.5,9.05,6929269536.0
001389,广合科技,119.08,122.18,115.6,119.57,119.9,-0.28,1172535283.0
002001,新 和 成,38.5,39.5,37.94,38.67,39.3,-1.6,1777872064.0
002008,大族激光,70.53,71.1,68.0,68.7,70.75,-2.9,1803379437.0
002027,分众传媒,6.77,6.89,6.76,6.87,6.8,1.03,878259818.0
002028,思源电气,211.18,214.88,208.52,211.4,213.11,-0.8,1857420107.0
002049,紫光国微,74.53,74.95,73.62,73.74,75.21,-1.95,937615813.0
002050,三花智控,48.21,48.35,47.18,47.3,48.78,-3.03,3382233733.0
002080,中材科技,46.0,47.0,45.11,45.98,46.01,-0.07,2104541498.0
002102,ST能特,3.78,3.85,3.68,3.71,3.79,-2.11,922659604.0
002142,宁波银行,31.31,31.5,30.83,31.15,31.46,-0.99,665844105.0
002156,通富微电,45.94,46.96,45.36,45.86,46.33,-1.01,2240628259.0
002179,中航光电,37.21,37.3,35.48,35.56,37.78,-5.88,2516402693.0
002185,华天科技,13.75,14.05,13.53,13.65,13.91,-1.87,1438854247.0
002202,金风科技,31.35,32.68,31.0,31.43,31.29,0.45,12534772376.0
002230,科大讯飞,52.52,52.52,51.61,51.8,52.68,-1.67,1481886274.0
002241,歌尔股份,25.18,25.51,25.06,25.19,25.35,-0.63,1213624863.0
002281,光迅科技,93.1,94.99,88.94,88.94,98.82,-10.0,8058743904.0
002311,海大集团,56.71,57.3,56.18,56.51,56.5,0.02,433215365.0
002352,顺丰控股,37.21,38.18,37.16,38.06,37.34,1.93,1599400019.0
002353,杰瑞股份,108.47,108.5,104.28,105.23,108.47,-2.99,2535507205.0
002371,北方华创,450.0,464.7,449.1,457.88,457.99,-0.02,2966622310.0
002379,宏桥控股,32.72,33.2,31.43,31.71,32.53,-2.52,726018830.0
002384,东山精密,111.1,118.98,110.11,110.93,109.3,1.49,11887996997.0
002409,雅克科技,88.01,92.56,87.04,89.17,89.03,0.16,1036525248.0
002415,海康威视,31.69,32.02,31.62,31.94,31.92,0.06,1170137176.0
002428,云南锗业,44.78,46.3,43.15,43.36,45.17,-4.01,2049504974.0
002460,赣锋锂业,70.19,72.68,69.7,70.03,69.5,0.76,3820714519.0
002463,沪电股份,76.36,83.48,76.25,81.18,76.34,6.34,10416944888.0
002466,天齐锂业,53.96,55.94,53.8,54.15,53.6,1.03,2500177759.0
002475,立讯精密,49.35,50.28,49.05,49.33,49.7,-0.74,4071284136.0
002484,江海股份,30.49,31.35,30.2,30.58,30.65,-0.23,552974225.0
002493,荣盛石化,13.55,14.08,13.47,13.62,13.8,-1.3,1007466214.0
002565,顺灏股份,13.64,13.76,13.15,13.19,13.78,-4.28,783659869.0
002594,比亚迪,99.0,100.79,98.3,99.67,99.1,0.58,5199004697.0
002600,领益智造,14.44,14.59,14.31,14.36,14.6,-1.64,924559969.0
002602,世纪华通,17.13,17.49,16.66,16.8,16.93,-0.77,1872882613.0
002648,卫星化学,29.68,29.92,28.02,28.25,29.1,-2.92,3449361947.0
002653,海思科,46.65,47.42,46.2,46.34,47.12,-1.66,90650894.0
002709,天赐材料,48.37,51.0,48.07,48.77,48.63,0.29,6341012443.0
002714,牧原股份,50.5,50.75,49.57,49.79,50.59,-1.58,1883566595.0
002736,国信证券,12.21,12.34,12.05,12.21,12.25,-0.33,394849458.0
002816,*ST和科,23.75,24.21,23.63,23.86,23.94,-0.33,44863479.0
002837,英维克,96.0,98.7,96.0,97.22,97.97,-0.77,2184160551.0
002851,麦格米特,118.5,119.85,115.5,117.64,120.5,-2.37,1326812224.0
002916,深南电路,250.0,256.38,243.5,250.23,252.61,-0.94,2597301022.0
002938,鹏鼎控股,50.84,52.33,49.98,51.13,52.33,-2.29,1826381841.0
003816,中国广核,4.36,4.37,4.27,4.33,4.38,-1.14,1177438282.0
159516,半导体设备ETF国泰,1.694,1.73,1.685,1.697,1.713,-0.93,811555993
