序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920088,科力股份,55.0,23.57,10.49,105773.0,548067033.12,22.71,57.0,46.89,48.1,44.51,1.23,32.48,278.48,7.0,4843932500.0,1791142650.0,-0.45,-0.56,7.25,89.0
2,920130,立方控股,18.13,21.03,3.15,77008.0,133324748.37,23.9,18.88,15.3,15.3,14.98,3.84,13.44,-51.96,3.58,1672369869.0,1038760507.0,0.11,-0.49,-10.69,-37.4
3,300534,陇神戎发,12.04,20.04,2.01,1129542.0,1246240698.25,25.02,12.04,9.53,9.8,10.03,1.37,37.4,37.02,5.02,3652273800.0,3636699916.0,0.0,0.0,27.68,27.27
4,300368,汇金股份,9.41,20.03,1.57,515062.0,468053436.16,22.96,9.41,7.61,7.61,7.84,2.28,9.74,-133.97,103.26,4977358100.0,4977358100.0,0.0,0.0,-10.38,-37.93
5,300515,三德科技,14.86,20.03,2.48,59770.0,88809351.9,0.08,14.86,14.85,14.85,12.38,2.21,2.96,23.07,3.46,3057511870.0,2998120537.0,0.0,0.0,-12.28,-22.89
6,688057,金达莱,16.81,19.99,2.8,85658.0,141706035.0,16.13,16.81,14.55,14.55,14.01,1.19,3.1,86.0,1.49,4639560000.0,4639560000.0,0.0,0.0,38.35,39.85
7,301190,善水科技,17.42,19.97,2.9,126607.0,207782761.44,15.08,17.42,15.23,15.31,14.52,4.88,8.85,24.62,1.92,3738967830.0,2492871680.0,0.0,0.0,-20.57,-17.32
8,300040,九洲集团,6.83,18.17,1.05,1348348.0,850241679.41,22.15,6.88,5.6,5.75,5.78,4.28,26.06,42.78,1.69,4394493278.0,3533678387.0,0.0,-0.44,-3.67,13.83
9,300164,通源石油,12.2,16.41,1.72,2297700.0,2705988226.49,15.65,12.49,10.85,11.0,10.48,1.02,39.4,-139.12,5.21,7179195274.0,7115171492.0,0.0,-0.41,-11.4,121.01
10,920046,亿能电力,23.6,16.26,3.3,127960.0,285145658.21,20.44,23.98,19.83,19.99,20.3,2.97,22.88,91.84,9.54,2387140000.0,1319878073.0,0.21,0.85,-12.24,76.51
11,301536,星宸科技,106.65,16.11,14.8,283394.0,3075327493.03,6.13,110.22,104.59,110.22,91.85,2.65,15.14,51.06,14.52,44975929493.0,19964161392.0,-0.5,-1.64,31.59,78.91
12,300209,行云科技,25.84,15.51,3.47,1382494.0,3602358815.32,10.82,26.84,24.42,25.0,22.37,1.47,18.82,-272.23,26.73,23995957496.0,18981026162.0,0.08,-0.15,101.4,374.13
13,688382,益方生物-U,26.04,15.48,3.49,328411.0,819106334.0,17.74,26.2,22.2,22.2,22.55,1.12,5.67,-85.04,10.05,15092575784.0,15092575784.0,-0.04,0.62,22.02,-4.41
14,300779,惠城环保,56.84,14.09,7.02,169356.0,955248991.33,12.02,59.46,53.47,56.12,49.82,1.87,7.45,1982.5,7.59,16898978706.0,12912459549.0,0.0,0.0,-12.32,-38.87
15,300135,宝利国际,3.47,13.4,0.41,697398.0,235793284.96,16.67,3.6,3.09,3.12,3.06,3.32,7.57,90.74,3.69,3197952000.0,3197952000.0,0.0,0.87,-6.97,-12.15
16,688248,南网科技,42.99,12.72,4.85,145491.0,600554612.0,11.93,43.0,38.45,38.87,38.14,1.9,2.58,123.06,7.57,24276453000.0,24276453000.0,-0.02,0.37,-24.91,-3.52
17,300317,珈伟新能,4.65,12.59,0.52,2085513.0,907915022.72,18.4,4.69,3.93,3.99,4.13,3.45,25.16,375.04,2.72,3860376083.0,3854447333.0,0.0,1.97,-7.0,21.09
18,300191,潜能恒信,28.58,11.68,2.99,302307.0,842852596.78,12.93,29.3,25.99,26.0,25.59,1.18,13.67,74.97,8.02,9145600000.0,6321753100.0,-0.07,-0.56,-28.05,55.07
19,301228,实朴检测,51.51,11.25,5.21,86315.0,450162972.28,15.9,55.09,47.73,47.73,46.3,2.04,7.23,-355.6,10.32,6181200000.0,6152369544.0,0.0,-0.1,-7.0,33.41
20,688578,艾力斯,127.42,11.09,12.72,166037.0,2004089066.0,17.31,129.95,110.1,110.11,114.7,1.12,3.69,22.54,7.67,57339000000.0,57339000000.0,-0.01,-0.3,33.96,23.05
21,920010,凯添燃气,8.73,10.51,0.83,142953.0,120702394.54,10.25,8.9,8.09,8.13,7.9,1.28,8.24,54.39,2.97,2047185000.0,1514636257.0,0.0,0.58,-29.6,-20.27
22,300039,上海凯宝,5.64,10.16,0.52,939598.0,508922264.54,15.23,5.76,4.98,5.13,5.12,1.04,10.25,22.74,1.29,5899440000.0,5171463915.0,0.0,0.0,-3.42,-4.89
23,600227,赤天化,3.37,10.13,0.31,2934019.0,940221919.0,15.36,3.37,2.9,3.0,3.06,1.66,22.97,-49.98,2.54,5691012298.0,4305511336.0,0.0,1.51,-4.8,41.6
24,600863,华能蒙电,5.02,10.09,0.46,3321777.0,1615379088.0,10.53,5.02,4.54,4.56,4.56,1.94,5.09,14.16,2.05,39332651591.0,32764976811.0,0.0,0.0,4.58,12.05
25,002036,联创电子,6.55,10.08,0.6,407704.0,259699806.79,9.24,6.55,6.0,6.0,5.95,1.22,3.86,-17.89,7.18,6927267267.0,6913313926.0,0.0,0.0,-26.98,-40.56
26,600744,华银电力,6.56,10.07,0.6,1743735.0,1125606761.0,7.72,6.56,6.1,6.46,5.96,3.19,8.59,24.06,10.34,13324175237.0,13324175237.0,0.0,0.0,-20.58,11.56
27,600126,杭钢股份,6.23,10.07,0.57,1760205.0,1086264245.0,6.54,6.23,5.86,5.89,5.66,3.0,5.21,547.48,1.08,21039887987.0,21039887987.0,0.0,0.0,-33.23,-23.65
28,000600,建投能源,8.98,10.05,0.82,886779.0,772038742.13,11.03,8.98,8.08,8.1,8.16,2.89,8.14,6.75,1.34,16193044696.0,9788656866.0,0.0,0.0,-2.92,9.38
29,600821,金开新能,6.24,10.05,0.57,856338.0,518000180.0,9.35,6.24,5.71,5.73,5.67,0.69,4.35,-159.85,1.36,12276107707.0,12276107707.0,0.0,0.0,-31.58,22.35
30,600396,华电辽能,12.82,10.04,1.17,2820788.0,3422560130.0,20.0,12.82,10.49,11.24,11.65,1.62,19.15,29.93,12.3,18880101394.0,18880101394.0,0.0,0.0,57.69,349.82
31,001258,立新能源,9.1,10.04,0.83,821361.0,733892672.4,8.46,9.1,8.4,8.84,8.27,2.74,8.8,334.9,2.81,8493333339.0,8493244614.0,0.0,0.0,-2.78,28.53
32,600032,浙江新能,7.78,10.04,0.71,958148.0,707828877.0,13.86,7.78,6.8,7.1,7.07,3.24,3.98,164.7,1.46,18708374021.0,18708374021.0,0.0,0.13,-28.16,5.42
33,001211,双枪科技,20.19,10.03,1.84,51621.0,99138306.63,10.41,20.19,18.28,18.5,18.35,1.09,5.53,92.7,2.34,2019000000.0,1884537063.0,0.0,0.0,-10.62,6.04
34,600756,浪潮软件,14.05,10.02,1.28,317051.0,440322444.0,12.06,14.05,12.51,12.7,12.77,1.37,9.78,-14.23,2.2,4912283980.0,4553587480.0,0.0,0.0,-13.7,-23.72
35,001288,运机集团,22.97,10.01,2.09,73067.0,165796813.9,9.48,22.97,20.99,20.99,20.88,2.77,4.81,26.11,2.35,5369555703.0,3488522282.0,0.0,0.0,-17.76,-27.65
36,002857,三晖电气,15.82,10.01,1.44,55973.0,86544394.1,9.67,15.82,14.43,14.43,14.38,1.89,4.35,-20.91,4.43,2066629880.0,2034217073.0,0.0,0.0,-24.31,-23.72
37,603727,博迈科,16.6,10.01,1.51,35690.0,57728142.0,10.8,16.6,14.97,14.97,15.09,0.69,1.27,-19.85,1.51,4676539998.0,4676539998.0,0.0,0.0,-6.37,20.46
38,002490,山东墨龙,7.8,10.01,0.71,546109.0,423925812.59,3.95,7.8,7.52,7.52,7.09,0.6,10.08,278.62,12.35,6223217520.0,4225431600.0,0.0,0.0,-13.81,20.0
39,600938,中国海油,31.87,10.01,2.9,964244.0,2998057669.0,8.15,31.87,29.51,29.6,28.97,1.48,3.22,9.67,1.81,1514779633470.0,95291300000.0,0.0,0.0,-13.77,7.31
40,603779,威龙股份,8.68,10.01,0.79,485384.0,410630640.0,12.04,8.68,7.73,7.92,7.89,1.57,14.62,-96.09,5.88,2882478305.0,2882478305.0,0.0,0.0,37.78,34.78
41,920014,特瑞斯,9.56,10.01,0.87,71615.0,66060593.1,9.21,9.59,8.79,8.79,8.69,1.41,10.68,74.6,1.5,1164950463.0,640972169.0,0.0,0.95,-24.84,-16.65
42,600452,涪陵电力,10.0,10.01,0.91,844785.0,829334340.0,8.8,10.0,9.2,9.35,9.09,3.11,5.5,29.94,2.72,15365416540.0,15365416540.0,0.0,0.0,-15.68,7.53
43,600578,京能电力,5.72,10.0,0.52,2526320.0,1405354740.0,11.54,5.72,5.12,5.2,5.2,2.56,3.77,8.69,1.59,38293232206.0,38293232206.0,0.0,0.0,8.13,16.02
44,600726,华电能源,5.83,10.0,0.53,1254847.0,706396111.0,10.94,5.83,5.25,5.31,5.3,1.03,1.68,19.15,9.26,46099770104.0,43581210093.0,0.0,0.0,25.38,143.93
45,603823,百合花,77.2,10.0,7.02,328679.0,2399259860.0,17.93,77.2,64.62,68.48,70.18,1.36,7.89,187.15,13.12,32143586749.0,32143586749.0,0.0,0.0,376.54,417.43
46,002992,宝明科技,35.86,10.0,3.26,13710.0,48402731.54,9.29,35.86,32.83,33.38,32.6,0.82,0.88,-115.56,8.81,6485949251.0,5602590758.0,0.0,0.0,-36.87,-24.68
47,603610,麒盛科技,13.75,10.0,1.25,99590.0,132688206.0,11.36,13.75,12.33,12.59,12.5,1.27,2.82,35.99,1.58,4853634789.0,4853634789.0,0.0,0.0,-12.48,-27.29
48,600403,大有能源,5.28,10.0,0.48,471174.0,241110898.0,12.08,5.28,4.7,4.72,4.8,0.6,1.97,-8.55,3.78,12623489483.0,12623489483.0,0.0,0.0,-9.12,-24.36
49,002866,传艺科技,14.85,10.0,1.35,76986.0,114020657.8,2.0,14.85,14.58,14.58,13.5,1.01,4.25,70.26,2.06,4299405502.0,2691005714.0,0.0,0.0,-43.94,-17.27
50,600188,兖矿能源,20.79,10.0,1.89,741595.0,1507896695.0,9.47,20.79,19.0,19.0,18.9,1.13,1.24,13.19,2.8,208666153496.0,123936508496.0,0.0,0.0,6.51,58.1
51,000037,深南电A,10.12,10.0,0.92,766363.0,746615015.96,12.17,10.12,9.0,9.2,9.2,4.77,22.61,126.81,3.65,6099957472.0,3429750478.0,0.0,0.0,-10.99,22.67
52,601991,大唐发电,6.38,10.0,0.58,8558761.0,5183059482.0,16.03,6.38,5.45,5.68,5.8,1.67,6.9,10.2,3.21,118072813016.0,79087048496.0,0.0,0.0,55.23,82.81
53,603533,掌阅科技,19.69,10.0,1.79,394810.0,768414009.0,5.03,19.69,18.79,19.5,17.9,1.8,9.0,-64.06,3.76,8641878681.0,8641878681.0,0.0,0.0,-26.34,-10.99
54,000596,古井贡酒,93.83,10.0,8.53,113882.0,1044650863.61,10.35,93.83,85.0,85.34,85.3,1.55,2.79,7.72,2.04,49598538000.0,38338938000.0,0.0,0.0,-7.89,-26.81
55,600985,淮北矿业,15.62,10.0,1.42,303457.0,459354963.0,9.3,15.62,14.3,14.31,14.2,1.22,1.13,21.42,1.02,42068701035.0,42068701035.0,0.0,0.0,16.05,43.83
56,002440,闰土股份,11.78,9.99,1.07,1003297.0,1142729597.73,12.23,11.78,10.47,10.74,10.71,1.54,10.6,18.02,1.34,13240718881.0,11148114062.0,0.0,0.0,3.42,62.04
57,600644,乐山电力,9.91,9.99,0.9,692105.0,670536380.0,9.43,9.91,9.06,9.1,9.01,3.38,11.97,-810.06,2.78,5731159306.0,5731159306.0,0.0,0.0,-21.85,1.75
58,601001,晋控煤业,19.28,9.98,1.75,240165.0,450638037.0,9.13,19.28,17.68,17.8,17.53,1.18,1.43,23.83,1.73,32268936000.0,32268936000.0,0.0,0.0,10.74,46.62
59,000539,粤电力Ａ,5.84,9.98,0.53,1686018.0,954978207.22,11.86,5.84,5.21,5.26,5.31,1.75,6.6,-50.55,1.32,30661658478.0,14923459490.0,0.0,0.0,-8.61,32.13
60,603619,中曼石油,19.51,9.98,1.77,249350.0,479545834.0,6.09,19.51,18.43,18.43,17.74,0.52,5.39,71.24,2.1,9020223374.0,9020223374.0,0.0,0.0,-39.35,-14.84
61,600267,海正药业,12.45,9.98,1.13,1005940.0,1228162423.0,9.63,12.45,11.36,11.4,11.32,1.57,8.52,10.33,1.69,14694387595.0,14694387595.0,0.0,0.0,14.64,28.48
62,000815,美利云,13.33,9.98,1.21,157232.0,209590629.24,0.0,13.33,13.33,13.33,12.12,0.51,2.26,104.38,6.59,9267856257.0,9267856257.0,0.0,0.0,-36.19,19.12
63,000722,湖南发展,15.21,9.98,1.38,753556.0,1100838182.31,14.32,15.21,13.23,13.7,13.83,2.8,16.23,166.02,2.19,8690306310.0,7059847469.0,0.0,0.0,9.58,29.45
64,600236,桂冠电力,11.68,9.98,1.06,742899.0,848869979.0,8.85,11.68,10.74,10.95,10.62,3.64,0.94,26.79,5.35,92066172727.0,92066172727.0,0.0,0.0,14.17,53.89
65,601026,道生天合,14.54,9.98,1.32,114561.0,163336122.0,9.46,14.54,13.29,13.44,13.22,4.06,10.31,77.53,3.86,9587676000.0,1615185933.0,0.0,0.0,-21.45,-26.49
66,601898,中煤能源,13.79,9.97,1.25,939423.0,1270000353.0,8.77,13.79,12.69,12.69,12.54,1.46,1.03,11.89,1.11,182836968286.0,126206085516.0,0.0,0.0,-16.88,10.85
67,600722,金牛化工,9.38,9.96,0.85,490898.0,451616168.0,6.45,9.38,8.83,9.17,8.53,0.87,7.22,122.27,5.06,6381398561.0,6381398561.0,0.0,0.0,-30.26,57.91
68,600797,浙大网新,6.85,9.95,0.62,935948.0,635413529.0,9.15,6.85,6.28,6.28,6.23,3.76,9.11,-36.98,2.15,7038555635.0,7038555635.0,0.0,0.0,-24.64,-30.67
69,600121,郑州煤电,3.76,9.94,0.34,611011.0,224588214.0,10.53,3.76,3.4,3.4,3.42,1.08,5.01,-5.86,6.23,4581229263.0,4581229263.0,0.0,0.0,-10.05,-9.83
70,000767,晋控电力,3.76,9.94,0.34,3309287.0,1210434172.69,12.28,3.76,3.34,3.4,3.42,2.23,11.36,45.99,1.92,11569302743.0,10950046599.0,0.0,0.0,-11.11,34.29
71,600746,江苏索普,6.64,9.93,0.6,463985.0,297335840.0,10.43,6.64,6.01,6.06,6.04,1.5,3.97,56.85,1.42,7754476750.0,7754476750.0,0.0,0.0,-23.68,-3.49
72,000899,赣能股份,11.76,9.91,1.06,683405.0,773799955.3,11.03,11.77,10.59,10.7,10.7,4.49,7.0,14.2,1.88,11473970458.0,11473970458.0,-0.08,0.0,-6.96,26.05
73,000889,中嘉博创,3.45,9.87,0.31,424396.0,143940609.45,7.32,3.45,3.22,3.22,3.14,0.79,4.88,-183.63,46.51,3230204350.0,3000965754.0,0.0,0.0,-25.97,-4.17
74,920493,并行科技,116.68,9.87,10.48,37773.0,446070252.66,13.3,124.92,110.8,113.96,106.2,2.73,8.46,152.26,13.91,7068702509.0,5208237576.0,0.15,0.59,-28.2,-11.97
75,002542,*ST中岩,1.45,9.85,0.13,88069.0,12769932.5,0.0,1.45,1.45,1.45,1.32,0.28,0.5,-15.52,-16.2,2618869270.0,2550218362.0,0.0,0.0,-26.02,-56.59
76,600021,上海电力,16.35,9.66,1.44,1548780.0,2409069099.0,14.15,16.37,14.26,14.72,14.91,2.82,5.49,20.34,2.33,46137669412.0,46137669412.0,0.0,0.06,-7.42,-16.79
77,600969,郴电国际,8.87,9.64,0.78,308991.0,256870810.0,14.59,8.9,7.72,7.96,8.09,2.72,8.35,72.51,0.91,3282347793.0,3282347793.0,-0.11,0.34,-12.27,-12.18
78,920299,灿能电力,17.45,9.54,1.52,69690.0,118020809.65,19.46,18.1,15.0,15.16,15.93,3.87,15.35,127.43,5.66,1572406866.0,792487649.0,0.06,0.58,-28.16,-12.49
79,300663,科蓝软件,7.42,9.44,0.64,701559.0,496880894.48,10.77,7.45,6.72,6.8,6.78,2.54,15.24,-31.38,11.08,3550116111.0,3416079012.0,0.13,1.09,-43.75,-57.94
80,603693,江苏新能,12.65,9.33,1.08,252821.0,306799626.0,12.36,12.73,11.3,11.5,11.57,2.67,2.84,25.75,1.6,11277169882.0,11277169882.0,0.0,0.0,-16.61,8.03
81,603519,立霸股份,17.6,9.32,1.5,247049.0,424387855.0,9.88,17.71,16.12,16.32,16.1,1.97,9.28,34.66,4.7,4687369966.0,4687369966.0,-0.06,-0.34,33.54,59.42
82,600989,宝丰能源,23.28,9.3,1.98,1729729.0,3959381936.0,7.0,23.43,21.94,21.95,21.3,1.46,2.36,11.66,3.48,170720620800.0,170720620800.0,-0.04,0.13,-14.54,21.19
83,688111,金山办公,244.27,9.29,20.77,163679.0,3851884721.0,9.41,245.0,223.96,229.95,223.5,1.47,3.53,12.91,7.74,113344561767.0,113344561767.0,0.03,0.27,-0.63,-20.13
84,600758,辽宁能源,3.3,9.27,0.28,1143690.0,371980992.0,9.27,3.32,3.04,3.04,3.02,2.3,8.66,-9.44,0.82,4362657400.0,4358453200.0,0.0,0.0,-16.88,-9.34
85,300561,汇金科技,19.1,8.96,1.57,528861.0,988292243.2,9.87,19.47,17.74,17.75,17.53,1.19,21.94,-552.05,10.99,6266862323.0,4604199663.0,0.42,0.79,6.17,30.11
86,300483,首华燃气,18.8,8.92,1.54,341178.0,635243096.49,7.42,19.15,17.87,18.1,17.26,1.22,8.87,33.89,1.97,7240025512.0,7234949512.0,0.05,0.21,-6.09,32.58
87,600012,皖通高速,18.78,8.87,1.53,96742.0,176580633.0,9.68,18.85,17.18,17.2,17.25,1.88,0.83,14.95,2.4,32087355675.0,21889968000.0,0.0,0.05,18.86,26.72
88,002541,鸿路钢构,22.2,8.82,1.8,164833.0,348154423.03,10.83,22.44,20.23,20.48,20.4,1.09,3.32,25.94,1.59,15318423798.0,11015197532.0,-0.36,-1.07,9.36,37.38
89,300765,石药创新,41.62,8.81,3.37,344304.0,1388491920.85,17.05,42.88,36.36,36.75,38.25,1.4,2.45,-155.72,22.68,58459158329.0,58459158329.0,-0.1,0.41,30.18,15.39
90,000601,韶能股份,7.05,8.8,0.57,1517304.0,1028018612.74,10.34,7.07,6.4,6.49,6.48,2.21,14.48,177.69,1.82,7503620434.0,7389351919.0,-0.14,0.71,-0.84,50.0
91,920748,路桥信息,23.06,8.77,1.86,28726.0,64347447.68,12.97,23.35,20.6,20.6,21.2,2.6,7.8,-72.98,8.55,1769624400.0,849438944.0,0.09,0.04,-38.18,-50.45
92,605196,华通线缆,25.6,8.75,2.06,423358.0,1066062791.0,10.15,25.8,23.41,23.69,23.54,1.74,8.38,50.67,3.86,13080887834.0,12927047194.0,0.16,0.35,-47.07,-26.31
93,688432,有研硅,42.27,8.72,3.39,636224.0,2671103914.0,14.22,44.44,38.91,40.0,38.88,1.14,5.09,263.31,11.89,52850259538.0,52850259538.0,0.0,0.69,174.3,241.99
94,301080,百普赛斯,52.56,8.71,4.21,95362.0,486825701.45,12.02,53.75,47.94,47.94,48.35,1.04,7.52,47.63,3.38,8813211288.0,6666571431.0,0.02,0.38,15.01,-1.57
95,601699,潞安环能,15.61,8.7,1.25,491506.0,749309963.0,9.19,15.72,14.4,14.58,14.36,1.55,1.64,16.23,1.02,46695897612.0,46695897612.0,-0.13,-0.13,14.02,34.45
96,601600,中国铝业,9.17,8.65,0.73,5015501.0,4494813122.0,8.65,9.26,8.53,8.61,8.44,1.41,3.8,7.12,1.95,157311087069.0,121074626929.0,0.0,-0.11,-24.53,-24.96
97,300465,高伟达,10.83,8.52,0.85,291016.0,308343564.09,8.82,10.96,10.08,10.14,9.98,2.47,6.56,-84.6,7.19,4805805536.0,4805805536.0,0.0,0.37,-26.68,-46.2
98,000720,新能泰山,3.31,8.52,0.26,821718.0,269010467.93,10.82,3.36,3.03,3.03,3.05,2.49,6.54,-46.69,2.21,4159119500.0,4159119500.0,0.0,0.0,-33.0,1.22
99,002123,梦网科技,8.16,8.51,0.64,696865.0,560564686.0,12.9,8.27,7.3,7.35,7.52,1.84,9.67,-37.36,4.32,6572248334.0,5879541601.0,-0.24,-0.37,-18.56,-32.89
100,600982,宁波能源,5.52,8.45,0.43,1173966.0,620143010.0,12.77,5.56,4.91,5.02,5.09,3.37,10.5,21.27,1.41,6169303717.0,6169303717.0,0.0,0.0,-9.06,32.37
101,605011,杭州热电,20.04,8.44,1.56,260419.0,505201193.0,12.23,20.33,18.07,18.48,18.48,3.84,6.51,49.47,3.3,8018004000.0,8018004000.0,0.0,0.1,1.31,-1.47
102,000862,银星能源,5.42,8.4,0.42,666245.0,348254772.37,11.8,5.5,4.91,4.96,5.0,3.27,10.61,22.42,1.14,4975314452.0,3403581617.0,-0.18,-0.18,-18.25,-7.19
103,600546,山煤国际,12.8,8.38,0.99,355795.0,445648250.0,9.65,12.95,11.81,11.81,11.81,1.61,1.79,14.8,1.59,25375438592.0,25375438592.0,0.0,-0.23,8.2,31.42
104,300001,特锐德,33.38,8.31,2.56,425787.0,1417861572.28,6.04,34.19,32.33,32.44,30.82,1.9,4.13,122.43,4.18,35226839060.0,34420938543.0,-0.06,0.3,13.54,31.0
105,601016,节能风电,3.79,8.29,0.29,4235514.0,1533523790.0,11.71,3.79,3.38,3.42,3.5,2.55,7.01,30.4,1.39,24803606768.0,22884993859.0,0.0,0.26,-9.11,28.47
106,688065,凯赛生物,46.29,8.28,3.54,84173.0,371999710.0,9.29,46.5,42.53,42.75,42.75,1.53,1.44,50.37,1.87,33388504564.0,27004569425.0,-0.02,0.15,-3.92,-7.05
107,002165,红 宝 丽,6.2,8.2,0.47,950639.0,570599734.59,9.08,6.22,5.7,5.78,5.73,2.71,13.07,-47.46,2.31,4558672989.0,4511022015.0,0.0,0.65,-35.08,-17.66
108,920508,殷图网联,15.0,8.07,1.12,34115.0,50565052.87,12.75,15.51,13.74,13.97,13.88,5.1,10.69,-97.09,4.74,900000000.0,478588875.0,0.6,-0.79,-26.18,-32.43
109,000968,蓝焰控股,7.13,8.03,0.53,801572.0,559039589.85,6.67,7.25,6.81,6.84,6.6,1.56,8.28,11.68,1.09,6898293966.0,6898293966.0,0.0,0.28,-19.16,8.69
110,001388,信通电子,26.72,8.0,1.98,223548.0,569977763.14,12.81,26.75,23.58,23.76,24.74,2.35,17.87,-127.7,4.45,6246227520.0,3343168244.0,0.0,0.49,1.17,-6.83
111,600352,浙江龙盛,13.11,7.99,0.97,1167429.0,1489893857.0,9.8,13.2,12.01,12.12,12.14,1.66,3.59,19.85,1.35,42651180685.0,42651180685.0,-0.08,-0.08,5.98,28.4
112,600486,扬农化工,54.9,7.86,4.0,98565.0,528494955.0,7.86,54.9,50.9,51.01,50.9,1.99,2.44,13.63,1.92,22185745396.0,22185745396.0,0.0,0.09,-23.43,-20.06
113,301218,华是科技,38.83,7.86,2.83,148750.0,581441480.68,11.61,40.5,36.32,36.66,36.0,1.37,21.23,-375.26,4.88,4428173200.0,2720772902.0,0.08,0.1,7.71,64.26
114,688617,惠泰医疗,220.22,7.86,16.04,26349.0,550584501.0,11.55,224.9,201.31,201.99,204.18,1.16,1.86,33.96,11.01,31167552056.0,31167552056.0,-1.25,-1.37,-12.38,-9.11
115,600066,宇通客车,32.09,7.83,2.33,223826.0,694366747.0,9.34,32.39,29.61,29.7,29.76,1.04,1.01,26.94,6.02,71045309666.0,71045309666.0,-0.06,-0.37,-6.8,4.53
