排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,油气及炼化工程,BK1572,1715.42,132.45,8.37,68069680000,4.07,6,0,博迈科,10.01
2,油服工程,BK1275,1825.52,114.78,6.71,226472415000,2.76,12,2,中曼石油,9.98
3,油气开采Ⅲ,BK1574,3442.63,210.53,6.51,1578446352000,3.54,5,0,中国海油,10.01
4,油气开采Ⅱ,BK1276,3442.63,210.53,6.51,1578446352000,3.54,5,0,中国海油,10.01
5,火力发电,BK1377,2482.78,150.6,6.46,1064387808000,3.39,34,0,华银电力,10.07
6,电能综合服务,BK1373,3349.95,203.01,6.45,210030324000,3.51,14,1,乐山电力,9.99
7,纺织鞋类制造,BK1347,404.43,22.11,5.78,40121460000,0.67,1,0,华利集团,5.78
8,焦煤,BK1494,1148.97,61.06,5.61,204248882000,2.03,10,0,淮北矿业,10.0
9,油田服务,BK1573,1601.14,82.98,5.47,158402734000,2.18,6,2,中曼石油,9.98
10,煤炭开采,BK1250,1785.3,91.73,5.42,2208863520000,1.52,26,1,大有能源,10.0
11,动力煤,BK1493,2304.29,116.0,5.3,2004614624000,1.34,16,1,大有能源,10.0
12,水力发电,BK1380,4119.2,203.82,5.21,1279018976000,1.35,11,0,桂冠电力,9.98
13,煤炭,BK0437,12763.18,612.65,5.04,2259249520000,1.61,33,1,大有能源,10.0
14,文字媒体,BK1298,2292.44,103.82,4.74,24188071000,6.45,1,1,掌阅科技,10.0
15,电力,BK0428,19146.71,861.94,4.71,4062886896000,2.64,100,11,立新能源,10.04
16,风力发电,BK1374,1967.98,87.43,4.65,765039120000,2.31,14,1,立新能源,10.04
17,氮肥,BK1432,1822.17,79.78,4.58,90266025000,5.15,6,0,赤天化,10.13
18,保险Ⅲ,BK1358,1376.54,59.35,4.51,2951428496000,0.66,5,0,中国太保,6.32
19,保险Ⅱ,BK0474,1376.54,59.35,4.51,2951428496000,0.66,5,0,中国太保,6.32
20,公用事业,BK0427,9252.09,354.13,3.98,4315276800000,2.61,123,18,立新能源,10.04
21,煤化工,BK1419,1737.64,65.23,3.9,244079137000,3.28,8,2,金牛化工,9.96
22,白酒Ⅲ,BK1575,4213.53,157.41,3.88,2497226352000,2.0,20,0,古井贡酒,10.0
23,白酒Ⅱ,BK1277,4213.53,157.41,3.88,2497226352000,2.0,20,0,古井贡酒,10.0
24,焦炭Ⅲ,BK1492,706.64,24.56,3.6,50386010000,2.24,7,0,陕西黑猫,5.69
25,焦炭Ⅱ,BK1249,706.64,24.56,3.6,50386010000,2.24,7,0,陕西黑猫,5.69
26,石油石化,BK0464,6098.1,197.8,3.35,4989879552000,0.98,35,13,中曼石油,9.98
27,电信运营商,BK1587,1017.31,31.8,3.23,2785866128000,0.55,3,0,中国电信,3.83
28,光伏发电,BK1375,3098.81,96.83,3.23,122526305000,5.1,10,3,金开新能,10.05
29,炼油化工,BK1569,3294.56,91.09,2.84,3052923280000,0.47,9,1,中国石油,7.0
30,核力发电,BK1376,619.27,17.1,2.84,493005968000,0.61,3,0,中国广核,3.3
31,国有大型银行Ⅲ,BK1611,3185.05,78.47,2.53,11005421568000,0.27,6,0,农业银行,3.44
32,视频媒体,BK1296,750.27,18.37,2.51,29033587000,2.43,1,0,芒果超媒,2.51
33,综合乘用车,BK1520,2414.68,57.75,2.45,392329456000,0.84,5,0,长城汽车,4.47
34,风电整机,BK1314,1399.36,33.11,2.42,138106425000,2.88,5,0,三一重能,5.9
35,旅游零售Ⅲ,BK1549,5980.32,137.23,2.35,122075668000,2.0,2,0,中国中免,3.35
36,旅游零售Ⅱ,BK1269,5980.32,137.23,2.35,122075668000,2.0,2,0,中国中免,3.35
37,股份制银行Ⅲ,BK1610,2346.15,52.72,2.3,2839672704000,0.67,9,0,兴业银行,3.32
38,乘用车,BK1262,3497.14,73.52,2.15,1375414080000,0.94,8,0,长城汽车,4.47
39,钾肥,BK1434,2137.94,44.58,2.13,300135968000,1.77,3,1,亚钾国际,4.48
40,城商行Ⅲ,BK1609,1595.36,32.25,2.06,1266697360000,0.99,17,0,厦门银行,6.82
41,银行,BK1283,4195.18,83.24,2.02,15370989056000,0.45,42,0,厦门银行,6.82
42,银行Ⅱ,BK0475,4195.18,83.24,2.02,15370989056000,0.45,42,0,厦门银行,6.82
43,商用载客车,BK1531,3113.62,52.37,1.71,89259319000,1.95,3,1,宇通客车,7.83
44,证券Ⅲ,BK1366,141096.79,2368.18,1.71,3647627344000,1.44,47,2,广发证券,5.19
45,证券Ⅱ,BK0473,141096.79,2368.18,1.71,3647627344000,1.44,47,2,广发证券,5.19
46,国际工程,BK1475,2359.75,38.0,1.64,48051410000,1.52,4,0,中材国际,3.1
47,光伏主材,BK1318,9669.6,155.68,1.64,138657933000,1.45,2,0,隆基绿能,2.13
48,冶钢辅料,BK1372,5886.6,93.5,1.61,84435874000,1.12,3,1,鄂尔多斯,4.77
49,房地产综合服务,BK1342,1199.23,19.03,1.61,3484133000,2.84,1,0,珠江股份,1.61
50,金融控股,BK1359,1957.01,30.77,1.6,240638849000,1.18,8,1,中油资本,3.77
51,粮食种植,BK1515,863.16,13.51,1.59,31761530000,1.31,2,0,北大荒,2.55
52,氨纶,BK1412,2574.48,40.26,1.59,50766824000,1.14,1,0,华峰化学,1.59
53,人力资源服务,BK1568,1746.4,26.78,1.56,20524813000,0.89,3,0,科锐国际,1.69
54,电动乘用车,BK1519,4478.63,68.0,1.54,983084608000,1.3,3,0,赛力斯,2.41
55,信托,BK1363,1876.98,28.17,1.52,67110492000,1.18,3,0,建元信托,2.11
56,板材,BK1367,797.48,11.82,1.5,460294224000,1.2,13,3,杭钢股份,10.07
57,其他能源发电,BK1378,1429.15,21.03,1.49,10673685000,1.05,2,0,顺发恒能,2.14
58,快递,BK1489,5221.02,76.22,1.48,278912944000,1.09,4,0,顺丰控股,2.72
59,热力服务,BK1379,2882.16,41.94,1.48,118204718000,4.93,12,6,宁波能源,8.45
60,高速公路,BK1483,2685.55,38.94,1.47,376862560000,0.87,15,5,皖通高速,8.87
61,商用车,BK1264,2433.11,34.23,1.43,260130489000,1.53,11,2,宇通客车,7.83
62,农商行Ⅲ,BK1612,459.49,6.39,1.41,259197461000,1.31,10,0,沪农商行,3.75
63,非银金融,BK1203,2394.67,31.92,1.35,7094342144000,1.28,69,11,中国太保,6.32
64,燃气Ⅲ,BK1381,1790.81,23.46,1.33,252389834000,2.23,23,7,凯添燃气,10.51
65,燃气Ⅱ,BK1028,1790.81,23.46,1.33,252389834000,2.23,23,7,凯添燃气,10.51
66,纯碱,BK1417,916.3,11.63,1.29,43918649000,2.73,4,1,三友化工,2.5
67,商用载货车,BK1530,1827.53,22.91,1.27,170871170000,1.44,8,1,中集车辆,4.23
68,港口,BK1481,1561.64,19.43,1.26,503501072000,0.63,15,2,招商港口,3.18
69,炼化及贸易,BK1274,3112.77,38.7,1.26,3184960752000,0.6,18,11,宝利国际,13.4
70,线下药店,BK1606,3413.47,40.67,1.21,79490030000,2.29,6,2,漱玉平民,4.49
71,图片媒体,BK1297,2771.1,32.08,1.17,11496475000,3.64,1,0,视觉中国,1.17
72,普钢,BK1226,727.06,8.26,1.15,502434608000,1.19,15,6,杭钢股份,10.07
73,啤酒,BK1577,2315.83,26.17,1.14,154629414000,1.63,5,2,燕京啤酒,5.54
74,机场,BK1480,1776.3,19.91,1.13,131439591000,1.08,5,0,海南机场,1.84
75,钼,BK1623,1329.41,13.55,1.03,142207735000,2.64,2,1,盛龙股份,3.7
76,宠物食品,BK1507,1445.57,13.7,0.96,30293627000,3.37,2,2,乖宝宠物,5.16
77,摩托车,BK1521,3293.26,30.18,0.92,150694316000,1.2,5,4,春风动力,6.77
78,铁路运输,BK1485,1439.37,13.13,0.92,391639344000,0.7,6,1,大秦铁路,2.97
79,医美耗材,BK1500,1434.57,12.87,0.91,63534695000,2.18,2,1,爱美客,1.67
80,非白酒,BK1279,1914.17,16.96,0.89,212515301000,1.88,12,5,威龙股份,10.01
81,航空机场,BK0420,4046.22,35.16,0.88,563610672000,0.76,14,0,中信海直,1.94
82,诊断服务,BK1602,5162.75,42.72,0.83,45579601000,3.55,3,2,迪安诊断,2.19
83,期货,BK1361,472.1,3.88,0.83,47292629000,1.4,3,1,弘业期货,1.56
84,航运港口,BK0450,11342.9,93.01,0.83,1127197440000,1.04,26,10,中远海特,5.78
85,黄金,BK1617,4940.87,39.65,0.81,424461040000,2.53,7,3,山东黄金,2.78
86,综合电力设备商,BK1323,1140.55,9.05,0.8,186728276000,0.83,2,0,东方电气,1.29
87,航空运输,BK1479,1302.39,9.49,0.73,432171072000,0.7,9,0,中信海直,1.94
88,血液制品,BK1597,4207.53,30.62,0.73,85527259000,1.63,3,3,天坛生物,2.56
89,其他生物制品,BK1596,7447.14,53.95,0.73,629354576000,2.84,21,17,百普赛斯,8.71
90,其他酒类,BK1578,1429.2,10.21,0.72,57885887000,2.16,7,3,威龙股份,10.01
91,空调,BK1450,14417.75,102.85,0.72,907154672000,1.07,3,1,美的集团,1.92
92,其他饰品,BK1356,549.89,3.88,0.71,4926856000,1.81,1,1,ST新华锦,1.89
93,教育出版,BK1290,2053.98,13.26,0.65,120307470000,0.97,7,3,凤凰传媒,2.34
94,铁路公路,BK0421,8202.37,51.07,0.63,794212368000,0.82,21,14,皖通高速,8.87
95,其他石化,BK1570,2546.23,13.82,0.55,105633785000,2.83,7,6,宝利国际,13.4
96,航运,BK1482,1451.76,6.62,0.46,623696368000,1.77,11,8,中远海特,5.78
97,复合肥,BK1433,2909.0,13.18,0.46,71817153000,2.76,7,3,史丹利,3.85
