序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301699,N洛轴,31.99,101.45,16.11,560830.0,1840767558.23,41.94,36.66,30.0,30.0,15.88,,80.2,40.54,5.0,23160760000.0,2237107054.0,0.09,0.66,101.45,101.45
2,920268,N百迈科,26.88,57.19,9.78,94898.0,270402182.02,37.66,33.1,26.66,32.86,17.1,,65.68,18.85,2.43,1456896000.0,388365896.0,0.0,0.07,57.19,57.19
3,300913,兆龙互连,41.08,14.72,5.27,421777.0,1733800812.06,19.41,42.97,36.02,36.67,35.81,6.07,14.75,66.51,5.33,14081448410.0,11742895466.0,-0.02,-0.22,-28.38,-21.71
4,920019,铜冠矿建,18.17,12.79,2.06,110981.0,199285008.86,20.86,19.37,16.01,16.4,16.11,4.09,6.62,40.89,4.05,3820545939.0,3044123051.0,0.17,0.22,-5.07,-12.9
5,688559,海目星,59.03,12.5,6.56,254514.0,1467165717.0,13.09,59.75,52.88,52.88,52.47,2.52,10.27,140.86,5.91,14625216367.0,14625216367.0,0.14,0.19,-18.05,22.83
6,688033,*ST天宜,7.36,12.2,0.8,169479.0,121563465.0,17.23,7.69,6.56,6.65,6.56,4.09,3.01,-12.73,3.31,4137781667.0,4137781667.0,0.0,0.14,8.55,-4.42
7,300810,中科海讯,27.73,11.59,2.88,101556.0,276238445.04,16.66,28.84,24.7,24.85,24.85,4.54,8.91,-36.44,4.46,3273526500.0,3161321215.0,-0.14,-0.11,3.59,-27.52
8,301322,绿通科技,45.61,11.33,4.64,100660.0,448004427.33,9.35,46.23,42.4,43.06,40.97,3.1,9.36,-738.6,2.28,6506534596.0,4906762751.0,0.15,0.09,-17.88,66.28
9,920128,胜业电气,20.4,11.29,2.07,64778.0,134176928.97,22.53,22.44,18.31,18.31,18.33,4.59,26.66,132.24,3.26,1656276000.0,495720000.0,-0.2,-0.24,-22.34,-26.62
10,301055,张小泉,31.19,11.08,3.11,85737.0,256672022.18,12.5,31.36,27.85,27.85,28.08,2.57,5.62,70.13,7.22,4865640000.0,4761704814.0,0.06,0.03,-21.67,61.52
11,688028,沃尔德,124.35,10.15,11.46,141371.0,1713241342.0,9.42,125.58,114.95,116.0,112.89,1.33,9.37,160.6,9.18,18770508150.0,18770508150.0,0.06,0.19,13.05,93.06
12,002377,国创高新,3.15,10.14,0.29,1718623.0,528317047.88,10.84,3.15,2.84,2.84,2.86,6.93,19.7,76.0,7.22,2886424383.0,2748210951.0,0.0,0.0,15.38,10.14
