序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,603468,N津富,37.49,114.72,20.03,309747.0,1230281207.0,49.03,45.45,36.89,39.6,17.46,,77.46,40.99,4.31,15454191533.0,1499171639.0,-0.03,0.03,114.72,114.72
2,301251,威尔高,39.83,20.01,6.64,134254.0,498119236.93,23.14,39.83,32.15,32.53,33.19,1.86,17.76,276.12,4.85,7510507545.0,3010738866.0,0.0,0.0,-21.35,6.75
3,688693,锴威特,77.82,20.0,12.97,4540.0,35331136.0,0.0,77.82,77.82,77.82,64.85,0.17,1.17,-79.57,7.38,5734105300.0,3027541497.0,0.0,0.0,-44.18,107.85
4,300903,科翔股份,64.32,20.0,10.72,428958.0,2525332885.65,22.43,64.32,52.3,53.24,53.6,1.38,12.21,-134.63,15.34,28004063732.0,22600745134.0,0.0,0.0,-10.67,233.44
5,300711,广哈通信,19.03,19.99,3.17,145107.0,264320847.09,20.3,19.03,15.81,15.9,15.86,4.39,5.84,-160.8,3.6,5336652017.0,4727540957.0,0.0,0.0,-10.95,-17.33
6,688549,中巨芯-U,27.85,19.99,4.64,1897527.0,4944339555.0,21.97,27.85,22.75,22.87,23.21,2.14,32.2,1612.98,13.67,41142136600.0,16412534150.0,0.0,0.0,108.3,205.37
7,300540,蜀道装备,33.61,19.99,5.6,241602.0,741169096.1,21.49,33.61,27.59,27.82,28.01,1.95,11.69,155.63,6.75,7649361406.0,6948101394.0,0.0,0.0,12.63,68.47
8,300615,欣天科技,18.02,19.97,3.0,435440.0,783836575.46,2.8,18.02,17.6,18.01,15.02,13.86,28.44,-25.85,7.53,3477665384.0,2758632479.0,0.0,0.0,25.14,36.21
9,300386,飞天诚信,12.56,19.96,2.09,212943.0,260436568.26,20.06,12.56,10.46,10.54,10.47,3.46,8.49,-47.05,3.66,5250632640.0,3149516122.0,0.0,0.0,-3.24,-30.42
10,300311,任子行,7.16,19.93,1.19,1688667.0,1107074684.66,22.78,7.16,5.8,5.8,5.97,5.01,31.42,-47.55,7.37,4823191874.0,3847849106.0,0.0,0.0,27.4,61.26
11,920087,秋乐种业,11.66,17.54,1.74,177376.0,192439865.65,21.67,12.0,9.85,9.92,9.92,3.47,10.81,-60.56,3.64,1926232000.0,1912777818.0,0.43,0.09,-15.51,-26.57
12,301007,德迈仕,33.78,16.89,4.88,121339.0,384661118.64,20.07,34.0,28.2,28.2,28.9,3.03,8.02,146.1,8.0,5179825200.0,5111762723.0,0.21,-0.24,-15.93,-16.49
13,300134,大富科技,9.59,15.26,1.27,564829.0,521334262.15,20.07,9.88,8.21,8.29,8.32,5.66,7.36,-34.69,2.01,7360305878.0,7360305878.0,-0.1,0.0,-19.07,-23.28
14,920924,广脉科技,17.38,15.1,2.28,95522.0,163438767.98,28.74,19.18,14.84,14.84,15.1,3.39,14.61,117.32,5.81,1864813170.0,1136167811.0,-0.4,0.0,-15.96,-16.88
15,688432,有研硅,37.85,14.8,4.88,943549.0,3366889758.0,22.29,38.7,31.35,31.35,32.97,1.44,7.55,235.78,10.65,47323925325.0,47323925325.0,0.0,0.4,98.06,206.23
16,688530,欧莱新材,58.5,14.15,7.25,195382.0,1097546803.0,16.14,59.27,51.0,51.0,51.25,1.56,28.0,57.53,11.05,9362622204.0,4082057694.0,0.07,0.07,3.34,255.84
17,300887,谱尼测试,8.28,13.42,0.98,565616.0,462480390.75,16.16,8.68,7.5,7.69,7.3,5.41,15.62,-16.26,1.64,4518672660.0,2998992982.0,0.12,0.36,-17.2,-13.75
18,300518,新迅达,23.87,12.91,2.73,186009.0,436642260.06,20.58,25.11,20.76,21.0,21.14,1.79,9.33,-86.84,7.2,4759954319.0,4759021599.0,0.0,0.04,-21.4,36.4
19,300720,海川智能,72.7,12.4,8.02,230509.0,1602340674.89,15.63,73.5,63.39,64.0,64.68,1.53,12.52,500.47,24.51,14167576511.0,13387357567.0,0.35,0.37,0.0,114.83
20,300897,山科智能,17.45,12.29,1.91,134607.0,226779589.54,11.33,17.66,15.9,16.08,15.54,2.62,11.01,126.47,3.52,3417516783.0,2133368648.0,0.17,0.58,-10.97,-5.06
21,920943,优机股份,16.27,11.67,1.7,62504.0,103313512.86,25.19,18.0,14.33,14.51,14.57,2.29,12.06,-52.13,2.61,1651752820.0,842913443.0,0.56,1.06,-7.98,-38.02
22,688090,瑞松科技,64.93,11.66,6.78,143358.0,882887739.0,15.06,65.35,56.59,57.05,58.15,1.3,9.03,125.18,11.29,10305849652.0,10305849652.0,0.05,0.05,-8.19,90.08
23,688727,恒坤新材,47.5,11.58,4.93,93026.0,412972760.0,15.06,48.0,41.59,41.6,42.57,1.84,17.22,208.63,8.44,21342681000.0,2566341638.0,-0.21,0.64,-23.13,-0.57
24,688290,景业智能,68.4,11.4,7.0,23626.0,156598914.0,10.99,68.49,61.74,62.23,61.4,2.84,2.31,-225.57,5.22,6989776438.0,6989776438.0,-0.04,0.19,2.58,15.07
25,688702,盛科通信-U,390.02,11.29,39.58,132643.0,4977826742.0,23.47,420.53,338.28,339.37,350.44,1.18,6.53,-2347.5,71.65,159908200000.0,79170855206.0,0.29,-1.02,28.84,175.26
26,300283,温州宏丰,16.05,11.15,1.61,713087.0,1085603647.65,15.3,16.32,14.11,14.21,14.44,2.03,18.77,43.19,6.65,7976500463.0,6096889248.0,0.12,0.0,-6.63,113.43
27,300847,中船汉光,16.06,11.14,1.61,288805.0,476801220.07,8.03,17.18,16.02,17.0,14.45,5.64,9.76,46.35,3.2,4753920600.0,4753920600.0,-0.06,0.12,-1.23,-5.64
28,920961,创远信科,20.54,10.91,2.02,68178.0,135885595.75,18.03,21.58,18.24,18.5,18.52,2.77,6.56,-82.93,3.93,2933944034.0,2135140189.0,-0.05,-0.19,0.1,-27.5
29,688503,聚和材料,72.97,10.75,7.08,204150.0,1402505038.0,13.67,73.02,64.01,64.77,65.89,1.66,8.43,15.25,3.39,17661194930.0,17661194930.0,0.0,0.15,-34.64,20.43
30,688026,洁特生物,15.36,10.74,1.49,58649.0,86635873.0,11.75,15.44,13.81,13.81,13.87,2.36,4.18,-127.63,2.01,2155997599.0,2155309133.0,0.13,0.72,-4.95,-4.24
31,300489,光智科技,202.0,10.72,19.55,189843.0,3711434691.46,14.14,206.79,181.0,182.0,182.45,1.32,13.69,456.84,36.9,28109882670.0,28006993162.0,-0.42,0.22,64.23,297.64
32,300084,海默科技,12.54,10.58,1.2,288857.0,352337168.58,12.08,12.68,11.31,11.35,11.34,2.82,6.13,-105.39,4.72,6881449133.0,5905641447.0,0.0,0.16,-7.73,25.53
33,301319,唯特偶,108.3,10.5,10.29,216371.0,2146099124.33,18.26,109.24,91.34,91.34,98.01,1.84,15.73,189.69,16.37,19760122883.0,14892734468.0,-0.64,1.21,56.98,185.83
34,300689,澄天伟业,51.62,10.35,4.84,45086.0,221901812.7,13.02,51.8,45.71,46.68,46.78,1.23,4.43,1092.58,8.55,5967272000.0,5252021357.0,-0.19,0.39,-11.4,14.94
35,300051,琏升科技,8.78,10.3,0.82,509686.0,434309442.08,11.93,8.85,7.9,7.96,7.96,2.89,13.87,-39.28,34.18,3266315318.0,3225908880.0,0.11,0.0,-44.32,36.12
36,000839,国安股份,3.14,10.18,0.29,2814157.0,841371438.47,12.63,3.14,2.78,2.83,2.85,1.8,7.18,-957.07,7.93,12308254745.0,12308254745.0,0.0,0.0,-8.45,18.94
37,300546,雄帝科技,17.59,10.14,1.62,182463.0,316268495.03,17.6,18.49,15.68,15.68,15.97,3.78,13.52,-37.6,2.95,3300758065.0,2373436026.0,0.0,0.11,-19.35,-32.73
38,000692,惠天热电,4.24,10.13,0.39,117506.0,49224948.69,6.23,4.24,4.0,4.07,3.85,1.04,2.21,11.45,12.18,2259211818.0,2259211818.0,0.0,0.0,-19.85,23.26
39,002721,金一文化,2.94,10.11,0.27,265598.0,78085812.0,0.0,2.94,2.94,2.94,2.67,0.62,1.0,57.77,3.63,7818573128.0,7818573128.0,0.0,0.0,-2.33,-6.67
40,300937,药易购,26.93,10.1,2.47,168466.0,440665716.36,20.85,29.1,24.0,24.6,24.46,2.96,25.97,-236.78,3.15,2576303746.0,1746792421.0,0.04,0.11,-0.07,-21.0
41,600892,大晟文化,4.58,10.1,0.42,1453596.0,656784579.0,8.89,4.58,4.21,4.58,4.16,7.82,25.99,-37.56,292.16,2562345981.0,2561683475.0,0.0,0.0,13.93,25.14
42,002425,凯撒文化,3.82,10.09,0.35,1100811.0,418956368.68,4.61,3.82,3.66,3.82,3.47,2.19,11.96,77.07,1.47,3654460552.0,3515110226.0,0.0,0.0,7.0,7.91
43,002376,新北洋,6.99,10.08,0.64,383085.0,266856382.46,3.94,6.99,6.74,6.99,6.35,4.08,4.87,150.82,1.55,5665832162.0,5502062501.0,0.0,0.0,-2.1,-7.05
44,000720,新能泰山,3.93,10.08,0.36,910043.0,348588088.36,10.92,3.93,3.54,3.55,3.57,2.4,7.24,-55.44,2.63,4938169074.0,4938169074.0,0.0,0.0,-37.22,20.18
45,002485,ST雪发,5.9,10.07,0.54,57682.0,32414917.3,11.38,5.9,5.29,5.37,5.36,2.54,1.06,-51.17,3.16,3209600000.0,3209600000.0,0.0,0.0,22.66,40.48
46,688433,华曙高科,87.28,10.06,7.98,77877.0,664973759.0,13.62,89.48,78.68,79.96,79.3,1.79,1.87,-2488.76,17.25,36271608302.0,36271608302.0,0.23,0.01,-10.73,32.0
47,603123,翠微股份,10.07,10.05,0.92,429257.0,419857707.0,10.93,10.07,9.07,9.14,9.15,1.32,6.58,-66.2,4.94,8043278217.0,6568418806.0,0.0,0.0,-14.08,-40.1
48,002052,同洲电子,9.75,10.05,0.89,239507.0,223434492.0,10.95,9.75,8.78,8.89,8.86,2.63,3.47,282.77,26.34,7336287017.0,6721524761.0,0.0,0.0,-16.67,-23.53
49,002686,亿利达,6.57,10.05,0.6,319763.0,200985839.5,11.39,6.57,5.89,5.9,5.97,0.88,6.12,570.69,2.32,3720191104.0,3434328597.0,0.0,0.0,-19.09,0.77
50,603122,合富中国,12.39,10.04,1.13,263161.0,312219967.0,10.75,12.39,11.18,11.3,11.26,1.81,6.61,-148.82,4.72,4931872123.0,4931872123.0,0.0,0.0,-21.18,-49.22
51,002667,*ST威领,13.48,10.04,1.23,217172.0,284830617.4,8.82,13.48,12.4,12.5,12.25,0.73,9.18,52.6,-176.62,3512773420.0,3189516280.0,0.0,0.0,-46.08,2.98
52,002649,博彦科技,11.29,10.04,1.03,561557.0,623599747.62,5.07,11.29,10.77,10.78,10.26,3.28,10.47,143.6,1.62,6677295866.0,6055561595.0,0.0,0.0,5.81,-13.55
53,600397,江钨装备,16.89,10.03,1.54,242789.0,407628793.0,2.54,16.89,16.5,16.5,15.35,0.28,2.45,3135.69,86.61,16720422407.0,16720422407.0,0.0,0.0,11.93,122.24
54,601699,潞安环能,16.24,10.03,1.48,669864.0,1045383852.0,10.03,16.24,14.76,14.8,14.76,2.49,2.24,16.89,1.06,48580485408.0,48580485408.0,0.0,0.0,9.29,39.88
55,601101,昊华能源,12.72,10.03,1.16,309297.0,385607354.0,8.82,12.72,11.7,11.72,11.56,1.15,2.15,14.32,1.53,18316773619.0,18316773619.0,0.0,0.0,25.44,84.08
56,002759,ST天际,16.68,10.03,1.52,606120.0,971997626.35,10.69,16.68,15.06,15.11,15.16,1.61,12.1,10.6,2.4,8363061851.0,8355709107.0,0.0,0.0,-55.26,-64.07
57,002214,大立科技,16.34,10.03,1.49,14778.0,24147252.0,0.0,16.34,16.34,16.34,14.85,0.41,0.31,-35.81,7.78,9782148306.0,7817328110.0,0.0,0.0,-17.18,-9.32
58,002194,武汉凡谷,10.09,10.03,0.92,405276.0,400226901.83,8.72,10.09,9.29,9.32,9.17,2.78,7.93,-1174.27,2.78,6894353783.0,5154767597.0,0.0,0.0,-21.48,-22.68
59,003029,吉大正元,18.76,10.03,1.71,91939.0,165371130.0,10.67,18.76,16.94,17.0,17.05,3.15,5.22,-67.62,3.55,3632315459.0,3303617484.0,0.0,0.0,-13.51,-28.34
60,002915,中欣氟材,18.65,10.03,1.7,255709.0,459944901.43,11.39,18.65,16.72,16.76,16.95,4.08,8.88,-313.17,4.21,6252847605.0,5372582431.0,0.0,0.0,-11.61,-23.88
61,603738,泰晶科技,36.47,10.02,3.32,611285.0,2134032533.0,8.05,36.47,33.8,33.8,33.15,1.68,15.84,152.68,7.81,14073316833.0,14073316833.0,0.0,0.0,-32.41,132.74
