排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,钨,BK1625,8827.22,566.14,6.85,277431552000,10.71,4,0,中钨高新,8.83
2,种子,BK1518,3785.86,216.49,6.07,51668309000,8.21,9,1,秋乐种业,17.54
3,焦煤,BK1494,1223.68,67.31,5.82,216082823000,2.27,10,0,平煤股份,9.99
4,煤炭开采,BK1250,1883.77,97.01,5.43,2192545456000,1.82,27,0,昊华能源,10.03
5,动力煤,BK1493,2417.6,119.48,5.2,1976462624000,1.66,17,0,昊华能源,10.03
6,煤炭,BK0437,13521.24,628.6,4.88,2245860752000,1.97,33,1,昊华能源,10.03
7,氟化工,BK1424,14487.33,657.28,4.75,332063984000,5.81,10,0,多氟多,10.0
8,半导体材料,BK1325,12828.84,572.0,4.67,1051803424000,8.14,27,4,有研新材,10.0
9,医美服务,BK1499,638.64,28.25,4.63,6059600000,1.44,1,0,*ST美谷,4.63
10,电子化学品Ⅲ,BK1332,3193.81,128.97,4.21,725187216000,9.24,35,2,江化微,10.01
11,电子化学品Ⅱ,BK1039,3193.81,128.97,4.21,725187216000,9.24,35,2,江化微,10.01
12,集成电路封测,BK1328,8306.69,315.9,3.95,424529184000,11.23,13,0,长电科技,10.0
13,印制电路板,BK1340,10708.89,394.54,3.83,2561292528000,6.55,42,6,景旺电子,10.0
14,通信网络设备及器件,BK1591,13686.25,487.11,3.69,3004154720000,5.38,32,5,通宇通讯,9.99
15,种植业,BK1261,2347.55,82.57,3.65,136560644000,4.96,20,1,秋乐种业,17.54
16,玻纤制造,BK1462,15751.53,520.32,3.42,566027872000,8.18,7,1,宏和科技,7.7
17,橡胶助剂,BK1443,4220.98,137.34,3.36,42604794000,3.87,1,1,彤程新材,6.93
18,黄金,BK1617,6430.92,206.16,3.31,540966256000,4.98,9,1,西部黄金,6.0
19,贵金属,BK0732,2451.39,77.27,3.25,653625712000,6.27,11,2,盛达资源,7.38
20,金融信息服务,BK1360,4854.33,151.83,3.23,36718868000,5.81,2,1,翠微股份,10.05
21,元件,BK0459,52670.24,1623.11,3.18,3127754240000,7.07,55,12,景旺电子,10.0
22,白银,BK1616,4841.87,143.93,3.06,112659455000,11.11,2,1,盛达资源,7.38
23,通信设备,BK0448,22431.2,651.02,2.99,4149286128000,6.09,77,14,通宇通讯,9.99
24,通信终端及配件,BK1593,3925.76,112.04,2.94,390274336000,4.69,21,6,恒宝股份,10.01
25,焦炭Ⅲ,BK1492,759.66,20.25,2.74,53315299000,2.95,6,1,陕西黑猫,7.19
26,焦炭Ⅱ,BK1249,759.66,20.25,2.74,53315299000,2.95,6,1,陕西黑猫,7.19
27,水泥制品,BK1463,1992.29,51.79,2.67,28965143000,1.75,9,0,西部建设,9.96
28,粮油加工,BK1504,1340.32,32.28,2.47,164571735000,4.01,7,2,金健米业,9.98
29,分立器件,BK1327,14912.2,348.98,2.4,559013360000,4.45,14,4,锴威特,20.0
30,通信,BK1215,7444.93,173.89,2.39,7306037504000,2.54,97,33,通宇通讯,9.99
31,氨纶,BK1412,2974.62,67.95,2.34,58657268000,1.26,1,0,华峰化学,2.34
32,水泥,BK0424,25539.38,582.23,2.33,278224960000,1.07,22,0,西藏天路,9.94
33,光学元件,BK1334,15104.58,338.07,2.29,371943728000,5.0,23,3,光智科技,10.72
34,涂料油墨,BK1430,3700.48,81.69,2.26,87001533000,4.15,11,6,百合花,10.0
35,炼油化工,BK1569,3500.68,75.97,2.22,3017974288000,0.25,10,0,荣盛石化,6.05
36,半导体,BK1036,2667.96,56.99,2.18,14470746624000,5.56,142,40,锴威特,20.0
37,通信线缆及配套,BK1592,21991.6,468.98,2.18,673449120000,10.24,13,0,长飞光纤,5.07
38,磨具磨料,BK1397,8508.92,179.4,2.15,128768794000,8.43,12,1,黄河旋风,4.63
39,横向通用软件,BK1448,6636.25,138.33,2.13,587083648000,5.43,23,11,天融信,10.01
40,果蔬加工,BK1503,3019.79,62.74,2.12,42492564000,2.5,5,0,国投中鲁,5.68
41,水泥制造,BK1464,2037.7,42.25,2.12,249259818000,0.95,13,0,西藏天路,9.94
42,模拟芯片设计,BK1330,6221.23,127.98,2.1,582850416000,3.1,27,8,明微电子,7.94
43,小金属,BK1027,3962.52,80.62,2.08,1138868656000,6.22,18,8,云南锗业,10.0
44,电子,BK1201,12545.24,252.77,2.06,23732266496000,4.57,387,125,锴威特,20.0
45,其他饰品,BK1356,552.68,11.11,2.05,4942118000,4.03,2,0,ST瑞贝卡,2.7
46,瓷砖地板,BK1538,1441.04,28.74,2.03,73599019000,2.04,11,1,爱丽家居,9.98
47,其他通信设备,BK1590,5248.55,102.24,1.99,81407958000,2.62,11,3,广哈通信,19.99
48,通信工程及服务,BK1588,2801.72,52.88,1.92,93923079000,7.21,12,7,广脉科技,15.1
49,运动服装,BK1355,2690.15,50.3,1.91,15942462000,4.65,4,0,探路者,3.43
50,激光设备,BK1409,17055.78,311.42,1.86,299879968000,5.1,8,3,英诺激光,7.14
51,半导体设备,BK1326,48335.33,879.51,1.85,2137496016000,3.82,22,2,富创精密,5.85
52,其他医疗服务,BK1599,4195.47,75.89,1.84,20925185000,3.7,2,3,合富中国,10.04
53,仓储物流,BK1486,3992.75,70.79,1.8,33667462000,1.12,5,1,密尔克卫,7.85
