序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920176,N维琪,155.01,599.5,132.85,78500.0,427199777.54,743.46,205.0,40.25,45.01,22.16,,98.78,94.63,11.59,9119238300.0,1231864470.0,0.0,-1.27,599.5,599.5
2,688825,N长鑫,49.0,465.82,40.34,29901292.0,141186633032.0,195.38,55.03,38.11,49.5,8.66,,66.4,33.09,23.52,3277163417773.0,220648909579.0,-0.02,-0.69,465.82,465.82
3,688496,*ST清越,0.89,20.27,0.15,79095.0,6925236.0,12.16,0.89,0.8,0.81,0.74,1.23,3.32,-3.09,0.45,400500000.0,211771584.0,0.0,0.0,-84.02,-85.02
4,300534,陇神戎发,13.42,20.04,2.24,794064.0,977501262.14,24.6,13.42,10.67,10.67,11.18,0.81,26.29,41.27,5.6,4070889900.0,4053530969.0,0.0,0.0,41.86,41.86
5,300802,矩子科技,22.72,20.02,3.79,203184.0,429813477.35,21.76,22.72,18.6,18.89,18.93,1.89,10.04,49.61,4.39,6454257954.0,4597612270.0,0.0,0.0,15.56,19.77
6,301085,亚康股份,61.51,20.0,10.25,76889.0,444980092.58,20.87,61.51,50.81,50.81,51.26,1.41,13.05,56.24,5.59,5337571769.0,3623661250.0,0.0,0.0,-11.86,16.63
7,688171,纬德信息,28.2,20.0,4.7,44506.0,117538914.0,19.96,28.2,23.51,24.48,23.5,2.15,3.81,-5528.49,4.0,3295191432.0,3295191432.0,0.0,0.0,-24.01,-15.62
8,300897,山科智能,14.94,20.0,2.49,52043.0,74324351.7,19.92,14.94,12.46,12.52,12.45,2.18,4.26,108.28,3.01,2925942736.0,1826505880.0,0.0,0.0,-18.76,-18.72
9,301234,五洲医疗,70.5,20.0,11.75,106491.0,729659044.3,12.68,70.5,63.05,70.5,58.75,12.8,26.51,148.86,6.35,4794000000.0,2832028217.0,0.0,0.0,73.82,66.67
10,301526,国际复材,30.84,20.0,5.14,2255540.0,6471469115.82,18.87,30.84,25.99,26.13,25.7,1.33,16.06,107.6,13.75,116293879000.0,43311477745.0,0.0,0.0,93.96,341.83
11,300753,爱朋医疗,21.91,19.99,3.65,151121.0,318775941.22,18.67,21.91,18.5,18.5,18.26,1.5,17.19,-157.24,4.17,2761711680.0,1925758329.0,0.0,0.0,-17.32,-21.05
12,301121,紫建电子,33.86,19.99,5.64,22269.0,74092432.57,13.5,33.86,30.05,30.6,28.22,1.8,4.4,-192.08,2.02,3346250290.0,1713032998.0,0.0,0.0,-10.64,-15.01
13,300214,日科化学,14.23,19.98,2.37,767963.0,1031061504.3,15.85,14.23,12.35,12.35,11.86,1.51,16.52,796.03,2.76,6615564197.0,6615564197.0,0.0,0.0,76.11,113.02
14,300795,米奥会展,13.28,19.96,2.21,386098.0,458205071.78,27.1,13.28,10.28,10.52,11.07,0.86,22.19,-40.2,6.99,3969310594.0,2310522938.0,0.0,0.0,25.4,-1.04
15,920199,倍益康,29.36,18.39,4.56,60565.0,172322377.78,20.93,30.3,25.11,25.2,24.8,2.26,15.97,915.38,3.8,1999689048.0,1113529527.0,0.0,0.03,-5.47,-15.12
16,301310,鑫宏业,59.3,17.17,8.69,134705.0,767102493.11,16.34,59.8,51.53,51.53,50.61,1.1,22.09,76.61,4.85,11323857789.0,3616465293.0,0.02,0.58,36.67,94.17
17,301197,工大科雅,23.43,17.03,3.41,62641.0,137366039.0,18.33,23.43,19.76,19.91,20.02,1.63,5.76,-99.29,2.15,2824252200.0,2547994928.0,0.56,0.86,-19.62,12.7
18,300469,信息发展,49.2,16.78,7.07,134969.0,628337164.98,21.05,49.98,41.11,41.6,42.13,1.31,5.44,-97.25,52.18,12213350141.0,12207198911.0,-0.18,-0.2,-6.29,-20.39
19,300825,阿尔特,11.19,16.44,1.58,430083.0,445898668.78,17.69,11.23,9.53,9.62,9.61,1.26,8.88,92.51,2.73,5537712582.0,5421419601.0,0.0,-0.09,23.78,15.6
20,688146,中船特气,284.94,15.98,39.27,241310.0,6544430222.0,18.81,293.0,246.79,247.63,245.67,1.15,16.65,216.8,25.11,150850588319.0,41307991719.0,0.0,-0.88,285.99,608.81
21,688709,成都华微,27.0,15.88,3.7,175614.0,463612179.0,21.03,27.96,23.06,23.3,23.3,2.37,7.92,-64.06,5.97,17194869702.0,5987148777.0,0.26,0.19,-34.43,-41.23
