排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
337,锂电专用设备,BK1304,21886.53,13.42,0.06,163755575000,2.58,8,9,骄成超声,3.62
338,印染,BK1351,1562.95,0.62,0.04,16517755000,1.16,1,3,富春染织,1.35
339,保健品,BK1579,3624.31,0.85,0.02,51391160000,2.01,5,3,*ST春天,2.75
340,休闲食品,BK1281,2064.96,0.23,0.01,155423475000,1.92,9,11,黑芝麻,3.0
341,电网设备,BK0457,36052.66,3.0,0.01,1634592752000,2.76,64,74,杭电股份,9.99
342,电力,BK0428,19243.61,0.13,0.0,3926947216000,1.07,43,57,郴电国际,10.0
343,火电设备,BK1321,1423.7,-0.03,0.0,25063469000,1.18,2,1,龙源技术,0.39
344,轻工制造,BK1212,3263.51,-1.3,-0.04,984868544000,2.09,68,99,海鸥住工,10.02
345,个护用品,BK1251,619.73,-0.27,-0.04,72021600000,1.32,3,9,洁雅股份,2.95
346,体育Ⅲ,BK1564,840.82,-0.37,-0.04,15996033000,1.25,1,1,久事动娱,0.29
347,体育Ⅱ,BK1273,840.82,-0.37,-0.04,15996033000,1.25,1,1,久事动娱,0.29
348,动物保健Ⅲ,BK1501,4355.17,-1.93,-0.04,57394003000,0.94,5,6,瑞普生物,2.08
349,动物保健Ⅱ,BK1254,4355.17,-1.93,-0.04,57394003000,0.94,5,6,瑞普生物,2.08
350,棉纺,BK1349,2585.2,-1.17,-0.05,46071918000,1.67,2,7,孚日股份,2.64
351,资产管理,BK1364,3516.93,-1.82,-0.05,37360168000,1.25,2,2,海德股份,3.07
352,烘焙食品,BK1582,720.21,-0.39,-0.05,39035795000,1.76,5,3,桃李面包,0.94
353,大气治理,BK1388,3091.97,-2.03,-0.07,17409770000,1.72,4,3,福鞍股份,1.12
354,快递,BK1489,5202.89,-3.71,-0.07,274839136000,0.59,2,1,韵达股份,0.15
355,医药商业,BK1042,1137.78,-0.82,-0.07,308595344000,1.99,17,13,人民同泰,3.93
356,水力发电,BK1380,3912.51,-2.98,-0.08,1225313456000,0.43,5,5,湖南发展,1.33
