代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,10.79,10.82,10.74,10.76,10.82,-0.55,900716851.0
000010,*ST美丽,4.33,4.37,4.17,4.26,4.41,-3.4,235891819.0
000021,深科技,30.45,31.35,29.48,31.14,32.38,-3.83,3841160265.0
000063,中兴通讯,36.0,36.0,34.8,35.7,37.4,-4.55,5261724249.0
000100,TCL科技,4.73,4.8,4.65,4.77,4.84,-1.45,2635880806.0
000166,申万宏源,4.85,4.88,4.83,4.85,4.9,-1.02,399016114.0
000301,东方盛虹,13.43,13.56,11.9,12.07,12.93,-6.65,785484972.0
000333,美的集团,75.73,76.1,75.02,75.41,76.52,-1.45,1958550801.0
000338,潍柴动力,26.7,26.95,25.41,26.66,28.16,-5.33,4391240789.0
000408,藏格矿业,78.7,81.85,76.5,81.17,80.4,0.96,1946242541.0
000425,徐工机械,12.07,12.07,11.55,11.78,12.29,-4.15,1370723733.0
000538,云南白药,55.89,56.83,55.7,56.22,56.15,0.12,503687434.0
000568,泸州老窖,104.4,105.81,104.03,105.01,105.98,-0.92,695896034.0
000617,中油资本,9.25,9.36,9.02,9.05,9.11,-0.66,1080241469.0
000630,铜陵有色,7.25,7.33,7.1,7.28,7.47,-2.54,2545317409.0
000636,风华高科,23.39,23.5,22.12,23.01,23.75,-3.12,1879005983.0
000651,格力电器,37.2,37.48,37.03,37.33,37.4,-0.19,1120759414.0
000657,中钨高新,64.6,65.85,61.64,65.11,65.66,-0.84,4189476245.0
000725,京东方Ａ,4.31,4.33,4.22,4.31,4.37,-1.37,3593024477.0
000776,广发证券,19.8,19.8,19.25,19.39,20.07,-3.39,1067264758.0
000792,盐湖股份,36.11,38.88,36.1,38.36,36.79,4.27,4569795633.0
000807,云铝股份,34.78,35.41,33.4,33.6,33.58,0.06,3145265829.0
000838,*ST发展,2.6,2.63,2.51,2.54,2.57,-1.17,66184917.0
000858,五 粮 液,101.32,102.6,101.27,101.52,102.4,-0.86,1811068891.0
000895,双汇发展,27.18,27.58,27.02,27.32,27.23,0.33,362562118.0
000938,紫光股份,23.66,24.34,23.23,24.26,24.13,0.54,1393099880.0
000958,电投产融,6.76,6.88,6.75,6.85,6.8,0.74,388110495.0
000977,浪潮信息,59.79,61.8,58.36,61.77,59.43,3.94,3501729970.0
