代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,10.91,10.95,10.78,10.86,10.91,-0.46,1156693737.0
000010,*ST美丽,3.6,3.84,3.56,3.7,3.58,3.35,189867067.0
000021,深科技,33.66,33.76,32.35,33.28,33.77,-1.45,4951442066.0
000063,中兴通讯,37.9,38.2,37.61,37.96,37.77,0.5,2930917406.0
000100,TCL科技,4.78,4.91,4.77,4.86,4.8,1.25,2196601557.0
000166,申万宏源,5.02,5.09,5.01,5.04,5.01,0.6,552005015.0
000301,东方盛虹,13.21,13.74,13.07,13.42,13.11,2.36,523683567.0
000333,美的集团,80.28,80.77,79.29,79.7,79.52,0.23,2280423704.0
000338,潍柴动力,29.39,30.19,28.28,28.52,29.1,-1.99,6082965018.0
000408,藏格矿业,83.98,85.8,83.12,84.8,83.6,1.44,1389475628.0
000425,徐工机械,12.78,12.9,12.55,12.6,12.66,-0.47,1377673486.0
000538,云南白药,56.62,56.85,56.39,56.54,56.61,-0.12,335494272.0
000568,泸州老窖,112.78,113.77,112.6,112.92,112.5,0.37,990316967.0
000617,中油资本,8.93,9.11,8.92,9.03,8.93,1.12,672022538.0
000630,铜陵有色,7.52,7.85,7.42,7.73,7.51,2.93,5144863523.0
000636,风华高科,25.04,25.74,24.71,25.74,23.4,10.0,4441950225.0
000651,格力电器,38.48,38.78,38.42,38.49,38.43,0.16,1306946252.0
000657,中钨高新,54.0,58.83,53.12,58.83,53.48,10.0,5708607048.0
000725,京东方Ａ,4.29,4.39,4.28,4.36,4.28,1.87,2607984135.0
000776,广发证券,21.0,21.23,20.88,20.91,20.99,-0.38,1143394875.0
000792,盐湖股份,35.92,37.13,35.72,36.2,35.66,1.51,4209274820.0
000807,云铝股份,30.6,31.7,30.41,31.36,30.38,3.23,1877698359.0
000838,*ST发展,2.68,2.83,2.67,2.77,2.65,4.53,133295538.0
000858,五 粮 液,105.0,106.11,104.87,105.17,105.16,0.01,1703140853.0
000895,双汇发展,26.38,26.6,26.18,26.19,26.38,-0.72,222177262.0
000938,紫光股份,25.48,25.55,25.21,25.28,25.46,-0.71,1175969011.0
000958,电投产融,6.47,6.54,6.46,6.5,6.47,0.46,140585310.0
000977,浪潮信息,63.22,63.26,62.0,62.57,63.39,-1.29,2565144786.0
000988,华工科技,85.7,86.9,84.12,86.1,82.42,4.46,10878679563.0
001280,中国铀业,89.5,94.79,89.15,93.39,88.55,5.47,2429410323.0
001289,龙源电力,16.0,16.03,15.77,15.81,15.91,-0.63,101006138.0
001309,德明利,252.0,252.33,245.21,250.73,255.99,-2.05,1918651991.0
001389,广合科技,102.44,109.19,100.5,106.97,102.06,4.81,1018905883.0
