代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,10.86,10.92,10.84,10.9,10.87,0.28,666177346.0
000010,*ST美丽,4.07,4.48,3.94,4.28,4.07,5.16,678533208.0
000021,深科技,34.0,34.61,33.38,34.4,34.69,-0.84,3621583658.0
000063,中兴通讯,38.1,38.85,37.76,38.65,38.57,0.21,3306058613.0
000100,TCL科技,4.84,5.01,4.83,4.97,4.82,3.11,3277729868.0
000166,申万宏源,4.99,5.02,4.98,5.01,5.0,0.2,420391999.0
000301,东方盛虹,12.88,13.17,12.78,13.02,12.98,0.31,440988820.0
000333,美的集团,79.03,79.5,78.5,78.64,79.25,-0.77,1590463839.0
000338,潍柴动力,28.1,28.51,27.48,27.86,29.22,-4.65,4208555795.0
000408,藏格矿业,85.96,88.17,85.12,86.16,87.0,-0.97,1346716388.0
000425,徐工机械,12.34,12.42,12.05,12.26,12.36,-0.81,1030537514.0
000538,云南白药,56.19,56.4,56.0,56.05,56.25,-0.36,331962008.0
000568,泸州老窖,111.04,111.49,110.35,110.5,111.0,-0.45,717623932.0
000617,中油资本,9.0,9.1,9.0,9.09,9.0,1.0,597964458.0
000630,铜陵有色,7.53,7.94,7.51,7.93,7.59,4.48,5159622421.0
000636,风华高科,25.5,26.75,25.15,26.0,25.73,1.05,4423640264.0
000651,格力电器,37.58,37.67,37.22,37.45,37.59,-0.37,1767400434.0
000657,中钨高新,60.6,66.22,60.6,66.22,60.2,10.0,6175451950.0
000725,京东方Ａ,4.33,4.49,4.32,4.48,4.33,3.46,4868981872.0
000776,广发证券,20.8,21.01,20.76,20.84,20.81,0.14,743539459.0
000792,盐湖股份,37.97,38.96,37.8,38.2,39.01,-2.08,4837939895.0
000807,云铝股份,30.71,31.98,30.65,31.2,30.99,0.68,1574343755.0
000838,*ST发展,2.61,2.65,2.59,2.63,2.63,0.0,67466926.0
000858,五 粮 液,103.88,104.55,103.88,104.05,103.88,0.16,1242973439.0
000895,双汇发展,26.26,26.46,26.2,26.28,26.27,0.04,184860612.0
000938,紫光股份,25.55,26.09,25.34,25.95,25.73,0.86,1478386305.0
000958,电投产融,6.51,6.66,6.49,6.65,6.5,2.31,366890967.0
000977,浪潮信息,62.15,65.03,61.63,63.88,63.07,1.28,3457704732.0
000988,华工科技,86.82,90.88,85.3,89.86,88.55,1.48,8243885933.0
001280,中国铀业,92.32,97.33,92.19,96.07,93.1,3.19,2045089700.0
001289,龙源电力,16.11,16.64,16.05,16.58,16.13,2.79,158591090.0
001309,德明利,252.45,256.5,248.2,255.95,256.48,-0.21,2238093534.0
001389,广合科技,119.23,120.31,115.0,119.74,117.67,1.76,1697668903.0
002001,新 和 成,31.39,32.08,30.94,31.5,31.06,1.42,1817196768.0
002008,大族激光,69.72,73.21,68.72,72.3,69.72,3.7,5930940766.0
