排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,白银,BK1616,3905.93,236.05,6.43,93058464000,6.97,3,0,盛达资源,9.99
2,贵金属,BK0732,2100.81,126.0,6.38,576462768000,5.07,13,0,盛达资源,9.99
3,黄金,BK1617,5615.76,336.06,6.37,483404304000,4.56,10,0,招金黄金,9.97
4,钾肥,BK1434,2347.31,139.97,6.34,326503760000,2.04,4,0,东方铁塔,10.01
5,医美耗材,BK1500,1489.72,80.78,5.73,66448807000,3.35,3,0,爱美客,8.7
6,氨纶,BK1412,2778.33,140.93,5.34,54786484000,1.45,1,0,华峰化学,5.34
7,医疗美容,BK1253,1075.82,48.54,4.73,71793410000,1.79,4,0,爱美客,8.7
8,光伏主材,BK1318,10123.54,427.41,4.41,145183408000,2.65,2,0,隆基绿能,5.36
9,油田服务,BK1573,1606.21,64.92,4.21,161025444000,1.71,7,0,中曼石油,10.0
10,房地产综合服务,BK1342,1233.5,49.5,4.18,3583680000,4.69,1,0,珠江股份,4.18
11,油服工程,BK1275,1825.82,70.33,4.01,228812997000,2.24,12,1,中曼石油,10.0
12,油气及炼化工程,BK1572,1708.82,61.47,3.73,67787553000,3.44,5,1,通源石油,8.89
13,铜,BK1615,3463.5,103.97,3.09,1868060032000,3.09,13,4,金诚信,9.98
14,油气开采Ⅲ,BK1574,3393.48,98.37,2.99,1602076368000,2.69,5,0,中国海油,4.72
15,油气开采Ⅱ,BK1276,3393.48,98.37,2.99,1602076368000,2.69,5,0,中国海油,4.72
16,动力煤,BK1493,2337.4,66.74,2.94,2009149712000,1.49,15,2,大有能源,10.04
17,煤炭开采,BK1250,1802.32,50.56,2.89,2214603824000,1.53,24,3,大有能源,10.04
18,煤炭,BK0437,12865.38,360.24,2.88,2265186368000,1.59,31,3,大有能源,10.04
19,焦炭Ⅲ,BK1492,708.13,19.69,2.86,50582552000,1.98,7,0,安泰集团,5.76
20,焦炭Ⅱ,BK1249,708.13,19.69,2.86,50582552000,1.98,7,0,安泰集团,5.76
21,焦煤,BK1494,1150.49,31.29,2.8,205454112000,1.66,9,1,潞安环能,6.15
22,炼油化工,BK1569,3324.61,87.23,2.69,3040841776000,0.31,9,1,荣盛石化,6.02
23,电能综合服务,BK1373,3347.71,86.82,2.66,210365775000,2.87,14,1,乐山电力,9.96
24,火力发电,BK1377,2550.84,65.36,2.63,1095656160000,3.29,30,4,华电辽能,10.03
25,培训教育,BK1557,3935.83,99.76,2.6,50479323000,2.52,5,7,创业黑马,20.01
26,风力发电,BK1374,1998.65,50.58,2.6,764383680000,1.76,11,5,立新能源,9.99
27,热力服务,BK1379,2887.03,71.11,2.53,120537392000,4.23,11,6,世茂能源,10.02
28,粮食种植,BK1515,873.57,21.48,2.52,32310822000,1.44,2,0,北大荒,3.9
29,电力,BK0428,19369.21,447.67,2.37,4107911776000,2.34,89,21,立新能源,9.99
30,水力发电,BK1380,4117.67,95.04,2.36,1289992352000,1.04,11,0,桂冠电力,8.8
31,石油石化,BK0464,6063.67,132.68,2.24,5006616576000,0.72,35,13,中曼石油,10.0
32,人力资源服务,BK1568,1765.81,38.12,2.21,20524688000,1.17,2,0,科锐国际,6.07
33,种子,BK1518,3345.58,71.51,2.18,47292937000,2.67,9,1,康农种业,7.94
34,瓷砖地板,BK1538,1281.75,27.35,2.18,67254128000,2.53,7,5,爱丽家居,9.98
35,保险Ⅲ,BK1358,1395.15,28.88,2.11,2988517488000,0.5,5,0,中国太保,3.54
36,保险Ⅱ,BK0474,1395.15,28.88,2.11,2988517488000,0.5,5,0,中国太保,3.54
37,煤化工,BK1419,1742.34,35.01,2.05,248279820000,3.17,7,3,金牛化工,9.99
38,粘胶,BK1416,1298.02,26.01,2.04,19809841000,3.31,2,1,新乡化纤,5.28
39,白酒Ⅲ,BK1575,4222.89,80.94,1.95,2468121296000,1.5,19,1,舍得酒业,4.24
40,白酒Ⅱ,BK1277,4222.89,80.94,1.95,2468121296000,1.5,19,1,舍得酒业,4.24
41,铁矿石,BK1371,1585.05,30.12,1.94,62696515000,2.09,3,2,河钢资源,3.79
42,钼,BK1623,1376.07,25.83,1.91,147572134000,2.9,3,0,盛龙股份,3.82
43,公用事业,BK0427,9302.18,173.96,1.91,4359353600000,2.3,103,37,立新能源,9.99
44,锂,BK1621,13471.05,243.76,1.84,290396576000,5.14,7,1,中矿资源,5.4
45,旅游零售Ⅲ,BK1549,6056.97,108.92,1.83,124272349000,2.1,2,0,中国中免,3.0
46,旅游零售Ⅱ,BK1269,6056.97,108.92,1.83,124272349000,2.1,2,0,中国中免,3.0
47,航运,BK1482,1478.02,24.96,1.72,648029376000,1.8,13,4,海通发展,10.05
48,医美服务,BK1499,563.29,9.42,1.7,5344603000,0.53,1,0,*ST美谷,1.7
49,火电设备,BK1321,1447.41,23.95,1.68,24124202000,4.22,1,3,龙源技术,17.51
50,教育,BK0740,484.0,7.87,1.65,67189403000,2.2,5,11,创业黑马,20.01
51,肉制品,BK1580,2410.1,38.98,1.64,114873223000,3.03,5,2,金字火腿,9.95
52,商业地产,BK1345,1164.54,17.68,1.54,185950801000,0.86,9,1,新城控股,6.06
53,光伏发电,BK1375,3128.13,44.04,1.43,123340423000,4.53,8,4,珈伟新能,11.63
54,其他能源发电,BK1378,1422.14,19.99,1.43,10624909000,0.88,2,0,顺发恒能,1.78
55,航运港口,BK0450,11455.44,152.81,1.35,1152106272000,0.99,25,8,海通发展,10.05
56,炼化及贸易,BK1274,3090.68,39.28,1.29,3175727296000,0.42,18,12,桐昆股份,6.94
57,氮肥,BK1432,1793.76,22.0,1.24,92141274000,3.83,4,2,华鲁恒升,4.81
58,能源金属,BK1015,751.7,8.93,1.2,392773312000,4.94,8,3,中矿资源,5.4
59,通信终端及配件,BK1593,3621.96,42.93,1.2,383112352000,4.57,12,14,瑞斯康达,10.05
60,纯碱,BK1417,920.7,9.98,1.1,45428257000,2.72,3,2,博源化工,5.5
61,国有大型银行Ⅲ,BK1611,3131.64,33.5,1.08,10805888512000,0.18,6,0,交通银行,2.06
62,股份制银行Ⅲ,BK1610,2331.24,24.05,1.04,2820938080000,0.47,9,0,招商银行,1.9
63,洗护用品,BK1496,514.79,4.91,0.96,17719315000,1.45,2,2,登康口腔,6.71
64,医疗研发外包,BK1600,7281.27,69.44,0.96,796258528000,5.83,16,13,万邦医药,12.99
65,种植业,BK1261,2070.53,19.28,0.94,124890179000,2.33,14,6,康农种业,7.94
66,工业金属,BK1287,2952.33,27.05,0.92,2896241648000,3.0,32,26,金诚信,9.98
67,港口,BK1481,1562.2,14.27,0.92,504076912000,0.54,12,4,招商港口,5.33
