date,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比
2026-07-22,有色金属,0.57,6576477184.0,4.06
2026-07-22,工业金属,0.92,4061961216.0,5.74
2026-07-22,铜,3.09,3513515776.0,7.56
2026-07-22,贵金属,6.38,1898165312.0,7.1
2026-07-22,电力,2.37,1762760448.0,2.43
2026-07-22,公用事业,1.91,1633793024.0,2.12
2026-07-22,集成电路封测,0.05,1602931456.0,2.4
2026-07-22,黄金,6.37,1395223568.0,6.69
2026-07-22,火力发电,2.63,1393265984.0,4.0
2026-07-22,半导体设备,-1.81,1274936832.0,1.39
2026-07-22,半导体,-0.9,1055395840.0,0.2
2026-07-22,模拟芯片设计,-0.2,999788848.0,4.5
2026-07-22,逆变器,0.51,871421360.0,6.75
2026-07-22,光伏设备,-0.82,807060736.0,2.41
2026-07-22,化学原料,0.2,583281376.0,3.06
2026-07-22,保险Ⅱ,2.11,572810352.0,4.36
2026-07-22,保险Ⅲ,2.11,572810352.0,4.36
2026-07-22,煤化工,2.05,570830576.0,9.47
2026-07-22,光伏主材,4.41,536696272.0,13.84
2026-07-22,白银,6.43,502941808.0,8.54
2026-07-22,固废治理,-0.29,482696048.0,7.65
2026-07-22,环保,-1.01,481598960.0,2.98
2026-07-22,铝,-0.24,480367344.0,2.76
2026-07-22,石油石化,2.24,461674000.0,2.03
2026-07-22,环境治理,-0.96,439879728.0,3.61
2026-07-22,通信终端及配件,1.2,435984912.0,2.58
2026-07-22,计算机设备,-1.17,432064768.0,0.76
2026-07-22,聚氨酯,0.43,425848176.0,8.49
2026-07-22,其他小金属,0.31,418044944.0,2.55
2026-07-22,能源金属,1.2,404667280.0,2.56
2026-07-22,航运,1.72,389049872.0,4.33
2026-07-22,其他专用设备,-1.92,348114352.0,1.36
2026-07-22,专用设备,-1.7,328999424.0,0.8
2026-07-22,航运港口,1.35,322782160.0,2.77
2026-07-22,农化制品,0.82,275499136.0,1.49
2026-07-22,交通运输,-0.09,266495824.0,1.07
2026-07-22,军工电子Ⅲ,-1.93,262516160.0,0.87
2026-07-22,军工电子Ⅱ,-1.93,262516160.0,0.87
2026-07-22,非银金融,-0.99,234968576.0,0.46
2026-07-22,空调,-0.42,225790960.0,4.36
2026-07-22,制冷空调设备,-0.83,221656096.0,3.12
2026-07-22,安防设备,-1.42,216722160.0,2.85
2026-07-22,其他计算机设备,-1.07,215342592.0,0.44
2026-07-22,金属新材料,-1.84,209867872.0,1.65
2026-07-22,镍,0.68,205804352.0,5.6
2026-07-22,锂,1.84,204557984.0,1.79
2026-07-22,油田服务,4.21,201145280.0,6.48
2026-07-22,油服工程,4.01,200375280.0,2.73
2026-07-22,钾肥,6.34,196621552.0,3.23
2026-07-22,IT服务Ⅱ,-0.67,186405888.0,0.26
2026-07-22,IT服务Ⅲ,-0.67,186405888.0,0.26
2026-07-22,水力发电,2.36,180879248.0,1.7
2026-07-22,工程机械,-0.82,167488176.0,2.18
2026-07-22,家居用品,0.1,160882480.0,2.78
2026-07-22,其他金属新材料,-2.21,157458256.0,2.13
2026-07-22,电子化学品Ⅱ,-2.88,154910464.0,0.33
2026-07-22,电子化学品Ⅲ,-2.88,154910464.0,0.33
2026-07-22,煤炭,2.88,145505328.0,0.9
2026-07-22,工程机械整机,-0.03,137323504.0,2.19
2026-07-22,油气开采Ⅲ,2.99,134560672.0,3.18
2026-07-22,油气开采Ⅱ,2.99,134560672.0,3.18
2026-07-22,美容护理,0.31,132738838.0,2.68
2026-07-22,炼油化工,2.69,131436944.0,1.64
2026-07-22,炼化及贸易,1.29,126738048.0,1.13
2026-07-22,社会服务,0.05,125215712.0,1.34
2026-07-22,医疗耗材,-0.34,123750752.0,1.7
2026-07-22,电能综合服务,2.66,122893744.0,2.11
2026-07-22,焦煤,2.8,122056897.0,4.02
2026-07-22,通信应用增值服务,0.85,115536224.0,0.91
