date,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比
2026-07-28,银行Ⅱ,1.04,1527127040.0,4.3
2026-07-28,银行,1.04,1527127040.0,4.3
2026-07-28,国有大型银行Ⅲ,2.44,1200739920.0,7.95
2026-07-28,白酒Ⅲ,3.0,769635056.0,4.72
2026-07-28,白酒Ⅱ,3.0,769635056.0,4.72
2026-07-28,食品饮料,2.2,683760448.0,2.12
2026-07-28,股份制银行Ⅲ,1.02,592546512.0,5.04
2026-07-28,电动乘用车,2.76,379827232.0,7.17
2026-07-28,乘用车,1.59,367639360.0,5.38
2026-07-28,水力发电,-0.13,346138432.0,4.48
2026-07-28,商贸零售,0.93,298823008.0,1.91
2026-07-28,纺织化学制品,4.06,279982861.0,7.99
2026-07-28,软件开发,1.39,241187840.0,0.71
2026-07-28,横向通用软件,1.69,235674512.0,2.1
2026-07-28,产业地产,1.37,190342664.0,24.53
2026-07-28,商用车,1.89,188945776.0,5.36
2026-07-28,光学元件,-1.99,188033408.0,1.14
2026-07-28,工程咨询服务Ⅲ,1.46,181693008.0,1.5
2026-07-28,工程咨询服务Ⅱ,1.46,181693008.0,1.5
2026-07-28,铁路公路,0.63,176258800.0,4.19
2026-07-28,医院,1.56,172614832.0,3.64
2026-07-28,商业物业经营,1.02,169655692.0,5.73
2026-07-28,保险Ⅱ,0.53,147659200.0,1.96
2026-07-28,保险Ⅲ,0.53,147659200.0,1.96
2026-07-28,环保设备Ⅱ,-1.09,146054209.0,4.43
2026-07-28,环保设备Ⅲ,-1.09,146054209.0,4.43
2026-07-28,软饮料,2.66,145907125.0,6.61
2026-07-28,工程机械整机,0.48,142259088.0,2.58
2026-07-28,一般零售,1.25,141055488.0,1.94
2026-07-28,数字媒体,1.83,140360288.0,2.17
2026-07-28,铁路运输,0.84,138947456.0,5.92
2026-07-28,医疗耗材,-0.07,131389808.0,1.91
2026-07-28,橡胶助剂,-1.07,126849914.0,4.83
2026-07-28,医药商业,0.24,123615274.0,3.81
2026-07-28,橡胶,-0.09,115841484.0,3.22
2026-07-28,医药流通,0.19,111959390.0,4.52
2026-07-28,旅游零售Ⅲ,1.96,104900290.0,4.49
2026-07-28,旅游零售Ⅱ,1.96,104900290.0,4.49
2026-07-28,商用载货车,0.84,101744400.0,3.87
2026-07-28,饮料乳品,3.21,101737184.0,1.81
2026-07-28,百货,1.76,99081651.0,6.21
2026-07-28,工程机械,0.18,94222336.0,1.43
2026-07-28,小家电,1.48,93252672.0,3.38
2026-07-28,商用载客车,3.77,87201367.0,9.73
2026-07-28,金融信息服务,4.11,87086745.0,5.77
2026-07-28,图片媒体,4.42,84868574.0,11.89
2026-07-28,风电零部件,-0.02,80265424.0,1.2
2026-07-28,清洁小家电,2.1,70765638.0,4.1
2026-07-28,农产品加工,1.6,67273229.0,3.09
2026-07-28,金属包装,0.92,67002036.0,6.11
2026-07-28,其他农产品加工,2.82,61263041.0,5.6
2026-07-28,酒店餐饮,2.12,58840753.0,4.42
2026-07-28,酒店,2.43,58092582.0,5.81
2026-07-28,其他生物制品,-2.53,58017264.0,0.79
2026-07-28,互联网电商,-0.74,56220083.0,1.37
2026-07-28,高速公路,0.58,54409802.0,3.62
2026-07-28,宠物食品,3.86,53502474.0,6.28
2026-07-28,广告媒体,2.23,52878668.0,4.54
2026-07-28,汽车服务,1.81,50133134.0,5.43
2026-07-28,文字媒体,5.17,49217056.0,2.26
2026-07-28,快递,1.87,47434377.0,2.55
2026-07-28,汽车综合服务,3.12,46560185.0,5.93
2026-07-28,培训教育,2.39,46526714.0,2.71
2026-07-28,服装家纺,1.67,40385840.0,0.71
2026-07-28,教育,2.16,39102739.0,1.93
2026-07-28,跨境电商,-2.27,38876268.0,1.81
2026-07-28,油气及炼化工程,0.52,37764059.0,1.09
2026-07-28,电信运营商,2.13,37231248.0,1.05
2026-07-28,改性塑料,-0.86,36050011.0,1.26
2026-07-28,多元金融,0.42,35654186.0,0.84
2026-07-28,租赁,-0.61,34490452.0,5.98
2026-07-28,装修建材,0.6,33828825.0,1.02
2026-07-28,其他数字媒体,-1.62,33033073.0,5.69
2026-07-28,瓷砖地板,-0.43,32244788.0,2.6
2026-07-28,饲料,1.47,28924048.0,1.48
2026-07-28,综合电商,0.5,27849348.0,12.36
