date,source,metric,value
2026-06-30,data-池,涨停家数,140.0
2026-06-30,data-池,炸板家数,26.0
2026-06-30,data-池,跌停家数,5.0
2026-06-30,sse,融资余额,1516908428874.0
2026-07-01,agg,人气排名均值,186.8
2026-07-01,data-宇宙,上涨家数,177.0
2026-07-01,data-宇宙,下跌家数,132.0
2026-07-01,data-宇宙,赚钱效应_涨跌比,57.28
2026-07-01,data-池,涨停家数,152.0
2026-07-01,data-池,炸板家数,74.0
2026-07-01,data-池,跌停家数,6.0
2026-07-01,sse,融资余额,1519687927976.0
2026-07-02,agg,人气排名均值,143.8
2026-07-02,data-宇宙,上涨家数,97.0
2026-07-02,data-宇宙,下跌家数,214.0
2026-07-02,data-宇宙,赚钱效应_涨跌比,31.19
2026-07-02,data-池,涨停家数,93.0
2026-07-02,data-池,炸板家数,40.0
2026-07-02,data-池,跌停家数,40.0
2026-07-02,sse,融资余额,1514964123028.0
2026-07-03,agg,人气排名均值,219.7
2026-07-03,data-全A,上涨家数,3804.0
2026-07-03,data-全A,下跌家数,1628.0
2026-07-03,data-全A,赚钱效应_涨跌比,70.03
2026-07-03,data-池,涨停家数,108.0
2026-07-03,data-池,炸板家数,52.0
2026-07-03,data-池,跌停家数,19.0
2026-07-03,sse,融资余额,1501764189120.0
2026-07-04,agg,人气排名均值,224.4
2026-07-05,agg,人气排名均值,248.8
2026-07-06,agg,人气排名均值,236.5
2026-07-06,data-全A,上涨家数,1876.0
2026-07-06,data-全A,下跌家数,3541.0
2026-07-06,data-全A,赚钱效应_涨跌比,34.63
2026-07-06,data-池,涨停家数,64.0
2026-07-06,data-池,炸板家数,41.0
2026-07-06,data-池,跌停家数,46.0
2026-07-06,sse,融资余额,1494116860023.0
2026-07-07,agg,人气排名均值,157.7
2026-07-07,data-全A,上涨家数,693.0
2026-07-07,data-全A,下跌家数,4796.0
2026-07-07,data-全A,赚钱效应_涨跌比,12.63
2026-07-07,data-池,涨停家数,33.0
2026-07-07,data-池,炸板家数,23.0
2026-07-07,data-池,跌停家数,30.0
2026-07-07,sse,融资余额,1488227749145.0
2026-07-08,agg,人气排名均值,150.3
2026-07-08,data-全A,上涨家数,1593.0
2026-07-08,data-全A,下跌家数,3790.0
2026-07-08,data-全A,赚钱效应_涨跌比,29.59
2026-07-08,data-池,涨停家数,47.0
2026-07-08,data-池,炸板家数,14.0
2026-07-08,data-池,跌停家数,41.0
2026-07-08,sse,融资余额,1480449027515.0
2026-07-09,agg,人气排名均值,106.4
2026-07-09,data-全A,上涨家数,2486.0
2026-07-09,data-全A,下跌家数,2888.0
2026-07-09,data-全A,赚钱效应_涨跌比,46.26
2026-07-09,data-池,涨停家数,75.0
2026-07-09,data-池,炸板家数,17.0
2026-07-09,data-池,跌停家数,12.0
2026-07-09,legu,上涨,2382.0
2026-07-09,legu,下跌,2674.0
2026-07-09,legu,活跃度,45.78
2026-07-09,legu,涨停,75.0
2026-07-09,legu,真实涨停,69.0
2026-07-09,legu,真实跌停,12.0
2026-07-09,legu,跌停,15.0
2026-07-10,agg,人气排名均值,217.8
2026-07-10,data-全A,上涨家数,3772.0
2026-07-10,data-全A,下跌家数,1678.0
2026-07-10,data-全A,赚钱效应_涨跌比,69.21
2026-07-10,data-池,涨停家数,92.0
2026-07-10,data-池,炸板家数,91.0
2026-07-10,data-池,跌停家数,4.0
2026-07-10,legu,上涨,3511.0
2026-07-10,legu,下跌,1612.0
2026-07-10,legu,活跃度,67.48
2026-07-10,legu,涨停,93.0
2026-07-10,legu,真实涨停,87.0
2026-07-10,legu,真实跌停,6.0
2026-07-10,legu,跌停,7.0
2026-07-11,legu,上涨,3511.0
2026-07-11,legu,下跌,1612.0
2026-07-11,legu,活跃度,67.48
2026-07-11,legu,涨停,93.0
2026-07-11,legu,真实涨停,87.0
2026-07-11,legu,真实跌停,6.0
2026-07-11,legu,跌停,7.0
2026-07-12,legu,上涨,3511.0
2026-07-12,legu,下跌,1612.0
2026-07-12,legu,活跃度,67.48
2026-07-12,legu,涨停,93.0
