代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
159613,信息安全ETF嘉实,0.908,0.8953,-1.42,0.058,6.82,430444.0,38703585.7,0.868,0.92,0.868,0.85,6.12,46.49,4.57,77.8,225774.0,204670.0,-6948963.0,-17.95,-3860553.0,-9.97,-3088410.0,-7.98,4775704.0,12.34,2173260.0,5.62,-5233.0,0.908,0.909,92590217.0,84071917,84071917,2026-07-08,2026-07-08 15:34:18+08:00
159739,云计算ETF鹏华,1.673,1.6425,-1.86,0.103,6.56,333124.0,54789840.9,1.574,1.673,1.574,1.57,6.31,14.68,1.79,0.92,204702.0,128422.0,1256701.0,2.29,975017.0,1.78,281684.0,0.51,-703837.0,-1.28,-552865.0,-1.01,-5201.0,1.673,1.674,226980615.0,379738569,379738569,2026-07-08,2026-07-08 15:34:30+08:00
520790,港股通互联网ETF兴业,0.849,0.8528,0.45,0.051,6.39,522037.0,43522999.0,0.807,0.856,0.795,0.798,7.64,13.56,2.44,-47.01,287937.0,234100.0,-1021406.0,-2.35,2805302.0,6.45,-3826708.0,-8.79,2224700.0,5.11,-1203294.0,-2.76,-2199.0,0.848,0.849,385075008.0,326928682,326928682,2026-07-08,2026-07-08 16:11:32+08:00
516510,云计算ETF易方达,1.76,1.7323,-1.6,0.103,6.22,1571117.0,272812741.0,1.681,1.765,1.681,1.657,5.07,10.92,1.74,-25.29,860660.0,710457.0,27252540.0,9.99,32751882.0,12.01,-5499342.0,-2.02,-11475861.0,-4.21,-15776679.0,-5.78,-52439.0,1.759,1.76,1438890000.0,2532446400,2532446400,2026-07-08,2026-07-08 16:11:42+08:00
515400,大数据ETF富国,0.904,0.8946,-1.05,0.052,6.1,2674913.0,240171044.0,0.87,0.915,0.87,0.852,5.28,18.18,2.55,39.29,1674289.0,1000624.0,8624358.0,3.59,4062361.0,1.69,4561997.0,1.9,-65937.0,-0.03,-8558421.0,-3.56,-51197.0,0.904,0.905,1471631408.0,1330354793,1330354793,2026-07-08,2026-07-08 16:11:53+08:00
159792,港股通互联网ETF富国,0.595,0.5913,-0.63,0.034,6.06,112105213.0,6593254486.086,0.563,0.607,0.562,0.561,8.02,19.1,2.59,27.13,62895404.0,49209810.0,-344110592.0,-5.22,-722935520.0,-10.96,378824928.0,5.75,380955584.0,5.78,-36844959.0,-0.56,611995.0,0.594,0.595,58694855168.0,34923438825,34923438825,2026-07-08,2026-07-08 15:34:30+08:00
560660,云计算50ETF新华,1.164,1.1505,-1.17,0.066,6.01,246055.0,28489660.0,1.108,1.176,1.108,1.098,6.19,18.37,2.84,53.75,133029.0,113026.0,-2209680.0,-7.76,-1539537.0,-5.4,-670143.0,-2.35,1127835.0,3.96,1081845.0,3.8,-3167.0,1.163,1.164,133938000.0,155903832,155903832,2026-07-08,2026-07-08 16:11:51+08:00
513160,港股科技ETF银华,0.989,0.9865,-0.25,0.056,6.0,7009557.0,682666158.0,0.934,0.999,0.934,0.933,6.97,20.59,1.83,-39.06,3800976.0,3208581.0,32759821.0,4.8,45855501.0,6.72,-13095680.0,-1.92,-13721040.0,-2.01,-19038783.0,-2.79,-189887.0,0.988,0.989,3404189296.0,3366743214,3366743214,2026-07-08,2026-07-08 16:11:39+08:00
159040,港股通互联网ETF鹏华,1.101,1.1072,0.56,0.062,5.97,448362.0,48254129.32,1.044,1.114,1.036,1.039,7.51,45.53,2.8,46.08,149184.0,299178.0,3116651.0,6.46,3403414.0,7.05,-286763.0,-0.59,-3839233.0,-7.96,722583.0,1.5,3086.0,1.1,1.101,98481087.0,108427677,108427677,2026-07-08,2026-07-08 15:34:54+08:00
516000,大数据ETF华夏,0.99,0.9807,-0.95,0.055,5.88,456261.0,44725552.0,0.95,0.999,0.95,0.935,5.24,12.97,1.59,-15.55,296892.0,159369.0,-832446.0,-1.86,-65751.0,-0.15,-766695.0,-1.71,1296039.0,2.9,-463594.0,-1.04,-7306.0,0.99,0.991,351855008.0,348336458,348336458,2026-07-08,2026-07-08 16:11:36+08:00
159890,云计算ETF招商,1.789,1.771,-1.02,0.099,5.86,358062.0,63651202.0,1.715,1.816,1.715,1.69,5.98,15.13,2.43,3.01,190896.0,167166.0,-5260108.0,-8.26,59002.0,0.09,-5319110.0,-8.36,4762488.0,7.48,497619.0,0.78,4215.0,1.788,1.789,236590688.0,423260741,423260741,2026-07-08,2026-07-08 15:34:45+08:00
520650,港股通互联网ETF南方,0.618,0.6227,0.75,0.034,5.82,3226538.0,194771169.0,0.584,0.625,0.584,0.584,7.02,17.1,1.36,0.31,1669993.0,1556545.0,3616058.0,1.86,-831787.0,-0.43,4447845.0,2.28,-3044690.0,-1.56,-571369.0,-0.29,-697.0,0.617,0.618,1886755008.0,1166014595,1166014595,2026-07-08,2026-07-08 16:11:50+08:00
513720,港股互联网ETF国泰,0.673,0.6802,1.06,0.037,5.82,711128.0,47049908.0,0.639,0.681,0.639,0.636,6.6,29.77,2.79,19.63,372022.0,339106.0,1693155.0,3.6,2205693.0,4.69,-512538.0,-1.09,-1167272.0,-2.48,-525884.0,-1.12,-1718.0,0.672,0.673,238859000.0,160752107,160752107,2026-07-08,2026-07-08 16:11:56+08:00
513040,港股通互联网ETF易方达,0.964,0.9723,0.85,0.053,5.82,14566017.0,1385192310.0,0.911,0.978,0.911,0.911,7.35,25.49,2.56,-2.53,7632221.0,6933796.0,33950672.0,2.45,-139480256.0,-10.07,173430928.0,12.52,-22737171.0,-1.64,-11213518.0,-0.81,-26122.0,0.963,0.964,5713841408.0,5508143117,5508143117,2026-07-08,2026-07-08 16:11:41+08:00
520630,港股通互联网ETF广发,0.676,0.683,1.02,0.037,5.79,505961.0,33871460.0,0.649,0.684,0.64,0.639,6.89,11.55,2.34,16.9,247476.0,258485.0,140654.0,0.42,4730776.0,13.97,-4590122.0,-13.55,-1572767.0,-4.64,1432113.0,4.23,-776.0,0.675,0.676,438110000.0,296162360,296162360,2026-07-08,2026-07-08 16:11:34+08:00
