排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,半导体设备,BK1326,51429.74,6609.11,14.75,2320191040000,5.58,24,0,托伦斯,20.0
2,半导体材料,BK1325,13041.42,1346.49,11.51,1053677472000,9.76,31,0,臻宝科技,20.0
3,集成电路制造,BK1329,4241.23,429.89,11.28,2625851552000,5.13,8,0,华虹宏力,20.0
4,集成电路封测,BK1328,8608.55,783.67,10.02,467036352000,15.03,13,0,晶方科技,9.99
5,半导体,BK1036,2730.6,244.81,9.85,12941822720000,7.4,180,1,托伦斯,20.0
6,分立器件,BK1327,15229.78,1345.71,9.69,612117424000,6.96,17,1,新洁能,10.01
7,电子化学品Ⅲ,BK1332,3170.28,266.77,9.19,713363792000,9.87,36,1,国瓷材料,19.99
8,电子化学品Ⅱ,BK1039,3170.28,266.77,9.19,713363792000,9.87,36,1,国瓷材料,19.99
9,镍,BK1622,4725.08,396.84,9.17,74851142000,5.81,1,0,华友钴业,9.17
10,白银,BK1616,3669.88,301.65,8.96,87445741000,5.66,3,0,兴业银锡,9.99
11,激光设备,BK1409,16205.02,1324.84,8.9,313693584000,7.23,10,1,大族激光,10.0
12,光学元件,BK1334,14566.76,1123.7,8.36,357603040000,5.35,26,0,联创电子,10.08
13,数字芯片设计,BK1331,25415.76,1920.2,8.17,5285680384000,6.05,52,0,大为股份,9.99
14,橡胶助剂,BK1443,4283.22,304.65,7.66,45159209000,4.46,2,0,彤程新材,9.47
15,被动元件,BK1339,11750.67,813.14,7.43,503768528000,9.04,19,0,顺络电子,10.01
16,通信网络设备及器件,BK1591,12946.01,894.31,7.42,3319335120000,6.26,37,0,联特科技,20.0
17,玻纤制造,BK1462,15058.79,1035.04,7.38,564223632000,7.1,8,0,宏和科技,10.0
18,电子,BK1201,12197.24,837.52,7.37,21984590080000,6.03,488,25,联创电子,10.08
19,会展服务,BK1565,1128.53,77.4,7.36,14201093000,6.12,2,1,米奥会展,20.02
20,贵金属,BK0732,1974.81,135.07,7.34,541262352000,3.88,13,0,兴业银锡,9.99
21,模拟芯片设计,BK1330,6050.21,406.24,7.2,577268528000,4.39,35,0,杰华特,20.0
22,元件,BK0459,49828.59,3323.5,7.15,3045172512000,8.07,64,2,顺络电子,10.01
23,钨,BK1625,7821.74,518.76,7.1,255165347000,6.1,4,0,翔鹭钨业,7.94
24,印制电路板,BK1340,10271.17,674.65,7.03,2541403984000,7.76,45,2,奥士康,9.99
