排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,转基因,BK0907,1465.23,111.93,8.27,136462759000,6.53,15,3,万向德农,10.0
2,粮食概念,BK1086,760.48,52.76,7.45,223715914000,6.66,29,1,金健米业,10.06
3,农业种植,BK0888,2386.58,109.53,4.81,746579712000,4.78,67,15,红四方,10.02
4,历史新高,BK1675,1874.45,71.56,3.97,4637227776000,6.52,7,3,中石科技,20.0
5,水产概念,BK0967,895.73,31.89,3.69,197426204000,6.41,13,3,蔚蓝生物,10.04
6,华为欧拉,BK1013,1145.17,35.18,3.17,229939488000,5.23,12,7,诚迈科技,20.01
7,猪肉概念,BK0882,1215.05,36.47,3.09,741249312000,3.36,33,3,天邦食品,10.13
8,土地流转,BK0632,1727.59,47.43,2.82,406976880000,3.13,30,15,天山生物,20.04
9,生态农业,BK0669,1463.08,37.11,2.6,287509472000,3.23,31,9,蔚蓝生物,10.04
10,昨日连板_含一字,BK1051,61320.62,1426.56,2.38,226083677000,20.68,7,8,桂发祥,10.04
11,草甘膦,BK0950,1673.15,38.13,2.33,181106361000,2.39,11,1,国投丰乐,9.98
12,噪声防治,BK1082,1828.72,41.44,2.32,51953030000,3.35,4,4,九州一轨,12.32
13,预制菜概念,BK1025,1071.45,20.84,1.98,595701840000,4.06,46,16,桂发祥,10.04
14,社区团购,BK0965,867.32,16.81,1.98,496337984000,3.96,25,11,家家悦,9.96
15,代糖概念,BK0938,1116.4,20.08,1.83,162522359000,2.52,11,4,蔚蓝生物,10.04
16,昨日连板,BK0816,32410.31,572.01,1.8,175536103000,20.14,4,5,正裕工业,9.97
17,调味品概念,BK1026,985.73,17.01,1.76,641107184000,2.99,21,11,京粮控股,10.05
18,供销社概念,BK1109,1043.29,17.5,1.71,129454905000,4.95,9,4,敦煌种业,10.08
19,农药兽药,BK0730,1210.85,20.26,1.7,312523776000,2.84,36,10,蔚蓝生物,10.04
20,电子纸概念,BK1057,1080.06,17.78,1.67,633059888000,5.79,10,5,*ST清越,8.14
21,鸡肉概念,BK0887,731.11,11.88,1.65,330109424000,1.93,18,2,新 希 望,3.75
22,机器人执行器,BK1145,2144.94,34.32,1.63,703615088000,3.95,25,8,秦川机床,7.09
23,轮毂电机,BK1099,1015.3,16.19,1.62,61305328000,2.79,6,3,亚太股份,10.01
24,乳业,BK0892,1048.2,16.52,1.6,415461024000,3.58,21,10,金健米业,10.06
25,长寿药,BK0936,1119.23,17.28,1.57,151948131000,3.96,7,6,雪榕生物,16.39
26,蓝宝石,BK0674,4287.6,65.69,1.56,820260240000,5.12,12,6,天通股份,6.95
27,玻璃基板,BK1175,2786.2,41.45,1.51,1776394480000,6.38,31,23,红星发展,10.01
28,可燃冰,BK0818,1545.87,23.0,1.51,221362813000,1.53,6,3,中集集团,5.87
29,人造肉,BK0866,1306.13,18.64,1.45,200547598000,6.56,12,6,金字火腿,9.97
30,资源开采概念,BK1017,1647.22,22.92,1.41,443076688000,1.5,17,5,海油工程,7.31
31,昨日首板,BK1630,6052.55,80.72,1.35,1447505872000,8.58,43,43,哈森股份,10.01
32,近期新高,BK1674,1528.63,19.55,1.3,1800218720000,2.57,22,23,天山生物,20.04
33,乡村振兴,BK0834,1547.59,19.83,1.3,3160912912000,3.36,73,72,金健米业,10.06
34,昨日涨停_含一字,BK1050,142849.22,1730.0,1.23,1725153184000,11.17,53,56,桂发祥,10.04
35,MicroLED,BK0948,1432.48,17.17,1.21,943199552000,5.63,17,17,新相微,9.73
36,百日新高,BK1676,1603.2,17.4,1.1,5166363136000,8.14,21,22,天山生物,20.04
37,油气设服,BK0606,2108.21,22.24,1.07,2285371520000,2.09,36,15,石化机械,10.08
38,题材股,BK1717,1408.72,14.51,1.04,3504291296000,11.11,27,32,桂发祥,10.04
39,青蒿素,BK0872,2142.01,21.13,1.0,320694192000,2.61,7,4,南卫股份,6.22
40,减速器,BK1100,1818.24,17.41,0.97,1169177472000,3.49,50,35,襄阳轴承,10.05
