排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,CRO,BK0899,2164.01,211.7,10.84,1056634640000,6.16,41,0,百花医药,10.02
2,重组蛋白,BK1063,1000.36,73.27,7.9,245342961000,4.86,18,2,百普赛斯,20.0
3,减肥药,BK1146,1282.85,79.62,6.62,999325888000,3.69,38,1,冀衡医药,10.13
4,CAR-T细胞疗法,BK0986,1209.09,72.44,6.37,781183392000,4.82,25,0,百普赛斯,20.0
5,复合集流体,BK1113,1903.5,103.28,5.74,486924992000,4.63,29,1,沃格光电,10.0
6,PCB,BK0877,4015.85,214.01,5.63,5869582336000,6.67,155,9,宝鼎科技,10.01
7,创新药,BK1106,1482.82,76.42,5.43,4027567424000,3.67,185,4,百花医药,10.02
8,单抗概念,BK0870,1708.8,85.7,5.28,1750924832000,3.23,48,1,海正药业,9.98
9,AI制药（医疗）,BK1170,1350.46,62.95,4.89,708294416000,4.23,53,7,海正药业,9.98
10,创新医疗服务,BK1658,971.72,42.94,4.62,1635514224000,3.23,54,24,百花医药,10.02
11,第四代半导体,BK1121,2357.76,103.26,4.58,110585780000,2.76,4,0,蓝晓科技,6.44
12,医药医疗风格,BK1712,1099.65,47.01,4.47,4626085632000,2.1,90,9,海正药业,9.98
13,阿兹海默,BK0894,1934.27,78.96,4.26,247161509000,4.74,19,2,诺唯赞,18.59
14,基金重仓,BK0536,16212.79,657.54,4.23,8726874880000,5.11,57,5,凯莱英,10.0
15,免疫治疗,BK0698,1478.75,59.44,4.19,518122544000,2.46,43,1,和元生物,15.89
16,CPO概念,BK1128,8514.75,335.37,4.1,6974160896000,5.86,57,9,景旺电子,10.0
17,百元股,BK1059,941.1,36.98,4.09,24083909376000,4.29,187,25,华正新材,10.0
18,病原体防治,BK1657,952.56,37.28,4.07,1709656736000,4.06,153,13,百花医药,10.02
19,先进封装,BK1101,3451.83,129.61,3.9,3295544320000,7.37,54,7,沃格光电,10.0
20,青蒿素,BK0872,2039.8,75.91,3.87,319938560000,2.2,11,0,海正药业,9.98
21,高带宽内存,BK1152,2605.79,96.12,3.83,2263969904000,7.08,28,0,联瑞新材,11.48
22,肝炎概念,BK1078,1370.37,50.46,3.82,617156720000,5.28,52,3,百花医药,10.02
23,光通信模块,BK1136,3735.52,135.39,3.76,6095920128000,6.51,85,12,通宇通讯,10.0
24,精准诊断,BK1659,913.28,32.18,3.65,751184080000,3.0,59,2,瑞康医药,10.14
25,昨日连板,BK0816,27140.36,943.25,3.6,339674624000,13.67,11,6,宝鼎科技,10.01
26,存储芯片,BK1137,2937.8,101.71,3.59,11958359552000,6.27,119,10,红板科技,10.0
27,体外诊断概念,BK0841,1312.91,45.39,3.58,782211600000,2.91,67,1,瑞康医药,10.14
28,合成生物,BK1174,1267.26,43.73,3.57,1419377360000,3.39,95,21,海正药业,9.98
29,流感,BK0906,1642.73,54.59,3.44,1427934720000,3.15,113,8,百花医药,10.02
30,玻璃基板,BK1175,2618.24,86.33,3.41,1452219712000,5.8,43,4,沃格光电,10.0
31,病毒防治,BK0675,2632.8,86.28,3.39,1252402960000,2.69,98,8,海正药业,9.98
32,2025三季报扭亏,BK1628,881.23,28.66,3.36,138747240000,2.67,8,3,博腾股份,20.02
33,基因测序,BK0693,1817.12,57.6,3.27,425133280000,5.29,35,6,贝达药业,14.37
34,幽门螺杆菌概念,BK1056,966.91,30.23,3.23,450829216000,3.39,45,5,冀衡医药,10.13
35,光刻机,BK0884,4891.33,152.51,3.22,1516229744000,5.12,33,5,沃格光电,10.0
36,肝素概念,BK0944,862.49,26.44,3.16,192582765000,2.43,13,0,常山药业,8.66
37,辅助生殖,BK0939,1059.89,32.36,3.15,514404192000,3.49,49,4,翰宇药业,8.45
38,EDA概念,BK0946,1489.79,45.49,3.15,340538448000,2.12,9,3,一博科技,20.0
39,生物疫苗,BK0548,26287.73,799.95,3.14,983681872000,2.71,59,9,海正药业,9.98
40,碳化硅,BK0977,2176.76,65.76,3.12,1435700912000,4.39,42,5,芯朋微,12.25
41,宁组合,BK1000,667.34,19.88,3.07,5445276416000,2.34,22,1,凯莱英,10.0
42,精准医疗,BK0806,1038.15,30.55,3.03,549519136000,2.76,41,3,贝达药业,14.37
43,医美概念,BK0889,1783.97,52.3,3.02,1119106080000,3.74,64,11,海正药业,9.98
44,科技风格,BK1713,960.3,28.01,3.0,22024211968000,2.75,82,16,景旺电子,10.0
45,OLED,BK0840,4197.64,121.66,2.98,2730378432000,4.65,77,18,景旺电子,10.0
46,第三代半导体,BK0952,2383.69,67.43,2.91,3071767408000,5.16,91,17,锴威特,19.99
47,中芯概念,BK0935,2709.68,75.86,2.88,4843910400000,4.66,56,8,有研新材,10.0
48,昨日打二板以上表现,BK1645,13139.53,367.12,2.87,269583504000,14.7,9,5,宝鼎科技,10.01
49,苹果概念,BK0666,5175.03,142.25,2.83,5387264000000,3.97,95,29,依顿电子,10.04
50,小金属概念,BK0695,4420.82,119.82,2.79,5473362688000,2.84,96,18,中国稀土,10.0
51,维生素,BK0895,1871.04,50.57,2.78,474483904000,3.27,28,5,誉衡药业,9.86
52,半导体概念,BK0917,2828.92,76.57,2.78,22575132416000,4.33,424,85,锴威特,19.99
53,科创板做市股,BK1108,1348.54,36.38,2.77,2506843968000,1.55,34,9,药康生物,19.99
54,独家药品,BK0676,2448.0,65.42,2.75,677915712000,2.54,39,2,珍宝岛,9.94
55,柔性屏(折叠屏),BK1160,2166.69,57.64,2.73,1701710672000,4.79,61,14,沃格光电,10.0
56,特色药,BK1656,913.2,23.79,2.67,585865536000,2.63,38,1,珍宝岛,9.94
57,2026一季报扭亏,BK1682,1015.58,26.15,2.64,466108576000,4.45,7,4,博腾股份,20.02
58,光刻胶,BK1753,1108.81,27.8,2.57,865636192000,6.32,49,9,东材科技,10.01
59,医疗器械概念,BK0668,4218.57,105.65,2.57,4999197952000,2.97,279,46,哈三联,10.04
60,中药概念,BK0615,2174.81,54.21,2.56,1848888016000,2.95,122,17,哈药股份,9.97
61,中盘成长,BK1669,1067.75,26.46,2.54,9271919360000,3.45,149,56,云南锗业,10.0
62,创业成份,BK0638,2512.55,62.0,2.53,10521178624000,4.01,76,24,铜冠铜箔,16.98
63,汽车芯片,BK0969,1570.35,38.43,2.51,2151819968000,3.86,56,15,国科微,14.82
64,光纤概念,BK1660,1110.54,26.94,2.49,3556170464000,4.19,52,17,云南锗业,10.0
65,大盘成长,BK1665,1083.04,26.0,2.46,22910890240000,1.54,78,28,景旺电子,10.0
66,蓝宝石,BK0674,4041.39,97.18,2.46,768222096000,5.23,17,1,天通股份,6.28
67,高市净率,BK1722,1110.51,26.69,2.46,14826105856000,5.61,130,67,冀衡医药,10.13
68,BC电池,BK1148,1240.75,29.39,2.43,592161296000,2.41,19,7,杰普特,8.69
69,题材股,BK1717,1292.65,30.3,2.4,5097986304000,8.3,47,20,通宇通讯,10.0
70,稀土永磁,BK0578,3565.4,82.91,2.38,1219230512000,3.22,41,5,中国稀土,10.0
71,荣耀概念,BK1177,2199.46,50.84,2.37,4829204736000,5.68,40,14,红板科技,10.0
72,昨日连板_含一字,BK1051,47631.47,1097.48,2.36,364006976000,15.28,12,9,宝鼎科技,10.01
73,AIPC,BK1164,2605.84,59.91,2.35,1731510816000,3.88,31,13,奥士康,10.0
74,氮化镓,BK0916,1892.98,43.1,2.33,1538766288000,4.97,35,13,芯朋微,12.25
75,小盘成长,BK1667,963.29,21.58,2.29,6020821248000,3.47,245,117,依顿电子,10.04
76,2026一季报预减,BK1681,919.69,20.54,2.28,177276379000,2.46,8,4,泰金新能,17.69
77,MicroLED,BK0948,1377.17,30.58,2.27,905668352000,4.44,24,11,红板科技,10.0
78,噪声防治,BK1082,1671.07,37.01,2.26,46136086000,4.14,7,2,九州一轨,12.39
