代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,10.79,10.9,10.77,10.89,10.81,0.74,781041009.0
000010,*ST美丽,4.33,4.38,4.29,4.33,4.36,-0.69,190697977.0
000021,深科技,32.6,33.08,31.9,32.07,32.41,-1.05,3278988766.0
000063,中兴通讯,37.0,37.9,36.99,37.12,36.87,0.68,4251217985.0
000100,TCL科技,4.8,4.91,4.8,4.88,4.83,1.04,2036436084.0
000166,申万宏源,4.89,4.92,4.86,4.9,4.88,0.41,320185092.0
000301,东方盛虹,11.7,11.88,11.47,11.83,11.76,0.6,594757201.0
000333,美的集团,76.6,77.72,76.1,77.39,76.6,1.03,1941618421.0
000338,潍柴动力,27.68,27.82,25.8,26.56,27.82,-4.53,4498324887.0
000408,藏格矿业,82.88,83.39,81.51,82.43,82.96,-0.64,823447384.0
000425,徐工机械,12.38,12.43,12.03,12.3,12.38,-0.65,1055272818.0
000538,云南白药,56.5,56.76,56.16,56.7,56.5,0.35,337513630.0
000568,泸州老窖,105.08,105.18,104.06,104.8,105.07,-0.26,743948162.0
000617,中油资本,8.92,8.99,8.87,8.94,8.96,-0.22,671485199.0
000630,铜陵有色,7.37,7.39,7.17,7.22,7.32,-1.37,2008015769.0
000636,风华高科,23.75,24.44,23.3,23.4,23.89,-2.05,1955090114.0
000651,格力电器,37.75,37.87,37.54,37.8,37.74,0.16,1041527499.0
000657,中钨高新,67.69,69.2,62.4,62.85,66.46,-5.43,6239991353.0
000725,京东方Ａ,4.34,4.4,4.33,4.39,4.35,0.92,2542860609.0
000776,广发证券,19.47,19.67,19.39,19.53,19.52,0.05,585166509.0
000792,盐湖股份,38.38,38.8,37.9,38.21,38.53,-0.83,2334665517.0
000807,云铝股份,33.21,33.89,32.8,33.65,32.76,2.72,1709718415.0
000838,*ST发展,2.55,2.57,2.42,2.46,2.57,-4.28,112134322.0
000858,五 粮 液,102.05,102.35,101.59,102.18,102.05,0.13,1099529974.0
000895,双汇发展,27.27,27.58,27.18,27.51,27.26,0.92,254549012.0
000938,紫光股份,24.86,25.46,24.78,25.23,24.92,1.24,1540063687.0
000958,电投产融,6.9,6.91,6.74,6.89,6.9,-0.14,367316444.0
000977,浪潮信息,62.0,63.0,61.81,62.35,61.99,0.58,2654932509.0
000988,华工科技,122.99,135.69,122.9,134.88,123.51,9.21,16412343340.0
001280,中国铀业,92.07,93.46,89.8,89.95,91.46,-1.65,1416873106.0
001289,龙源电力,17.59,18.27,17.37,18.13,17.69,2.49,263753492.0
001309,德明利,294.01,309.66,293.0,298.64,294.81,1.3,6567605944.0
001389,广合科技,123.74,127.88,122.57,124.1,120.23,3.22,1469839449.0
002001,新 和 成,36.42,38.87,36.42,38.67,36.3,6.53,2797892093.0
002008,大族激光,73.27,75.06,71.7,72.35,73.01,-0.9,2588849543.0
002027,分众传媒,6.73,6.82,6.65,6.8,6.72,1.19,731805456.0
002028,思源电气,225.0,226.82,216.5,220.96,227.87,-3.03,2644992200.0
002049,紫光国微,75.0,75.95,74.88,75.53,75.29,0.32,870695155.0
002050,三花智控,48.16,48.68,47.91,48.21,48.44,-0.47,3243162212.0
002080,中材科技,46.72,47.57,45.92,46.08,46.71,-1.35,1543007884.0
002102,ST能特,3.42,3.53,3.39,3.5,3.43,2.04,247190351.0
002142,宁波银行,31.53,31.58,30.84,31.15,31.56,-1.3,627515517.0
002156,通富微电,47.91,48.66,46.94,47.09,47.91,-1.71,2985684073.0
002179,中航光电,36.3,37.68,35.62,37.31,35.35,5.54,3797102665.0
002185,华天科技,14.19,14.42,14.0,14.08,14.17,-0.64,1629150844.0
002202,金风科技,28.51,31.0,27.82,30.24,28.48,6.18,12789875619.0
002230,科大讯飞,53.68,53.68,52.97,53.08,53.7,-1.15,1784316645.0
002241,歌尔股份,25.3,25.7,25.25,25.4,25.35,0.2,1600961187.0
002281,光迅科技,90.68,93.08,89.0,91.49,86.16,6.19,9369669506.0
002311,海大集团,54.23,55.45,53.61,55.04,54.32,1.33,360393899.0
002352,顺丰控股,37.31,37.48,37.2,37.32,37.32,0.0,603032603.0
002353,杰瑞股份,116.34,117.8,111.09,112.01,119.8,-6.5,3456621313.0
002371,北方华创,456.93,462.68,450.06,461.99,457.0,1.09,3093329231.0
002379,宏桥控股,30.32,31.38,29.96,31.32,30.05,4.23,689135582.0
002384,东山精密,109.33,111.65,103.71,104.8,108.06,-3.02,9735043163.0
002409,雅克科技,90.43,92.85,90.23,90.72,90.01,0.79,964127491.0
002415,海康威视,31.34,31.7,31.18,31.65,31.32,1.05,1207713257.0
002428,云南锗业,46.3,49.0,45.5,46.0,44.62,3.09,3974312705.0
002460,赣锋锂业,68.33,70.79,68.0,70.17,69.02,1.67,3064901385.0
