代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,11.14,11.15,11.05,11.05,11.14,-0.81,881960631.2
000021,深科技,34.8,36.0,34.2,34.34,34.61,-0.78,6362548985.75
000063,中兴通讯,39.61,40.2,37.56,37.56,38.83,-3.27,6364577814.93
000100,TCL科技,4.37,4.41,4.28,4.28,4.37,-2.06,2006975347.44
000166,申万宏源,4.75,4.77,4.66,4.67,4.75,-1.68,413614838.75
000301,东方盛虹,12.81,13.47,12.72,13.06,12.83,1.79,470922279.54
000333,美的集团,80.39,82.08,80.39,81.81,80.38,1.78,3174393394.86
000338,潍柴动力,35.2,35.56,34.2,34.2,34.34,-0.41,4293298359.68
000408,藏格矿业,90.84,92.14,87.68,87.68,91.11,-3.76,1196524121.9
000425,徐工机械,10.5,10.57,10.24,10.25,10.52,-2.57,1022278295.37
000538,云南白药,51.66,51.89,51.36,51.5,51.65,-0.29,368860474.72
000568,泸州老窖,92.63,96.19,92.32,94.35,92.7,1.78,1425525597.28
000617,中油资本,9.21,9.29,8.93,8.93,9.21,-3.04,1052877814.66
000630,铜陵有色,6.91,7.0,6.69,6.69,6.98,-4.15,2479079755.31
000636,风华高科,29.96,30.2,28.19,28.21,29.57,-4.6,2154809217.71
000651,格力电器,40.25,40.59,40.12,40.22,40.3,-0.2,1505627121.15
000657,中钨高新,61.84,63.25,58.8,59.05,62.46,-5.46,4584755471.37
000725,京东方Ａ,4.28,4.33,4.2,4.22,4.23,-0.24,3732635811.57
000776,广发证券,20.85,20.94,20.31,20.35,20.85,-2.4,849308597.43
000792,盐湖股份,36.5,36.5,34.7,34.83,36.69,-5.07,5664983152.55
000807,云铝股份,31.91,33.1,31.58,31.58,31.83,-0.79,2365265754.58
000838,*ST发展,2.0,2.12,2.0,2.06,2.02,1.98,128995612.0
000858,五 粮 液,88.81,91.28,87.78,88.99,89.15,-0.18,4478188840.7
000895,双汇发展,26.58,26.98,26.5,26.81,26.58,0.87,309565575.21
000938,紫光股份,33.88,34.49,31.46,32.14,32.91,-2.34,7610279255.95
000958,电投产融,6.3,6.34,6.1,6.11,6.3,-3.02,297489897.89
000977,浪潮信息,78.0,78.15,70.2,71.6,77.38,-7.47,10522832942.45
000988,华工科技,143.88,146.2,137.35,137.4,142.1,-3.31,12872865366.45
001280,中国铀业,85.0,85.07,80.83,80.85,85.69,-5.65,1409851583.91
001289,龙源电力,17.89,18.25,17.71,17.71,17.86,-0.84,202994741.88
001309,德明利,699.0,739.48,689.0,721.65,679.8,6.16,13808374817.95
001389,广合科技,196.58,197.87,185.82,186.0,194.78,-4.51,1357911186.77
002001,新 和 成,33.0,34.37,32.93,32.95,32.92,0.09,1143107495.03
002008,大族激光,153.0,156.5,147.07,149.23,148.13,0.74,9242500393.98
002027,分众传媒,6.05,6.07,5.92,5.92,6.03,-1.82,813001249.64
002028,思源电气,208.85,211.16,202.8,202.8,207.2,-2.12,2228573916.7
002049,紫光国微,82.6,82.76,78.7,78.8,82.0,-3.9,2700644457.98
002050,三花智控,51.7,52.06,49.38,49.43,51.5,-4.02,7721883484.95
002080,中材科技,66.92,71.9,65.02,68.79,66.91,2.81,4066124063.43
002142,宁波银行,32.05,32.26,31.79,31.92,32.05,-0.41,595510403.76
002156,通富微电,60.93,61.2,57.39,57.4,60.86,-5.69,7642167457.59
002179,中航光电,42.5,42.8,40.38,40.38,41.9,-3.63,2360759598.95
002185,华天科技,14.67,14.88,14.25,14.26,14.63,-2.53,3031444844.08
002202,金风科技,27.95,28.0,25.98,26.03,27.8,-6.37,6157468712.47
002230,科大讯飞,49.77,50.29,47.68,47.68,49.4,-3.48,2973490827.77
002241,歌尔股份,26.2,26.24,25.33,25.33,26.14,-3.1,3253026754.89
002281,光迅科技,198.96,212.8,196.01,203.8,197.97,2.94,17031740994.4
002311,海大集团,46.5,48.44,46.5,47.62,45.62,4.38,1247190809.36
002352,顺丰控股,36.6,36.72,36.22,36.23,36.66,-1.17,685457757.3
002353,杰瑞股份,146.51,148.77,138.0,138.67,148.95,-6.9,2844668929.61
002371,北方华创,581.0,592.66,563.43,564.4,581.0,-2.86,5897833137.07
002379,宏桥控股,22.9,23.58,22.33,22.33,22.82,-2.15,570401680.59
002384,东山精密,220.74,226.0,213.35,214.89,220.75,-2.65,16680916212.85
002409,雅克科技,107.0,109.99,104.5,106.9,103.25,3.54,4384316497.79
002415,海康威视,34.59,34.85,33.45,33.45,34.49,-3.02,2350342093.49
002428,云南锗业,100.0,105.17,97.0,97.2,101.51,-4.25,10059190405.81
002460,赣锋锂业,82.33,83.31,79.67,79.98,82.99,-3.63,5304288260.23
002463,沪电股份,114.38,114.46,106.3,107.02,112.58,-4.94,8003374299.4
002466,天齐锂业,73.68,74.38,70.68,70.69,74.38,-4.96,6127287947.17
002475,立讯精密,79.29,79.35,75.22,75.4,80.15,-5.93,16975179745.91
002484,江海股份,48.1,48.31,44.98,45.9,47.29,-2.94,1881483486.39
002493,荣盛石化,13.38,13.68,13.04,13.05,13.37,-2.39,726829486.46
002594,比亚迪,99.0,100.0,98.45,98.73,98.6,0.13,3361151176.22
