代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
159941,纳指ETF广发,1.516,1.379,-9.93,-0.022,-1.43,6484648.0,984380293.084,1.525,1.529,1.509,1.538,1.3,2.88,1.05,-0.45,2871678.0,3612970.0,-44926992.0,-4.56,-14817024.0,-1.51,-30109968.0,-3.06,-1618547.0,-0.16,46545523.0,4.73,-89375.0,1.516,1.517,22511110144.0,34126842978,34126842978,2026-07-30,2026-07-30 15:34:27+08:00
513290,纳指生物科技ETF汇添富,1.588,1.597,0.56,-0.023,-1.43,424701.0,67732767.0,1.596,1.6,1.586,1.611,0.87,4.14,0.5,1.71,155805.0,268896.0,615233.0,0.91,-248917.0,-0.37,864150.0,1.28,-2778600.0,-4.1,2163366.0,3.19,-2159.0,1.588,1.589,1026072096.0,1629402488,1629402488,2026-07-30,2026-07-30 16:11:56+08:00
159359,A500ETF华安,1.245,1.2448,-0.02,-0.018,-1.43,330149.0,41226951.396,1.258,1.265,1.226,1.263,3.09,4.83,1.08,-48.94,147126.0,183023.0,1595033.0,3.87,-5971545.0,-14.48,7566578.0,18.35,-1946244.0,-4.72,351211.0,0.85,9.0,1.245,1.246,683140432.0,850509838,850509838,2026-07-30,2026-07-30 15:34:12+08:00
513020,港股科技ETF国泰,0.955,0.9524,-0.27,-0.014,-1.44,1940661.0,185602840.0,0.973,0.977,0.946,0.969,3.2,7.75,0.87,-5.33,867090.0,1073571.0,1880711.0,1.01,11913279.0,6.42,-10032568.0,-5.41,-4679870.0,-2.52,2799158.0,1.51,-1972.0,0.955,0.956,2505145408.0,2392413865,2392413865,2026-07-30,2026-07-30 16:11:44+08:00
159857,光伏ETF天弘,0.685,0.6836,-0.2,-0.01,-1.44,1183115.0,81638991.1,0.688,0.701,0.678,0.695,3.31,5.07,1.03,47.03,479253.0,703862.0,-3789350.0,-4.64,-1348932.0,-1.65,-2440418.0,-2.99,2076275.0,2.54,1713074.0,2.1,-2075.0,0.685,0.686,2332515728.0,1597773274,1597773274,2026-07-30,2026-07-30 15:34:03+08:00
159100,巴西ETF华夏,1.097,1.0975,0.05,-0.016,-1.44,287439.0,31540791.9,1.1,1.102,1.092,1.113,0.9,6.37,1.17,35.12,125279.0,162160.0,-1842394.0,-5.84,-423152.0,-1.34,-1419242.0,-4.5,290918.0,0.92,1551476.0,4.92,3610.0,1.096,1.097,451046928.0,494798480,494798480,2026-07-30,2026-07-30 15:34:42+08:00
520980,港股通科技ETF汇添富,0.891,0.89,-0.11,-0.013,-1.44,5271184.0,470536997.0,0.908,0.911,0.885,0.904,2.88,15.18,1.23,17.27,2502250.0,2768934.0,742554.0,0.16,-16906980.0,-3.59,17649534.0,3.75,-3915007.0,-0.83,3172454.0,0.67,-1847.0,0.891,0.892,3471387008.0,3093005824,3093005824,2026-07-30,2026-07-30 16:11:42+08:00
516880,光伏ETF银华,0.684,0.6817,-0.34,-0.01,-1.44,226518.0,15649115.0,0.691,0.699,0.676,0.694,3.31,2.42,0.87,9.38,117090.0,109428.0,-848695.0,-5.42,-656324.0,-4.19,-192371.0,-1.23,-106206.0,-0.68,954901.0,6.1,-178.0,0.683,0.684,937944096.0,641553762,641553762,2026-07-30,2026-07-30 16:11:52+08:00
159210,港股通汽车ETF汇添富,0.885,0.8862,0.14,-0.013,-1.45,341905.0,30422201.4,0.902,0.91,0.86,0.898,5.57,96.72,1.06,-66.14,151477.0,190428.0,900868.0,2.96,1821675.0,5.99,-920807.0,-3.03,-1004959.0,-3.3,104091.0,0.34,-244.0,0.885,0.886,35349802.0,31284575,31284575,2026-07-30,2026-07-30 15:34:42+08:00
562570,信创ETF华夏,1.293,1.2917,-0.1,-0.019,-1.45,113552.0,14817654.0,1.296,1.326,1.282,1.312,3.35,3.68,0.86,-0.57,54356.0,59195.0,881597.0,5.95,104254.0,0.7,777343.0,5.25,-553621.0,-3.74,-327977.0,-2.21,-717.0,1.291,1.293,308281008.0,398607343,398607343,2026-07-30,2026-07-30 16:11:54+08:00
