序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2238,603900,莱绅通灵,5.95,1.54,0.09,95556.0,56536892.0,3.58,6.02,5.81,5.88,5.86,1.33,2.79,9.53,1.02,2040634848.0,2039206848.0,-0.17,-0.17,-22.43,-29.67
2239,300555,ST路通,12.5,1.54,0.19,6230.0,7771201.0,3.17,12.6,12.21,12.21,12.31,1.02,0.31,-87.31,6.07,2500000000.0,2474810788.0,-0.08,-0.08,-14.5,-14.73
2240,301368,丰立智能,43.53,1.54,0.66,33294.0,144973408.45,2.54,43.99,42.9,43.05,42.87,1.21,2.77,4982.66,5.55,5227953000.0,5227953000.0,0.0,-0.05,-18.8,-30.54
2241,300022,吉峰科技,7.97,1.53,0.12,79330.0,62676969.0,2.42,7.99,7.8,7.88,7.85,1.21,1.61,233.22,7.71,3939095829.0,3938979467.0,-0.25,0.0,-10.25,1.92
2242,600603,广汇物流,4.64,1.53,0.07,92083.0,42225803.0,2.63,4.65,4.53,4.58,4.57,0.64,0.78,92.71,0.74,5456374365.0,5456374365.0,0.0,0.0,-18.45,-25.4
2243,003010,若羽臣,26.51,1.53,0.4,90726.0,238807482.72,3.83,26.84,25.84,26.16,26.11,0.72,4.01,28.5,11.79,8246186709.0,5995029245.0,0.0,0.04,-7.95,-23.54
2244,002081,金 螳 螂,3.98,1.53,0.06,1014246.0,401224139.65,2.04,3.98,3.9,3.92,3.92,0.97,3.84,15.0,0.78,10568188282.0,10524088589.0,0.25,0.25,-49.3,20.97
2245,300828,锐新科技,15.26,1.53,0.23,35176.0,53549943.0,3.06,15.38,14.92,14.96,15.03,0.92,4.17,98.82,3.26,2539599720.0,1287475747.0,0.0,0.0,-40.2,-9.0
2246,300377,赢时胜,14.58,1.53,0.22,442011.0,647106277.81,4.67,14.95,14.28,14.4,14.36,1.15,6.4,-31.22,4.55,10949624906.0,10073644320.0,-0.07,0.28,-18.09,-35.34
2247,688597,煜邦电力,6.64,1.53,0.1,37924.0,25045358.0,2.45,6.67,6.51,6.56,6.54,0.72,1.13,-24.86,2.8,2231440233.0,2231440233.0,-0.15,-0.15,-22.16,-19.12
2248,002203,海亮股份,19.43,1.52,0.29,272161.0,529858424.09,5.17,19.9,18.91,19.1,19.14,0.71,1.23,25.53,2.65,44528804974.0,42981904857.0,-0.05,-0.26,-14.71,54.94
2249,300725,药石科技,40.85,1.52,0.61,187000.0,758858417.17,3.35,40.95,39.6,39.8,40.24,1.14,9.22,48.84,1.76,9551029880.0,8280842472.0,-0.02,0.0,2.33,6.71
2250,688357,建龙微纳,27.35,1.52,0.41,8488.0,23145243.0,3.16,27.76,26.91,27.02,26.94,0.74,0.85,41.62,1.58,2736637581.0,2736637581.0,0.07,0.51,-19.7,-16.49
2251,002725,跃岭股份,11.32,1.52,0.17,64758.0,73405102.8,2.42,11.44,11.17,11.25,11.15,1.1,2.6,-133.74,2.98,2897920000.0,2818266050.0,0.09,-0.09,-33.8,-32.94
2252,301356,天振股份,18.71,1.52,0.28,19031.0,35384484.0,3.2,18.8,18.21,18.46,18.43,0.61,1.5,26.13,1.37,4041360000.0,2370510225.0,-0.05,0.16,-19.42,-10.95
2253,300161,华中数控,26.13,1.52,0.39,43731.0,114542079.35,3.03,26.51,25.73,25.93,25.74,1.06,2.24,-16.42,3.37,5191950154.0,5095201137.0,-0.11,0.08,-31.61,-9.96
2254,603352,至信股份,27.44,1.52,0.41,34687.0,94628883.0,1.74,27.5,27.03,27.2,27.03,1.01,7.65,64.22,2.12,6219733342.0,1243946685.0,0.11,0.11,-23.97,26.05
2255,603291,联合水务,8.72,1.51,0.13,56101.0,48651022.0,3.14,8.79,8.52,8.68,8.59,1.24,1.33,62.0,2.12,3690483667.0,3690483667.0,0.0,0.11,-27.15,-7.63
2256,920080,奥美森,21.48,1.51,0.32,3428.0,7374431.22,2.79,21.66,21.07,21.16,21.16,1.43,1.49,20.14,3.29,1782840000.0,493518057.0,0.05,-0.56,-15.47,-20.68
2257,300913,兆龙互连,35.63,1.51,0.53,98394.0,347065137.83,4.93,35.95,34.22,34.29,35.1,1.29,3.44,62.89,4.71,12213291306.0,10184989422.0,-0.03,-0.03,-39.02,-32.09
2258,300901,中胤时尚,15.55,1.5,0.23,44986.0,69438807.91,3.79,15.69,15.11,15.54,15.32,0.6,1.87,608.42,3.84,3732000000.0,3732000000.0,0.0,-0.13,-16.89,-4.78
2259,603030,全筑股份,2.03,1.5,0.03,341885.0,69049668.0,3.0,2.05,1.99,2.0,2.0,0.94,2.6,297.38,3.82,2673375046.0,2673375046.0,0.5,1.0,-30.95,-31.42
2260,300897,山科智能,15.54,1.5,0.23,41954.0,65115864.6,2.61,15.7,15.3,15.31,15.31,0.69,3.43,112.62,3.13,3043450476.0,1899859530.0,0.0,0.13,-17.16,-15.45
2261,920245,威博液压,12.88,1.5,0.19,4318.0,5522861.76,2.84,12.92,12.56,12.78,12.69,0.73,0.81,25.77,2.58,889662816.0,685143189.0,0.23,0.23,-29.5,-35.54
2262,002198,ST嘉应,3.39,1.5,0.05,45480.0,15308911.7,2.99,3.42,3.32,3.34,3.34,0.93,0.9,34.53,2.36,1720458385.0,1720357871.0,0.0,-0.29,-25.66,-51.78
2263,301180,万祥科技,11.53,1.5,0.17,30973.0,35497960.0,2.64,11.61,11.31,11.42,11.36,0.73,1.89,-1119.26,3.52,4612115300.0,1892511163.0,-0.17,0.17,-38.31,-30.96
2264,300716,*ST泉为,17.56,1.5,0.26,26019.0,44896652.65,6.07,17.95,16.9,17.0,17.3,1.3,1.63,-46.53,-15.74,2809951200.0,2809951200.0,0.0,0.17,5.28,46.7
2265,300366,ST创意,4.75,1.5,0.07,107048.0,51226914.54,4.49,4.88,4.67,4.67,4.68,1.43,2.02,-13.54,2.51,2885986713.0,2519886828.0,0.0,-0.21,-17.25,-30.25
2266,300207,欣旺达,18.93,1.5,0.28,607700.0,1144804268.56,2.63,19.05,18.56,18.56,18.65,0.81,3.55,76.68,1.43,34972464103.0,32444614088.0,0.0,-0.05,-27.8,-27.36
2267,603138,海量数据,13.54,1.5,0.2,97599.0,132550407.0,3.97,13.88,13.35,13.38,13.34,0.96,3.38,-23.79,4.91,3975489013.0,3904162189.0,-0.29,-0.07,-30.85,-4.78
2268,300884,狄耐克,11.58,1.49,0.17,63859.0,73628239.14,4.03,11.8,11.34,11.41,11.41,1.19,3.34,-376.62,2.34,2939731456.0,2216526480.0,0.09,0.26,-11.87,-21.22
2269,300225,金力泰,6.83,1.49,0.1,105523.0,71993355.0,3.12,6.92,6.71,6.75,6.73,0.87,2.24,56.44,3.7,3247184100.0,3224073429.0,0.0,-0.29,-1.16,20.25
2270,603223,恒通股份,10.91,1.49,0.16,107097.0,116477212.0,2.7,10.99,10.7,10.76,10.75,0.77,1.52,20.66,1.91,7700520126.0,7700520126.0,-0.09,0.18,19.76,18.2
2271,301557,常友科技,77.64,1.49,1.14,9115.0,70105661.6,3.35,78.17,75.61,76.53,76.5,0.86,3.66,-236.79,4.83,4816088315.0,1930982654.0,-0.06,-0.17,-6.5,-16.32
2272,688063,派能科技,45.49,1.49,0.67,59173.0,268995668.0,2.77,45.91,44.67,44.92,44.82,0.95,2.41,125.19,1.21,11161392237.0,11161392237.0,0.02,0.22,-41.39,-19.77
2273,600071,凤凰光学,15.66,1.49,0.23,23406.0,36486585.0,1.75,15.69,15.42,15.51,15.43,0.9,0.83,-618.56,8.66,4409447102.0,4409447102.0,-0.06,-0.06,-22.17,-27.16
2274,300963,中洲特材,12.96,1.49,0.19,352706.0,447988161.71,8.14,13.36,12.32,12.37,12.77,1.58,10.48,77.3,5.35,5943974400.0,4359642316.0,-0.08,0.23,-24.83,-37.54
2275,300651,金陵体育,17.7,1.49,0.26,68489.0,120272186.82,2.18,17.7,17.32,17.32,17.44,0.86,6.63,1140.51,2.31,2499411478.0,1829777591.0,0.0,0.23,-44.98,-12.29
2276,301581,黄山谷捷,36.11,1.49,0.53,7459.0,26772403.48,3.2,36.15,35.01,35.6,35.58,1.0,1.76,88.32,2.92,2888800000.0,1527254395.0,0.06,0.19,-26.14,-23.33
