代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,10.87,10.96,10.85,10.94,10.89,0.46,824171954.0
000010,*ST美丽,4.29,4.29,4.07,4.12,4.33,-4.85,213697068.0
000021,深科技,32.0,32.56,30.9,31.25,32.07,-2.56,2518803117.0
000063,中兴通讯,36.81,38.1,36.68,37.12,37.12,0.0,3787622570.0
000100,TCL科技,4.86,4.95,4.81,4.89,4.88,0.2,2123753691.0
000166,申万宏源,4.89,4.97,4.89,4.96,4.9,1.22,474088977.0
000301,东方盛虹,12.04,12.24,11.73,11.78,11.83,-0.42,629245756.0
000333,美的集团,77.3,77.75,76.93,77.4,77.39,0.01,1493891519.0
000338,潍柴动力,26.41,26.55,24.83,25.2,26.56,-5.12,5065645690.0
000408,藏格矿业,82.1,83.2,79.98,80.61,82.43,-2.21,969733195.0
000425,徐工机械,12.18,12.27,11.25,11.47,12.3,-6.75,3064150813.0
000538,云南白药,56.66,56.8,56.13,56.3,56.7,-0.71,470558942.0
000568,泸州老窖,104.75,105.76,103.89,105.18,104.8,0.36,776228865.0
000617,中油资本,8.94,9.08,8.92,9.08,8.94,1.57,881049691.0
000630,铜陵有色,7.16,7.28,7.1,7.15,7.22,-0.97,1846031901.0
000636,风华高科,23.4,23.5,21.93,22.5,23.4,-3.85,1927995150.0
000651,格力电器,37.7,37.92,37.58,37.88,37.8,0.21,905740993.0
000657,中钨高新,62.51,64.5,61.01,62.3,62.85,-0.88,4290605309.0
000725,京东方Ａ,4.4,4.47,4.38,4.42,4.39,0.68,3332652943.0
000776,广发证券,19.5,19.59,19.36,19.49,19.53,-0.2,531036581.0
000792,盐湖股份,38.3,38.93,37.85,38.26,38.21,0.13,2539625553.0
000807,云铝股份,34.07,35.87,33.74,35.24,33.65,4.73,3077266122.0
000838,*ST发展,2.45,2.46,2.37,2.38,2.46,-3.25,77510194.0
000858,五 粮 液,102.0,102.73,101.6,102.27,102.18,0.09,1189182247.0
000895,双汇发展,27.56,27.86,27.45,27.78,27.51,0.98,245211673.0
000938,紫光股份,25.01,27.75,25.0,26.52,25.23,5.11,5555842438.0
000958,电投产融,6.86,6.97,6.84,6.95,6.89,0.87,443593830.0
000977,浪潮信息,61.77,64.84,61.6,63.3,62.35,1.52,4242026383.0
000988,华工科技,133.74,141.41,123.5,127.9,134.88,-5.17,27737748289.0
001280,中国铀业,88.88,88.9,85.51,86.57,89.95,-3.76,1445537860.0
001289,龙源电力,18.25,18.73,18.01,18.48,18.13,1.93,274754877.0
001309,德明利,299.92,305.92,289.26,293.5,298.64,-1.72,3763344933.0
001389,广合科技,124.0,127.49,118.16,119.9,124.1,-3.38,1148276014.0
002001,新 和 成,38.98,40.19,38.39,39.3,38.67,1.63,2941871364.0
002008,大族激光,71.75,72.8,69.55,70.75,72.35,-2.21,1885751424.0
002027,分众传媒,6.77,6.82,6.73,6.8,6.8,0.0,524844204.0
002028,思源电气,218.42,220.25,210.5,213.11,220.96,-3.55,3255953764.0
002049,紫光国微,75.01,76.34,74.42,75.21,75.53,-0.42,1029425422.0
002050,三花智控,48.18,48.97,47.81,48.78,48.21,1.18,4363157540.0
002080,中材科技,45.87,47.08,44.9,46.01,46.08,-0.15,1545959856.0
002102,ST能特,3.5,3.85,3.49,3.79,3.5,8.29,986285086.0
002142,宁波银行,31.1,31.56,31.0,31.46,31.15,1.0,498643506.0
002156,通富微电,46.9,48.26,45.87,46.33,47.09,-1.61,2738249051.0
002179,中航光电,37.08,38.06,36.88,37.78,37.31,1.26,3010629499.0
002185,华天科技,14.02,14.32,13.73,13.91,14.08,-1.21,1635132203.0
002202,金风科技,29.94,33.0,29.15,31.29,30.24,3.47,14690731957.0
002230,科大讯飞,52.91,53.4,52.32,52.68,53.08,-0.75,1565362445.0
002241,歌尔股份,25.3,25.65,25.14,25.35,25.4,-0.2,1228384120.0
002281,光迅科技,91.54,100.64,91.54,98.82,91.49,8.01,11227828629.0
002311,海大集团,55.08,56.76,54.06,56.5,55.04,2.65,625605714.0
002352,顺丰控股,37.21,37.43,37.04,37.34,37.32,0.05,606695404.0
002353,杰瑞股份,112.01,112.38,107.0,108.47,112.01,-3.16,2508605219.0
002371,北方华创,457.0,462.0,450.84,457.99,461.99,-0.87,3074791532.0
002379,宏桥控股,31.5,33.44,31.49,32.53,31.32,3.86,1019068273.0
002384,东山精密,106.09,109.3,101.2,109.3,104.8,4.29,8286747338.0
002409,雅克科技,89.99,93.65,87.81,89.03,90.72,-1.86,921317787.0
002415,海康威视,31.53,31.93,31.45,31.92,31.65,0.85,1095703457.0
002428,云南锗业,46.01,47.3,44.05,45.17,46.0,-1.8,2364405479.0
002460,赣锋锂业,69.75,70.1,68.31,69.5,70.17,-0.95,2086830086.0
002463,沪电股份,76.16,79.21,75.02,76.34,77.24,-1.17,5322902849.0
002466,天齐锂业,54.3,54.48,53.02,53.6,54.54,-1.72,1203260084.0
002475,立讯精密,49.9,50.43,49.28,49.7,50.17,-0.94,4282954480.0
002484,江海股份,31.36,31.61,30.0,30.65,31.41,-2.42,625450861.0
002493,荣盛石化,14.3,14.55,13.48,13.8,14.05,-1.78,1203646111.0
002565,顺灏股份,14.39,14.4,13.69,13.78,14.23,-3.16,813373022.0
002594,比亚迪,99.23,100.69,98.7,99.1,99.22,-0.12,4995016177.0
002600,领益智造,14.83,15.01,14.52,14.6,15.0,-2.67,1655021575.0
002602,世纪华通,17.24,17.24,16.65,16.93,17.28,-2.03,2126831011.0
002648,卫星化学,28.4,30.0,27.64,29.1,27.93,4.19,3758711712.0
002653,海思科,47.69,47.7,46.75,47.12,48.03,-1.89,97695983.0
002709,天赐材料,48.0,49.27,47.55,48.63,48.79,-0.33,5365842471.0
002714,牧原股份,49.5,50.68,49.0,50.59,49.31,2.6,3153533829.0
002736,国信证券,12.2,12.33,12.17,12.25,12.21,0.33,236577418.0
002816,*ST和科,24.56,24.6,23.8,23.94,24.46,-2.13,46904741.0
002837,英维克,100.7,101.83,97.22,97.97,100.21,-2.24,2793412421.0
002851,麦格米特,125.99,127.55,117.71,120.5,125.76,-4.18,2117724846.0
002916,深南电路,258.0,263.0,249.5,252.61,259.6,-2.69,1752231350.0
002938,鹏鼎控股,52.53,53.85,51.82,52.33,53.12,-1.49,938718564.0
003816,中国广核,4.38,4.4,4.3,4.38,4.37,0.23,1124134340.0
159516,半导体设备ETF国泰,1.732,1.753,1.695,1.713,1.741,-1.61,896211644
159558,半导体设备ETF易方达,2.03,2.054,1.988,2.007,2.041,-1.67,163831271
300014,亿纬锂能,68.57,69.18,67.31,69.09,67.97,1.65,5554919902.0
300015,爱尔眼科,10.29,10.29,10.13,10.15,10.29,-1.36,659399985.0
300024,机器人,16.39,16.52,16.25,16.29,16.5,-1.27,223028230.0
300033,同花顺,322.42,326.88,321.21,325.06,324.64,0.13,2333578079.0
300054,鼎龙股份,44.24,45.55,43.92,45.12,44.37,1.69,739030621.0
300059,东方财富,21.38,21.53,21.25,21.36,21.47,-0.51,3243000739.0
300124,汇川技术,71.07,71.3,69.8,71.16,71.15,0.01,1831239241.0
300136,信维通信,68.06,69.2,66.12,67.05,68.6,-2.26,3516005129.0
300152,*ST动力,2.46,2.63,2.45,2.56,2.5,2.4,140402185.0
300223,北京君正,120.4,121.79,118.08,119.8,121.0,-0.99,2367402017.0
300274,阳光电源,171.54,173.77,168.4,173.1,170.92,1.28,17584427717.0
300285,国瓷材料,39.31,39.68,37.9,38.42,39.71,-3.25,1806987005.0
300308,中际旭创,557.25,563.58,528.5,534.8,554.68,-3.58,12905792455.0
300394,天孚通信,331.0,336.8,314.61,334.04,331.0,0.92,11618752972.0
300408,三环集团,57.7,57.85,54.8,56.23,58.08,-3.19,1730044536.0
300433,蓝思科技,32.33,32.79,31.72,32.02,32.49,-1.45,1450033901.0
300442,润泽科技,91.12,92.98,87.39,88.69,91.12,-2.67,5025227703.0
300475,香农芯创,156.3,158.4,150.66,152.7,156.83,-2.63,2888075085.0
300476,胜宏科技,282.99,285.8,273.4,280.49,284.8,-1.51,7861443027.0
300498,温氏股份,17.25,17.65,16.93,17.54,17.15,2.27,1541073025.0
300502,新易盛,400.01,404.85,375.67,378.77,393.23,-3.68,13309458976.0
300555,ST路通,14.04,14.04,13.36,13.36,14.01,-4.64,28999452.0
300567,精测电子,134.79,136.93,132.05,133.54,135.45,-1.41,862714963.0
300594,ST朗进,30.19,30.75,29.0,29.44,30.24,-2.65,103107577.0
