代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,11.1,11.13,11.07,11.09,11.1,-0.09,534088991.0
000010,*ST美丽,3.74,3.8,3.72,3.75,3.71,1.08,66653556.0
000021,深科技,28.21,28.66,28.01,28.1,27.7,1.44,2210166391.0
000063,中兴通讯,35.5,36.17,35.2,35.79,35.56,0.65,4450874881.0
000100,TCL科技,4.34,4.4,4.33,4.34,4.29,1.17,1517810862.0
000166,申万宏源,4.67,4.8,4.67,4.72,4.64,1.72,690444825.0
000301,东方盛虹,11.2,11.6,11.12,11.52,11.2,2.86,308148055.0
000333,美的集团,76.52,76.74,76.06,76.41,76.52,-0.14,1971065632.0
000338,潍柴动力,26.55,27.2,26.11,27.0,25.98,3.93,3413674977.0
000408,藏格矿业,84.43,84.99,82.88,83.1,84.08,-1.17,832860428.0
000425,徐工机械,10.71,10.79,10.58,10.61,10.6,0.09,845029900.0
000538,云南白药,55.11,55.23,54.88,54.92,55.1,-0.33,417209136.0
000568,泸州老窖,103.49,103.49,102.2,102.51,102.8,-0.28,876233499.0
000617,中油资本,10.2,10.55,9.93,10.26,10.39,-1.25,4623626618.0
000630,铜陵有色,6.16,6.2,6.08,6.09,6.1,-0.16,1312556376.0
000636,风华高科,19.96,20.33,19.95,19.96,19.73,1.17,1122214703.0
000651,格力电器,37.29,37.44,37.15,37.34,37.32,0.05,639939705.0
000657,中钨高新,49.2,49.87,47.2,48.98,49.15,-0.35,4392115959.0
000725,京东方Ａ,4.05,4.08,4.03,4.04,4.01,0.75,1874658593.0
000776,广发证券,18.78,19.36,18.69,18.87,18.14,4.02,1703378792.0
000792,盐湖股份,37.6,38.3,37.1,37.41,37.4,0.03,3212318091.0
000807,云铝股份,35.57,35.58,34.47,34.6,35.56,-2.7,1709976678.0
000838,*ST发展,2.18,2.19,2.13,2.14,2.16,-0.93,50136884.0
000858,五 粮 液,102.61,102.95,102.0,102.07,102.6,-0.52,1253630005.0
000895,双汇发展,27.81,28.0,27.51,27.94,27.71,0.83,249784075.0
000938,紫光股份,27.02,27.76,26.74,27.09,27.02,0.26,3690418696.0
000958,电投产融,6.05,6.12,6.04,6.08,6.04,0.66,127260344.0
