排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,通信线缆及配套,BK1592,23400.43,1333.96,6.05,713967248000,7.43,13,0,通鼎互联,9.98
2,其他数字媒体,BK1295,1008.87,57.19,6.01,11323911000,8.85,2,0,风语筑,9.96
3,会展服务,BK1565,1304.24,62.16,5.0,16034086000,5.79,3,0,米奥会展,10.99
4,房产租赁经纪,BK1341,1317.03,52.04,4.11,17614132000,4.49,3,0,我爱我家,5.41
5,光伏主材,BK1318,11432.1,429.06,3.9,160307686000,2.22,2,0,通威股份,5.06
6,涂料,BK1469,961.75,35.47,3.83,24283036000,1.38,2,0,三棵树,5.64
7,院线,BK1300,647.85,23.25,3.72,41751746000,13.53,4,0,儒意电影,6.52
8,通信网络设备及器件,BK1591,14322.11,494.54,3.58,3052384960000,5.07,35,2,通宇通讯,9.99
9,住宅开发,BK1346,1938.48,63.87,3.41,571202800000,2.67,60,3,京投发展,10.02
10,光学元件,BK1334,15957.5,516.66,3.35,394554752000,3.59,25,1,光智科技,11.71
11,硅料硅片,BK1319,1994.16,64.25,3.33,96850085000,3.13,5,0,华民股份,6.9
12,印制电路板,BK1340,11772.2,373.33,3.28,2789237312000,5.47,48,0,宝鼎科技,10.0
13,运动服装,BK1355,2909.97,92.16,3.27,17818062000,5.68,4,0,探路者,8.55
14,公路货运,BK1487,4349.89,136.56,3.24,23153784000,0.84,3,0,龙洲股份,10.07
15,水产饲料,BK1509,5962.13,186.39,3.23,88769299000,1.84,3,1,粤海饲料,10.04
16,机床工具,BK1395,1937.76,59.99,3.19,141339705000,4.28,17,2,沈阳机床,9.92
17,光伏加工设备,BK1317,6745.87,208.77,3.19,216473408000,1.94,11,0,金辰股份,9.98
18,园林工程,BK1473,3558.07,109.63,3.18,47042385000,4.43,14,1,节能铁汉,19.79
19,房地产开发,BK0451,14180.47,428.89,3.12,912607184000,2.32,84,4,京投发展,10.02
20,半导体材料,BK1325,13663.69,411.29,3.1,1111112160000,5.71,30,1,先导基电,10.01
21,房地产,BK1202,2005.11,60.32,3.1,975087792000,2.35,97,4,京投发展,10.02
22,房地产服务,BK1045,1070.85,31.15,3.0,62480609000,2.79,13,0,中交发展,10.0
23,通信设备,BK0448,23137.65,663.6,2.95,4244817216000,5.08,81,10,通鼎互联,9.98
24,装修装饰Ⅲ,BK1478,860.98,24.65,2.95,106843994000,2.68,18,3,宝鹰股份,10.11
25,装修装饰Ⅱ,BK0725,860.98,24.65,2.95,106843994000,2.68,18,3,宝鹰股份,10.11
26,分立器件,BK1327,15779.03,449.52,2.93,594460448000,3.01,16,2,炬光科技,20.0
27,个护小家电,BK1458,886.58,25.14,2.92,20155566000,3.1,3,1,彩虹集团,9.04
28,预加工食品,BK1581,6385.38,179.47,2.89,64221282000,3.58,8,2,盖世食品,22.25
29,半导体设备,BK1326,52431.44,1456.94,2.86,2305408224000,2.81,21,4,至纯科技,9.99
30,纺织化学制品,BK1423,1594.08,44.16,2.85,103274902000,6.88,13,0,安诺其,9.3
31,物业管理,BK1343,1743.06,48.03,2.83,40939912000,1.83,9,0,中交发展,10.0
32,保健品,BK1579,3546.73,97.09,2.81,51630485000,3.04,9,0,百合股份,9.99
33,培训教育,BK1557,5134.36,136.13,2.72,64792337000,4.49,10,2,传智教育,9.97
34,商业地产,BK1345,1299.57,33.88,2.68,208863784000,1.36,11,0,新城控股,10.04
35,定制家居,BK1539,6995.92,174.95,2.56,73618022000,2.18,16,0,美之高,6.26
36,宠物食品,BK1507,1599.85,39.16,2.51,32507047000,4.36,3,1,中宠股份,4.07
37,瓷砖地板,BK1538,1512.41,36.61,2.48,76789405000,2.23,10,1,天安新材,5.92
38,火电设备,BK1321,1562.98,37.66,2.47,27469869000,3.03,4,0,*ST华西,3.57
39,教育,BK0740,614.52,14.8,2.47,83926183000,3.65,14,2,传智教育,9.97
40,百货,BK1551,1933.11,46.41,2.46,117306255000,2.05,17,1,宁波中百,9.98
41,通信,BK1215,7606.35,182.41,2.46,7391389440000,1.94,109,21,通鼎互联,9.98
42,印刷包装机械,BK1406,2316.69,55.13,2.44,50843913000,2.04,9,2,凯腾精工,13.69
43,仪器仪表,BK0458,21304.82,504.61,2.43,695858880000,2.58,57,6,蓝盾光电,19.99
44,元件,BK0459,56712.61,1325.57,2.39,3371264992000,6.0,59,8,宝鼎科技,10.0
45,集成电路制造,BK1329,3873.14,89.51,2.37,2109559440000,2.56,8,0,华虹宏力,4.08
46,乳品,BK1585,2290.99,52.15,2.33,256773261000,2.38,15,4,皇氏集团,9.95
47,营销代理,BK1293,4669.38,105.8,2.32,231720260000,10.93,26,1,天龙集团,8.88
