代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,11.5,11.6,11.46,11.49,11.52,-0.26,1312827776.0
000010,*ST美丽,2.89,2.89,2.89,2.89,3.04,-4.93,6280837.0
000021,深科技,29.58,29.67,28.78,29.22,29.23,-0.03,2127039209.0
000063,中兴通讯,36.21,36.83,35.7,36.7,36.42,0.77,3578015727.0
000100,TCL科技,4.41,4.47,4.26,4.27,4.32,-1.16,3028827919.0
000166,申万宏源,4.72,4.8,4.71,4.74,4.74,0.0,500192852.0
000301,东方盛虹,13.15,13.48,13.0,13.27,13.26,0.08,503216727.0
000333,美的集团,81.0,82.15,80.61,81.1,81.31,-0.26,2889837730.0
000338,潍柴动力,30.9,32.66,30.81,31.2,30.15,3.48,5366035687.0
000408,藏格矿业,90.79,92.4,88.66,89.26,91.01,-1.92,1280912600.0
000425,徐工机械,10.3,10.5,9.86,9.95,10.3,-3.4,1584417957.0
000538,云南白药,53.78,53.78,53.03,53.05,54.63,-2.89,789561909.0
000568,泸州老窖,101.34,102.1,100.03,100.1,101.73,-1.6,904951945.0
000617,中油资本,9.49,9.54,9.39,9.44,9.49,-0.53,1254835202.0
000630,铜陵有色,6.29,6.33,6.1,6.15,6.33,-2.84,1629057970.0
000636,风华高科,25.51,25.58,24.54,25.09,25.28,-0.75,2314900680.0
000651,格力电器,40.49,40.86,40.05,40.05,40.47,-1.04,3084996599.0
000657,中钨高新,58.0,59.9,57.3,58.19,57.31,1.54,7249828212.0
000725,京东方Ａ,4.13,4.18,4.08,4.08,4.17,-2.16,3060106520.0
000776,广发证券,21.25,21.73,21.13,21.23,21.28,-0.23,1476758459.0
000792,盐湖股份,39.83,41.6,38.84,39.29,39.5,-0.53,9694129980.0
000807,云铝股份,32.82,32.95,31.63,31.8,33.12,-3.99,2168124537.0
000838,*ST发展,1.92,1.95,1.92,1.95,1.86,4.84,33068902.0
000858,五 粮 液,97.74,97.95,97.0,97.08,98.34,-1.28,2413614789.0
000895,双汇发展,27.62,28.03,27.55,27.73,27.62,0.4,310879192.0
000938,紫光股份,32.66,32.76,30.74,31.99,32.42,-1.33,6695067934.0
000958,电投产融,5.99,6.02,5.91,5.92,5.99,-1.17,130997751.0
000977,浪潮信息,69.5,70.5,66.15,69.75,72.28,-3.5,8195854087.0
000988,华工科技,119.11,120.97,115.0,119.53,119.04,0.41,10868659755.0
001280,中国铀业,83.05,83.45,81.4,81.84,83.84,-2.39,912682291.0
001289,龙源电力,16.16,16.96,16.0,16.8,16.18,3.83,237685235.0
001309,德明利,517.71,535.0,509.01,524.81,522.93,0.36,10143598920.0
001389,广合科技,165.02,169.18,161.6,163.25,164.0,-0.46,1554027370.0
002001,新 和 成,35.3,35.3,34.36,34.8,34.96,-0.46,854303472.0
002008,大族激光,102.31,104.11,98.33,100.72,103.34,-2.54,6325656267.0
002027,分众传媒,6.38,6.43,6.27,6.29,6.42,-2.02,900407940.0
002028,思源电气,196.9,198.86,191.45,195.0,196.86,-0.94,2206475187.0
002049,紫光国微,75.51,77.68,75.24,77.32,75.88,1.9,2622650615.0
002050,三花智控,44.69,47.37,44.58,46.92,44.82,4.69,7670256266.0
002080,中材科技,57.01,57.23,53.51,55.17,56.9,-3.04,2670709191.0
002102,ST能特,2.65,2.65,2.65,2.65,2.79,-5.02,9992885.0
002142,宁波银行,33.4,33.58,32.87,33.2,33.55,-1.04,625490589.0
002156,通富微电,50.98,52.89,50.23,51.77,49.5,4.59,6822472051.0
002179,中航光电,36.23,37.22,35.6,36.56,36.25,0.86,1231750774.0
002185,华天科技,12.86,13.16,12.77,13.11,12.77,2.66,2541258930.0
002202,金风科技,26.51,28.18,26.2,27.55,25.73,7.07,9489163560.0
002230,科大讯飞,47.98,48.41,47.69,47.79,48.06,-0.56,1821756993.0
002241,歌尔股份,24.68,24.68,24.21,24.5,24.7,-0.81,1678512942.0
002281,光迅科技,135.52,146.16,135.01,144.28,132.87,8.59,11326790011.0
002311,海大集团,49.65,51.1,49.41,49.98,49.81,0.34,563173520.0
002352,顺丰控股,36.77,37.28,36.66,37.1,36.84,0.71,1127988250.0
002353,杰瑞股份,127.6,139.6,123.23,137.0,127.25,7.66,3893282863.0
002371,北方华创,519.18,541.16,507.09,536.99,510.71,5.15,8805165448.0
002379,宏桥控股,25.09,25.13,24.4,24.9,25.26,-1.43,689751152.0
002384,东山精密,189.78,191.95,181.83,186.73,184.25,1.35,15312806483.0
002409,雅克科技,85.54,86.76,84.45,84.71,83.94,0.92,1012977736.0
002415,海康威视,34.75,36.84,34.57,36.29,34.81,4.25,4226180594.0
002428,云南锗业,68.72,72.12,68.72,70.01,69.22,1.14,7285746310.0
002460,赣锋锂业,87.0,91.19,86.9,88.68,86.9,2.05,9577756676.0
002463,沪电股份,103.62,105.66,102.2,102.57,101.98,0.58,4895757286.0
002466,天齐锂业,75.0,81.19,74.49,80.03,75.52,5.97,10314776758.0
002475,立讯精密,69.48,69.48,66.8,67.0,68.64,-2.39,10467151556.0
002484,江海股份,38.46,38.99,37.7,38.35,38.18,0.45,1925275660.0
002493,荣盛石化,13.52,14.11,13.51,13.95,13.64,2.27,1158805537.0
002565,顺灏股份,18.32,19.19,18.18,19.02,18.52,2.7,3032897369.0
002594,比亚迪,104.54,105.45,102.37,102.98,105.4,-2.3,6206126903.0
002600,领益智造,14.0,14.16,13.82,14.06,14.03,0.21,1438962917.0
002602,世纪华通,16.96,17.0,16.01,16.01,17.58,-8.93,4869654870.0
002648,卫星化学,29.57,30.2,29.3,29.6,29.23,1.27,1560034302.0
002653,海思科,55.58,58.75,55.3,58.53,55.53,5.4,418497456.0
002709,天赐材料,59.59,61.0,58.53,60.51,59.32,2.01,10899512868.0
002714,牧原股份,44.0,45.38,43.81,44.7,44.62,0.18,1941286551.0
002736,国信证券,10.82,10.83,10.63,10.72,11.12,-3.6,798950417.0
002816,*ST和科,23.35,23.53,23.05,23.3,23.93,-2.63,84200492.0
002837,英维克,95.02,96.38,93.06,94.6,94.5,0.11,2759327637.0
002851,麦格米特,121.39,124.57,118.22,120.21,115.61,3.98,4644239034.0
002916,深南电路,318.68,322.75,308.21,312.5,314.51,-0.64,3227124990.0
002938,鹏鼎控股,72.82,74.28,71.54,72.05,72.82,-1.06,2680028569.0
003816,中国广核,4.51,4.59,4.45,4.58,4.54,0.88,649214709.0
159516,半导体设备ETF国泰,0.974,1.015,0.964,1.005,0.974,3.18,1854982265
159558,半导体设备ETF易方达,2.295,2.375,2.26,2.358,2.284,3.24,360209397
300014,亿纬锂能,73.5,74.37,72.21,72.59,74.1,-2.04,5449758432.0
300015,爱尔眼科,10.94,11.03,10.77,10.78,10.95,-1.55,1101886184.0
300024,机器人,14.62,15.03,14.6,14.98,14.65,2.25,376094995.0
300033,同花顺,233.39,246.0,232.97,235.0,233.45,0.66,4975763243.0
300054,鼎龙股份,59.8,63.18,59.3,62.36,58.97,5.75,2649707716.0
300059,东方财富,20.25,20.95,20.19,20.36,20.26,0.49,7449063642.0
300124,汇川技术,67.67,70.41,67.42,68.6,67.59,1.49,3846940895.0
300136,信维通信,84.9,91.98,83.03,91.3,85.51,6.77,10831945207.0
300152,*ST动力,1.78,2.06,1.76,2.0,1.78,12.36,127099694.0
300223,北京君正,126.0,126.75,123.3,124.18,125.32,-0.91,3874941983.0
300274,阳光电源,138.47,140.21,136.4,137.41,138.07,-0.48,8795119429.0
300285,国瓷材料,36.98,37.19,35.16,35.78,36.98,-3.24,1749626006.0
300308,中际旭创,863.66,874.65,845.0,857.5,846.0,1.36,18256407622.0
300394,天孚通信,312.87,314.9,305.0,307.5,311.09,-1.15,7267276034.0
300408,三环集团,82.56,87.3,82.0,85.7,82.01,4.5,3586918213.0
300433,蓝思科技,25.72,25.85,25.34,25.69,25.82,-0.5,1279635621.0
300442,润泽科技,89.98,91.0,87.05,89.06,90.44,-1.53,3455369356.0
300475,香农芯创,173.76,178.78,170.41,174.7,174.3,0.23,6848660968.0
300476,胜宏科技,333.0,336.86,326.06,328.49,333.87,-1.61,10673059357.0
300498,温氏股份,16.01,16.64,15.93,16.44,16.12,1.99,1031164648.0
300502,新易盛,549.0,549.0,518.0,525.79,537.0,-2.09,15997132240.0
300555,ST路通,13.46,13.66,13.33,13.47,13.45,0.15,22081210.0
300567,精测电子,137.0,146.99,136.06,145.05,135.99,6.66,2189362169.0
300594,ST朗进,18.3,18.5,18.3,18.3,22.88,-20.02,265639046.0
300604,长川科技,176.29,177.29,167.32,174.2,174.3,-0.06,5617993936.0
300620,光库科技,239.99,243.5,233.05,237.96,235.25,1.15,2751675410.0
300661,圣邦股份,87.9,92.69,87.02,91.94,88.0,4.48,3355896910.0
