date,polarity,high_conf_count,zscore_20d,phase,market,regime
2026-06-22,嘲讽反讽,13,0.09,,A股,牛
2026-06-22,中性,7,0.02,,A股,牛
2026-06-23,贪婪,7,-0.1,,A股,退潮
2026-06-23,恐惧,7,0.09,,A股,退潮
2026-06-23,投降,1,0.65,,A股,退潮
2026-06-23,嘲讽反讽,9,-0.98,,A股,退潮
2026-06-23,中性,2,-0.83,,A股,退潮
2026-06-24,贪婪,3,-1.23,,A股,震荡
2026-06-24,恐惧,1,-1.18,,A股,震荡
2026-06-24,投降,1,0.65,,A股,震荡
2026-06-24,嘲讽反讽,14,0.7,,A股,震荡
2026-06-24,中性,3,-0.57,,A股,震荡
2026-06-25,贪婪,7,-0.16,,A股,震荡
2026-06-25,恐惧,12,1.17,抬升,A股,震荡
2026-06-25,投降,1,0.6,,A股,震荡
2026-06-25,嘲讽反讽,6,-1.84,,A股,震荡
2026-06-25,中性,2,-0.73,,A股,震荡
2026-06-26,贪婪,10,0.6,,A股,退潮
2026-06-26,恐惧,12,1.09,抬升,A股,退潮
2026-06-26,投降,1,0.54,,A股,退潮
2026-06-26,嘲讽反讽,12,0.16,,A股,退潮
2026-06-26,中性,6,-0.01,,A股,退潮
2026-06-27,贪婪,9,0.25,,A股,未定
2026-06-27,恐惧,6,-0.13,,A股,未定
2026-06-27,投降,0,-0.6,,A股,未定
2026-06-27,嘲讽反讽,6,-1.6,,A股,未定
2026-06-27,中性,1,-1.0,,A股,未定
2026-06-28,贪婪,5,-0.9,,A股,未定
2026-06-28,恐惧,7,0.05,,A股,未定
2026-06-28,投降,1,0.54,,A股,未定
2026-06-28,嘲讽反讽,9,-0.58,,A股,未定
2026-06-28,中性,2,-0.79,,A股,未定
2026-06-29,贪婪,10,0.57,,A股,牛
2026-06-29,恐惧,6,-0.16,,A股,牛
2026-06-29,投降,0,-0.6,,A股,牛
2026-06-29,嘲讽反讽,8,-0.82,,A股,牛
2026-06-29,中性,12,1.19,,A股,牛
2026-06-30,贪婪,8,-0.01,,A股,震荡
2026-06-30,恐惧,5,-0.27,,A股,震荡
2026-06-30,投降,1,0.49,,A股,震荡
2026-06-30,嘲讽反讽,7,-1.07,,A股,震荡
2026-06-30,中性,7,0.26,,A股,震荡
2026-07-01,贪婪,5,-0.92,,A股,牛
2026-07-01,恐惧,4,-0.43,,A股,牛
2026-07-01,投降,2,1.58,抬升,A股,牛
2026-07-01,嘲讽反讽,7,-0.98,,A股,牛
2026-07-01,中性,5,-0.07,,A股,牛
2026-07-02,贪婪,5,-0.85,,A股,退潮
2026-07-02,恐惧,6,0.05,,A股,退潮
2026-07-02,投降,1,0.36,,A股,退潮
2026-07-02,嘲讽反讽,10,0.0,,A股,退潮
2026-07-02,中性,1,-0.87,,A股,退潮
2026-07-03,贪婪,4,-1.11,,A股,修复
2026-07-03,恐惧,4,-0.45,,A股,修复
2026-07-03,投降,2,1.36,抬升,A股,修复
2026-07-03,嘲讽反讽,7,-0.87,,A股,修复
2026-07-03,中性,9,0.9,,A股,修复
2026-07-04,贪婪,5,-0.86,,A股,未定
2026-07-04,恐惧,0,-1.46,,A股,未定
2026-07-04,投降,0,-0.82,,A股,未定
2026-07-04,嘲讽反讽,3,-2.09,,A股,未定
2026-07-04,中性,9,0.82,,A股,未定
2026-07-05,贪婪,4,-1.17,,A股,未定
2026-07-05,恐惧,1,-1.09,,A股,未定
2026-07-05,投降,3,2.25,抬升,A股,未定
2026-07-05,嘲讽反讽,7,-0.71,,A股,未定
2026-07-05,中性,2,-0.82,,A股,未定
2026-07-06,贪婪,3,-1.34,,A股,熊
2026-07-06,恐惧,1,-1.12,,A股,熊
2026-07-06,投降,0,-0.89,,A股,熊
2026-07-06,嘲讽反讽,6,-0.97,,A股,熊
2026-07-06,中性,9,0.73,,A股,熊
2026-07-07,贪婪,2,-1.48,,A股,熊
2026-07-07,恐惧,7,0.33,,A股,熊
2026-07-07,投降,0,-0.89,,A股,熊
2026-07-07,嘲讽反讽,6,-0.87,,A股,熊
2026-07-07,中性,1,-1.13,,A股,熊
2026-07-08,贪婪,3,-1.06,,A股,熊
2026-07-08,恐惧,3,-0.61,,A股,熊
2026-07-08,投降,0,-0.83,,A股,熊
2026-07-08,嘲讽反讽,11,0.71,,A股,熊
2026-07-08,中性,9,0.68,,A股,熊
2026-07-09,贪婪,5,-0.44,,A股,震荡
2026-07-09,恐惧,1,-1.04,,A股,震荡
2026-07-09,投降,1,0.09,,A股,震荡
2026-07-09,嘲讽反讽,2,-2.09,,A股,震荡
2026-07-09,中性,0,-1.4,,A股,震荡
2026-07-10,贪婪,0,-1.85,,A股,修复
2026-07-10,恐惧,0,-1.36,,A股,修复
2026-07-10,投降,1,0.05,,A股,修复
2026-07-10,嘲讽反讽,0,-2.65,,A股,修复
2026-07-10,中性,0,-1.28,,A股,修复
