序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300903,科翔股份,108.3,20.0,18.05,349031.0,3508513362.61,23.05,108.3,87.5,89.0,90.25,1.5,9.93,-355.17,26.0,47152364773.0,38054426275.0,0.0,0.0,-1.55,461.43
2,300430,*ST益通,5.58,20.0,0.93,363851.0,187001947.22,20.22,5.58,4.64,4.66,4.65,4.32,14.0,-26.2,1.16,1523601122.0,1449986486.0,0.0,0.0,12.05,-70.97
3,688835,高凯技术,324.41,20.0,54.07,36734.0,1128312888.0,18.65,324.41,274.0,274.0,270.34,1.36,19.56,152.73,14.53,32425009182.0,6093323282.0,0.0,0.0,428.7,428.7
4,301132,满坤科技,58.37,20.0,9.73,165919.0,898002256.64,25.27,58.37,46.08,47.56,48.64,1.7,17.51,98.27,4.8,8643794354.0,5530017111.0,0.0,0.0,21.43,77.52
5,688137,近岸蛋白,76.8,20.0,12.8,91085.0,648451714.0,22.33,76.8,62.51,65.33,64.0,1.35,13.03,-91.93,2.69,5369660390.0,5369660390.0,0.0,0.0,117.32,91.76
6,688244,永信至诚,16.44,20.0,2.74,72761.0,119391122.0,1.82,16.44,16.19,16.19,13.7,3.85,4.82,-23.21,2.7,2481807372.0,2481807372.0,0.0,0.0,5.79,-32.73
7,301520,万邦医药,63.6,20.0,10.6,126583.0,749438168.06,17.55,63.6,54.3,54.3,53.0,1.17,38.71,21471.04,3.96,5925699323.0,2079620975.0,0.0,0.0,160.23,125.45
8,688004,博汇科技,22.82,19.98,3.8,14090.0,32153220.0,0.0,22.82,22.82,22.82,19.02,0.65,1.76,-44.06,3.26,1827608160.0,1827608160.0,0.0,0.0,11.97,-1.34
9,301528,多浦乐,73.0,19.38,11.85,57775.0,406250176.46,21.03,73.38,60.52,61.0,61.15,4.52,12.49,153.77,4.13,6552115000.0,3376712309.0,0.0,0.69,12.74,55.92
10,688622,*ST禾信,116.85,16.63,16.66,10849.0,123294271.0,13.97,117.99,103.99,106.88,100.19,2.2,1.54,-211.8,28.97,8233896129.0,8233896129.0,0.0,0.49,-14.71,15.54
11,301080,百普赛斯,91.74,16.57,13.04,143619.0,1259209686.68,19.43,93.88,78.59,80.35,78.7,1.31,11.32,78.2,5.77,15382876781.0,11636059039.0,0.0,0.14,128.61,71.8
12,688383,新益昌,142.77,16.55,20.27,52272.0,723186090.0,22.91,145.36,117.3,119.9,122.5,1.99,5.14,153.54,11.32,14512070805.0,14512070805.0,-0.13,-0.12,-25.58,82.41
13,301021,英诺激光,86.22,15.73,11.72,181741.0,1495321594.08,21.07,87.08,71.38,72.5,74.5,1.79,11.9,187.48,12.53,13180446313.0,13164698834.0,0.14,0.0,-35.02,77.59
14,688611,杭州柯林,66.47,15.52,8.93,33922.0,217167592.0,16.53,66.5,56.99,57.54,57.54,3.2,2.21,-233.73,12.08,10195806712.0,10195806712.0,0.06,0.05,-10.18,30.72
15,300151,昌红科技,18.66,15.33,2.48,405537.0,708630230.7,18.6,18.88,15.87,16.18,16.18,3.08,11.0,246.14,6.49,9936627251.0,6879900705.0,-0.05,0.05,-16.58,24.4
16,300112,万讯自控,10.46,14.82,1.35,918294.0,937814406.45,26.02,10.93,8.56,8.94,9.11,1.83,34.05,-1145.74,2.95,3348097154.0,2821324661.0,0.0,0.38,56.59,21.49
17,688530,欧莱新材,62.31,14.12,7.71,141445.0,837099699.0,19.27,62.52,52.0,54.58,54.6,2.27,20.27,71.81,11.39,9972392983.0,4347914785.0,0.02,0.11,-20.71,279.01
18,300868,杰美特,87.91,13.74,10.62,52002.0,437739699.0,18.54,89.33,75.0,76.3,77.29,2.54,6.44,-384.72,7.66,11180277407.0,7099464351.0,-0.02,-0.06,-44.98,177.32
19,688296,和达科技,24.85,13.32,2.92,132226.0,315916733.0,19.33,25.75,21.51,23.0,21.93,3.31,12.31,-54.81,4.77,2668720026.0,2668720026.0,-0.08,-0.52,95.67,87.55
20,688381,帝奥微,40.05,13.23,4.68,218419.0,854407424.0,18.69,40.82,34.21,35.0,35.37,2.25,8.83,35.77,3.73,9912375000.0,9912375000.0,-0.27,-0.02,-8.96,76.28
21,300562,乐心股份,17.67,12.48,1.96,285841.0,485608489.4,13.69,17.95,15.8,16.3,15.71,1.58,17.09,32.22,3.44,3868390402.0,2955816096.0,0.28,0.17,43.66,33.86
22,688813,泰金新能,142.3,12.48,15.79,100761.0,1369550892.0,20.06,146.52,121.14,125.25,126.51,1.44,33.5,131.03,13.05,22768000000.0,4279953685.0,0.13,0.24,-31.09,451.98
23,301575,艾芬达,23.11,12.29,2.53,169908.0,376831748.94,13.61,23.48,20.68,20.87,20.58,3.38,23.35,23.76,1.98,2804121180.0,1681955044.0,-0.04,0.17,-18.51,-36.34
24,688428,诺诚健华,29.47,11.93,3.14,158098.0,448658139.0,14.2,29.58,25.84,26.25,26.33,1.48,5.79,105.81,6.78,52135583349.0,8040086943.0,-0.03,0.17,22.84,43.62
25,300311,任子行,6.32,11.86,0.67,1355386.0,867996131.03,12.92,6.72,5.99,6.21,5.65,2.98,25.22,-44.34,6.71,4257342548.0,3396425468.0,-0.32,-0.63,22.96,42.34
26,301047,义翘神州,103.26,11.57,10.71,94422.0,945810630.72,14.59,106.0,92.5,93.5,92.55,1.31,7.9,73.72,2.46,12560209979.0,12347894924.0,0.01,0.01,71.05,55.51
27,301220,亚香股份,30.99,11.56,3.21,59932.0,175427170.52,14.15,31.0,27.07,27.93,27.78,2.46,7.67,74.47,2.03,3502083645.0,2421002670.0,0.16,0.13,-10.41,-17.58
28,301251,威尔高,65.66,11.29,6.66,144545.0,916158284.55,17.25,66.98,56.8,58.0,59.0,2.02,8.32,139.76,8.0,12381117887.0,11413885286.0,0.52,0.2,23.49,75.98
29,301617,博苑新材,51.67,11.26,5.23,37080.0,185866792.35,13.82,51.94,45.52,45.9,46.44,2.63,5.38,45.99,5.03,8976732440.0,3562749840.0,-0.17,-0.12,-13.93,-13.26
30,301689,C电科思,49.0,11.11,4.9,264207.0,1263239557.48,18.1,51.2,43.22,43.3,44.1,0.65,45.9,136.33,10.59,45467292668.0,2820511148.0,0.1,0.25,206.25,206.25
