序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920222,益坤电气,28.6,30.0,6.6,55861.0,150928437.5,34.05,28.6,21.11,21.9,22.0,3.49,48.31,56.84,5.37,2449507060.0,330690074.0,0.0,0.0,183.45,183.45
2,920305,云创退,1.63,25.38,0.33,224986.0,31782455.14,59.23,1.69,0.92,0.92,1.3,1.56,27.74,-9.61,0.45,215773084.0,132194426.0,0.0,-2.98,-70.26,-83.85
3,920018,宏远股份,16.24,25.02,3.25,80756.0,120773230.67,28.18,16.48,12.82,13.1,12.99,4.65,14.05,23.78,2.92,2688181752.0,933652866.0,0.0,0.12,-25.64,-21.77
4,300062,中能电气,6.35,20.04,1.06,531493.0,318737081.72,20.42,6.35,5.27,5.28,5.29,2.69,11.6,356.69,2.6,4000102300.0,2910574888.0,0.0,0.0,-14.99,-23.77
5,301587,中瑞股份,21.58,20.02,3.6,104470.0,210496258.76,20.86,21.58,17.83,17.96,17.98,3.29,14.22,52.74,1.59,3179339103.0,1585116603.0,0.0,0.0,-24.97,-7.78
6,300510,金冠股份,3.66,20.0,0.61,984911.0,343554869.83,19.67,3.66,3.06,3.08,3.05,5.35,11.94,-24.69,1.57,3018367962.0,3018367962.0,0.0,0.0,-9.41,-11.38
7,300444,双杰电气,9.54,20.0,1.59,1070613.0,944382064.88,21.01,9.54,7.87,7.94,7.95,2.07,17.06,6.82,3.69,7676075659.0,5985793808.0,0.0,0.0,-40.52,-0.31
8,301234,五洲医疗,48.96,20.0,8.16,4344.0,21268224.0,0.0,48.96,48.96,48.96,40.8,0.35,1.08,103.38,4.41,3329280000.0,1966753212.0,0.0,0.0,20.98,15.74
9,301292,海科新源,62.69,20.0,10.45,201670.0,1152133059.71,20.27,62.69,52.1,52.51,52.24,2.01,23.67,17.34,4.88,13967067323.0,5340508252.0,0.0,0.0,-25.68,-2.67
10,300214,日科化学,10.26,20.0,1.71,501429.0,482493252.0,20.82,10.26,8.48,8.61,8.55,1.12,10.79,573.95,1.99,4769900820.0,4769900820.0,0.0,0.0,29.55,53.59
11,300141,和顺电气,9.84,20.0,1.64,199382.0,181487967.32,20.49,9.84,8.16,8.2,8.2,3.45,7.83,-94.96,4.1,2537190864.0,2505448598.0,0.0,0.0,-24.66,-21.72
12,301357,北方长龙,86.33,20.0,14.39,70356.0,564720360.62,21.8,86.33,70.65,71.89,71.94,3.54,7.39,-164.98,7.24,8218616000.0,8218616000.0,0.0,0.0,-23.35,-38.73
13,688679,通源环境,40.82,19.99,6.8,72618.0,268122112.0,23.96,40.82,32.67,33.34,34.02,1.57,5.51,2510.79,4.9,5375572534.0,5375572534.0,0.0,2.46,-25.82,53.46
14,688618,三旺通信,30.07,19.99,5.01,39861.0,114394628.0,21.43,30.07,24.7,24.94,25.06,1.27,3.62,-968.6,4.09,3309138789.0,3309138789.0,0.0,0.0,-24.14,13.47
15,301158,德石股份,15.13,19.98,2.52,190699.0,276234558.88,19.67,15.13,12.65,12.68,12.61,3.0,10.03,123.48,2.15,2950579416.0,2877068057.0,0.0,0.0,-17.55,-11.52
16,300472,*ST新元,6.53,17.87,0.99,85653.0,53284802.8,21.84,6.63,5.42,5.42,5.54,2.1,3.48,-22.07,78.16,1797438795.0,1606022992.0,0.0,0.62,-23.63,-15.19
17,300929,华骐环保,14.16,17.61,2.12,110262.0,146440568.32,20.35,14.16,11.71,11.89,12.04,1.06,8.8,-154.95,2.44,1871002657.0,1775102570.0,1.58,1.58,11.41,31.72
18,920193,吉和昌,33.98,15.19,4.48,82769.0,281351255.88,21.59,36.88,30.51,31.33,29.5,1.51,32.84,37.62,5.09,3783020584.0,856296000.0,0.21,0.77,298.83,298.83
19,300407,凯发电气,10.53,14.96,1.37,227901.0,232075140.88,16.27,10.6,9.11,9.22,9.16,2.65,8.8,107.3,1.7,3648004902.0,2728041912.0,0.19,0.57,-17.41,-6.32
20,920000,安徽凤凰,13.2,13.89,1.61,47223.0,63637726.22,14.67,14.74,13.04,14.65,11.59,5.66,8.2,23.27,1.81,1210176000.0,760239810.0,0.46,0.38,-16.03,-31.43
21,300265,通光线缆,14.42,13.1,1.67,674539.0,937404577.58,15.22,14.68,12.74,12.77,12.75,2.47,14.43,420.08,2.88,6742811251.0,6738469028.0,0.21,0.56,-21.89,7.77
22,688485,九州一轨,50.2,12.73,5.67,58015.0,285005701.0,24.43,53.0,42.12,44.78,44.53,1.2,3.86,-433.32,6.03,7544661512.0,7544661512.0,-0.02,-0.26,12.48,181.39
23,301446,福事特,32.3,12.54,3.6,22430.0,69780192.52,14.22,32.99,28.91,28.98,28.7,2.39,7.22,35.93,2.79,3359200000.0,1003561000.0,-0.03,0.16,-17.56,1.38
24,688057,金达莱,17.28,12.43,1.91,113421.0,186330612.0,13.47,17.3,15.23,15.23,15.37,1.13,4.11,88.4,1.53,4769280000.0,4769280000.0,0.06,0.41,42.11,43.76
25,301439,泓淋电力,15.21,11.35,1.55,243748.0,356313637.59,12.81,15.48,13.73,13.95,13.66,3.01,13.3,26.81,1.99,5918238515.0,2787185714.0,0.0,-0.07,-1.55,3.4
26,300191,潜能恒信,31.68,11.31,3.22,374253.0,1167920200.15,12.44,32.94,29.4,29.4,28.46,1.55,16.92,83.1,8.89,10137600000.0,7007457600.0,-0.22,1.05,-22.96,71.89
27,688353,华盛锂电,99.31,11.09,9.91,115928.0,1108522188.0,12.67,99.52,88.19,89.4,89.4,1.22,7.27,40.82,4.49,15839945000.0,15839945000.0,0.02,0.67,-17.19,-12.66
28,300862,蓝盾光电,17.88,11.06,1.78,92216.0,155666652.67,13.42,18.17,16.01,16.1,16.1,1.61,6.09,-95.25,1.68,3300968088.0,2708301605.0,-0.22,0.06,-24.43,-21.85
29,301291,明阳电气,41.18,11.06,4.1,148999.0,582832616.72,14.75,42.0,36.53,36.86,37.08,1.68,9.1,131.6,2.63,12952768648.0,6738980701.0,0.0,-0.46,-25.86,0.05
30,300875,捷强装备,33.55,11.02,3.33,128070.0,411698619.18,20.25,35.88,29.76,29.88,30.22,3.32,14.59,-110.94,3.94,3349455896.0,2945410495.0,0.03,0.06,-12.4,-17.14
31,688275,万润新能,79.9,10.97,7.9,75662.0,583341380.0,10.76,80.38,72.63,72.63,72.0,1.3,6.0,6.28,1.83,10076865194.0,10076865194.0,0.2,0.2,-44.59,5.97
32,688676,金盘科技,70.16,10.91,6.9,216303.0,1453522357.0,11.33,70.5,63.33,63.99,63.26,1.71,4.7,71.73,6.64,32258470978.0,32258470978.0,-0.13,-0.33,-23.78,-21.75
33,301669,高特电子,31.54,10.86,3.09,212105.0,642797049.94,16.56,32.93,28.22,28.22,28.45,1.74,25.9,244.91,8.85,15139200000.0,2582733169.0,-0.03,0.32,345.48,345.48
34,300557,理工光科,24.8,10.76,2.41,65876.0,156405063.23,12.46,25.14,22.35,22.48,22.39,1.48,4.21,111.54,3.94,3896780377.0,3877397094.0,-0.08,-0.44,-7.88,-8.11
35,002514,*ST宝馨,1.6,10.34,0.15,420287.0,65099977.6,9.66,1.6,1.46,1.47,1.45,0.88,7.59,-22.95,-21.82,1152054822.0,886452182.0,0.0,0.0,-61.35,-72.79
