排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日打二板以上表现,BK1645,9049.91,544.8,6.41,39641892000,17.28,2,1,美利云,9.98
2,可燃冰,BK0818,1474.79,88.88,6.41,217467673000,1.51,9,0,鲁阳节能,10.03
3,地热能,BK0622,5987.8,301.46,5.3,129058936000,5.74,7,2,德石股份,19.98
4,特高压,BK0918,2546.39,125.29,5.17,1892255952000,2.9,84,5,宝光股份,10.03
5,锂矿概念,BK1173,1788.85,83.15,4.87,3981235344000,2.9,36,1,国城矿业,10.01
6,昨日涨停_含一字,BK1050,100833.98,4523.14,4.7,782858096000,9.72,37,11,新能股份,9.96
7,昨日首板,BK1630,4491.45,199.43,4.65,473673376000,7.1,23,6,新能股份,9.96
8,昨日连板_含一字,BK1051,32290.5,1406.83,4.56,184720925000,17.65,9,3,爱丽家居,10.03
9,昨日连板,BK0816,21825.81,942.87,4.52,155499838000,23.8,8,2,美利云,9.98
10,电网概念,BK1647,759.89,32.42,4.46,2956916880000,3.77,204,24,顺钠股份,10.01
11,智能电网,BK0581,1927.43,82.32,4.46,2580950544000,3.7,172,25,顺钠股份,10.01
12,资源开采概念,BK1017,1610.4,68.57,4.45,443403424000,1.71,22,0,中曼石油,9.98
13,油气设服,BK0606,1999.11,83.72,4.37,2182339776000,2.18,50,0,杰瑞股份,10.0
14,昨日涨停,BK0815,137674.57,5755.85,4.36,747212912000,5.14,34,10,新能股份,9.96
15,噪声防治,BK1082,1428.54,58.57,4.28,39695163000,3.24,8,0,九州一轨,12.73
16,高压快充,BK1144,1365.09,55.16,4.21,744168064000,4.02,49,8,中能电气,20.04
17,医废处理,BK0914,1124.98,43.78,4.05,193937560000,2.04,30,2,中国天楹,10.02
18,钛白粉概念,BK0805,1284.9,49.99,4.05,188824806000,1.74,11,1,国城矿业,10.01
19,动力电池回收,BK1052,829.09,32.03,4.02,2806621584000,2.5,46,0,杰瑞股份,10.0
20,环氧丙烷,BK1011,643.36,24.19,3.91,602726592000,2.01,22,1,滨化股份,10.09
21,微盘精选,BK1644,746.07,27.77,3.87,96143106000,2.56,52,0,益盛药业,9.97
22,虚拟电厂,BK0958,2012.85,73.35,3.78,1038230224000,2.53,68,5,双杰电气,20.0
