代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,10.86,10.88,10.76,10.77,10.86,-0.83,808079588.87
000021,深科技,38.38,39.99,37.76,37.85,37.67,0.48,11645151564.81
000063,中兴通讯,37.3,38.15,37.13,37.18,37.65,-1.25,3419307030.41
000100,TCL科技,4.27,4.29,4.18,4.23,4.3,-1.63,1891916036.03
000166,申万宏源,4.49,4.51,4.45,4.47,4.52,-1.11,292424599.86
000301,东方盛虹,12.58,12.9,12.54,12.72,12.62,0.79,220574819.32
000333,美的集团,80.72,82.16,80.08,81.5,81.0,0.62,2454297430.45
000338,潍柴动力,33.08,33.15,31.45,32.61,33.15,-1.63,3868303951.3
000408,藏格矿业,78.5,80.63,77.48,79.91,80.16,-0.31,1083035634.71
000425,徐工机械,9.33,9.54,9.1,9.48,9.4,0.85,1376777990.71
000538,云南白药,50.84,51.06,50.68,50.78,50.88,-0.2,242625090.13
000568,泸州老窖,90.15,93.3,90.03,92.2,90.33,2.07,1126264667.68
000617,中油资本,8.5,8.72,8.42,8.62,8.59,0.35,889866411.59
000630,铜陵有色,5.95,5.98,5.77,5.92,6.02,-1.66,1479688653.75
000636,风华高科,33.5,34.95,33.0,34.0,32.37,5.04,5920444943.95
000651,格力电器,39.56,39.72,39.16,39.51,39.56,-0.13,1353385815.56
000657,中钨高新,54.01,55.29,52.72,55.18,53.97,2.24,3733284870.53
000725,京东方Ａ,4.29,4.31,4.24,4.26,4.31,-1.16,2440830456.59
000776,广发证券,19.56,19.63,19.21,19.43,19.51,-0.41,612748661.83
000792,盐湖股份,32.0,33.3,31.76,32.86,32.41,1.39,3521543929.24
000807,云铝股份,30.0,30.79,29.83,30.46,30.01,1.5,1902939069.44
000838,*ST发展,1.86,1.92,1.83,1.89,1.87,1.07,50626741.0
000858,五 粮 液,85.21,86.06,84.54,85.47,85.78,-0.36,2599236030.52
000895,双汇发展,26.3,26.82,26.2,26.28,26.28,0.0,231172752.32
000938,紫光股份,32.29,33.08,31.92,32.21,32.49,-0.86,4414256145.4
000958,电投产融,6.17,6.26,6.1,6.24,6.17,1.13,292065789.91
000977,浪潮信息,71.71,74.25,70.88,71.23,72.23,-1.38,4380958398.02
000988,华工科技,158.41,170.88,158.41,163.42,158.4,3.17,21573382998.7
001280,中国铀业,76.05,76.79,74.11,76.17,76.99,-1.07,810146883.91
001289,龙源电力,17.85,17.85,17.2,17.26,17.86,-3.36,126204245.71
001309,德明利,705.0,717.45,685.0,695.96,699.16,-0.46,8973392492.99
001389,广合科技,176.5,181.0,175.78,179.33,176.32,1.71,1301254847.21
002001,新 和 成,31.42,31.68,31.0,31.21,31.63,-1.33,810973761.78
002008,大族激光,135.8,145.9,135.68,144.54,136.99,5.51,8816772876.15
002027,分众传媒,5.72,5.75,5.62,5.66,5.73,-1.22,920497220.77
002028,思源电气,194.0,206.5,193.14,205.3,194.99,5.29,3843431398.78
002049,紫光国微,79.95,81.99,79.68,81.3,80.97,0.41,3050320660.02
002050,三花智控,51.7,51.72,50.22,50.55,52.33,-3.4,7967857256.86
002080,中材科技,64.13,66.19,62.82,65.21,64.28,1.45,2017411789.95
002142,宁波银行,31.5,31.5,31.06,31.31,31.43,-0.38,530823206.37
002156,通富微电,58.58,63.84,58.55,62.28,58.86,5.81,12287863809.87
002179,中航光电,39.65,41.9,39.65,41.45,39.88,3.94,2800994377.62
002185,华天科技,15.15,16.78,15.05,15.88,15.3,3.79,7931346589.48
002202,金风科技,25.2,25.36,24.69,25.3,25.42,-0.47,2894266691.5
002230,科大讯飞,48.88,48.94,47.88,48.0,49.12,-2.28,1945944527.52
002241,歌尔股份,25.5,25.57,25.02,25.08,25.72,-2.49,2295163204.5
002281,光迅科技,229.01,246.8,226.24,236.4,230.89,2.39,18128303640.82
002311,海大集团,45.58,47.17,45.06,45.09,45.8,-1.55,438742214.24
002352,顺丰控股,35.35,35.96,35.0,35.72,35.29,1.22,826741250.88
002353,杰瑞股份,140.0,141.9,132.18,136.03,138.81,-2.0,2327121017.5
002371,北方华创,618.0,660.0,614.0,656.0,619.7,5.86,10520821530.03
002379,宏桥控股,20.78,21.15,20.16,20.77,20.78,-0.05,473168158.32
002384,东山精密,220.1,225.57,216.05,223.0,222.08,0.41,17268247341.26
002409,雅克科技,116.13,122.98,116.0,120.56,115.96,3.97,4638653632.91
002415,海康威视,32.6,33.5,32.46,32.55,33.38,-2.49,1851762349.12
002428,云南锗业,89.69,95.55,88.74,91.0,90.59,0.45,9483159779.97
002460,赣锋锂业,74.69,78.13,74.0,77.17,76.07,1.45,5089907850.44
002463,沪电股份,102.6,105.3,101.7,103.58,102.6,0.96,4783790583.76
002466,天齐锂业,65.76,69.39,65.26,68.16,66.58,2.37,5131094552.98
002475,立讯精密,72.03,72.6,69.3,70.07,72.4,-3.22,12861203394.9
002484,江海股份,59.87,59.99,57.06,58.6,58.69,-0.15,3398720280.45
002493,荣盛石化,12.0,12.25,11.97,12.13,12.09,0.33,607632441.34
002594,比亚迪,95.3,95.49,93.3,93.36,96.0,-2.75,3900216298.87
002600,领益智造,16.5,16.74,15.8,16.23,16.91,-4.02,5765290667.76
002602,世纪华通,14.66,14.88,14.61,14.73,14.72,0.07,1086220625.39
