代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,10.9,10.99,10.81,10.99,10.93,0.55,1042306455.86
000021,深科技,39.01,39.7,36.28,36.43,39.79,-8.44,6862487715.75
000063,中兴通讯,36.65,36.83,35.06,35.1,36.72,-4.41,5788833394.78
000100,TCL科技,4.27,4.53,4.27,4.4,4.28,2.8,4534573144.12
000166,申万宏源,4.41,4.45,4.36,4.43,4.41,0.45,435509731.78
000301,东方盛虹,12.04,12.46,11.95,12.2,12.05,1.24,238183999.56
000333,美的集团,80.32,82.0,80.29,81.7,80.85,1.05,3058758976.78
000338,潍柴动力,35.18,35.7,32.86,33.7,35.34,-4.64,4923451280.13
000408,藏格矿业,77.0,78.16,75.79,76.05,77.18,-1.46,929427181.29
000425,徐工机械,9.7,9.99,9.68,9.81,9.75,0.62,1225905176.06
000538,云南白药,49.98,50.09,49.41,49.82,49.94,-0.24,548600965.93
000568,泸州老窖,90.91,91.38,89.4,90.4,91.04,-0.7,1270525757.02
000617,中油资本,7.81,7.94,7.71,7.88,7.8,1.03,587289133.19
000630,铜陵有色,6.9,7.05,6.8,6.82,6.9,-1.16,2866898963.54
000636,风华高科,48.98,58.26,48.98,55.05,53.03,3.81,14108174781.57
000651,格力电器,38.9,39.29,38.63,39.09,39.17,-0.2,1898417139.44
000657,中钨高新,68.02,70.8,63.01,63.18,68.0,-7.09,6103847867.52
000725,京东方Ａ,5.12,5.59,5.12,5.36,5.11,4.89,18297384713.54
000776,广发证券,18.9,19.38,18.68,19.0,18.89,0.58,1466517278.14
000792,盐湖股份,30.5,31.02,30.33,30.38,30.77,-1.27,1719367411.75
000807,云铝股份,28.6,29.13,28.32,28.91,28.49,1.47,1744729131.67
000838,*ST发展,1.85,1.93,1.85,1.91,1.89,1.06,49126001.41
000858,五 粮 液,83.95,83.95,82.83,83.41,84.89,-1.74,2332216891.66
000895,双汇发展,25.0,25.14,24.68,25.03,25.02,0.04,348292505.58
000938,紫光股份,29.11,29.89,27.65,27.84,28.64,-2.79,5157391649.5
000958,电投产融,6.14,6.25,6.05,6.2,6.1,1.64,396453681.63
000977,浪潮信息,66.71,67.48,63.86,64.14,64.63,-0.76,6706456538.14
000988,华工科技,154.9,154.92,142.58,143.07,151.92,-5.83,12563483269.56
