序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,601123,N马矿,26.0,290.98,19.35,779923.0,1978792312.0,110.53,30.01,22.66,23.0,6.65,,81.39,38.32,6.51,32099888886.0,2491534708.0,0.0,1.33,290.98,290.98
2,301697,N贝特利,35.9,196.69,23.8,342242.0,1344930207.99,70.08,43.9,35.42,38.5,12.1,,77.8,49.64,5.72,9430930000.0,1579278121.0,-0.11,0.34,196.69,196.69
3,920855,浙江大农,16.82,29.98,3.88,64718.0,105414578.21,32.07,16.82,12.67,12.88,12.94,5.86,9.65,52.9,2.18,1257014661.0,1127560843.0,0.0,0.0,19.12,-5.66
4,920895,花溪科技,26.32,29.98,6.07,109279.0,246771281.83,36.35,26.32,18.96,18.99,20.25,1.84,38.03,2454.12,7.66,1487711680.0,756355208.0,0.0,0.0,79.29,28.64
5,920592,华信永道,28.5,29.96,6.57,127768.0,334519454.43,33.83,28.5,21.08,21.41,21.93,3.74,25.41,-36.65,7.48,2302657500.0,1433142764.0,0.0,0.0,0.64,-27.61
6,920866,绿亨科技,8.02,21.7,1.43,196016.0,146933605.3,32.17,8.5,6.38,6.41,6.59,2.81,17.18,52.64,1.88,1445251318.0,915180638.0,0.25,0.88,20.42,-0.5
7,920403,康农种业,25.85,21.3,4.54,148615.0,359506205.53,30.27,26.98,20.53,20.81,21.31,1.66,22.86,94.03,5.12,2825332310.0,1680325947.0,0.0,1.33,35.41,25.85
8,300189,神农种业,7.55,20.03,1.26,3302167.0,2341424112.14,21.3,7.55,6.21,6.28,6.29,1.02,37.26,-286.36,11.28,7731200000.0,6691190701.0,0.0,0.0,52.22,1.48
9,300413,芒果超媒,20.38,20.02,3.4,1373763.0,2793793895.97,4.24,20.38,19.66,20.38,16.98,6.48,13.45,94.52,1.65,38125290210.0,20822245144.0,0.0,0.0,28.02,-15.65
10,300927,江天化学,34.92,20.0,5.82,274066.0,883347155.92,19.79,34.92,29.16,29.16,29.1,1.14,19.45,42.42,4.94,5041051200.0,4919841436.0,0.0,0.0,54.92,50.26
