排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
457,快手概念,BK0972,1441.46,-5.48,-0.38,287101936000,3.11,12,21,安诺其,1.34
458,地热能,BK0622,5935.52,-23.15,-0.39,119562163000,2.77,5,4,隆华科技,2.81
459,时空大数据,BK1130,1328.87,-5.3,-0.4,271003008000,2.27,14,14,兴民智通,2.08
460,稀土永磁,BK0578,3472.61,-14.81,-0.42,1182959472000,1.84,23,23,隆华科技,2.81
461,AI语料,BK1172,976.47,-4.16,-0.42,402729840000,2.23,12,19,福石控股,3.02
462,新消费,BK1652,873.74,-3.7,-0.42,722561008000,2.34,35,44,赢合科技,2.98
463,碳化硅,BK0977,2148.23,-9.18,-0.43,1449853568000,2.41,21,25,芯朋微,3.56
464,玻璃基板,BK1175,2540.58,-10.98,-0.43,1745465392000,2.47,20,33,华映科技,10.12
465,熔盐储能,BK1103,1044.5,-4.53,-0.43,110673307000,1.53,8,3,天沃科技,1.81
466,传感器,BK0905,2118.88,-9.1,-0.43,2428602048000,2.51,41,87,华培动力,10.02
467,CAR-T细胞疗法,BK0986,1249.25,-5.58,-0.44,900757856000,3.23,13,16,智飞生物,8.67
468,新型工业化,BK1150,1446.74,-6.7,-0.46,2866386960000,1.34,41,62,剑桥科技,10.0
469,IGBT概念,BK1048,1011.79,-4.69,-0.46,2068472384000,1.82,18,24,威孚高科,4.63
470,多模态AI,BK1153,1179.21,-5.58,-0.47,1090491312000,2.16,33,39,亿嘉和,6.06
471,3D打印,BK0619,8374.43,-39.52,-0.47,1410950096000,2.52,33,46,爱迪特,9.35
472,东数西算,BK1064,1798.28,-8.48,-0.47,1853392320000,1.71,28,43,同力天启,6.19
473,AI手机,BK1162,1833.12,-8.98,-0.49,1058853456000,1.78,11,19,力芯微,5.33
474,人形机器人,BK1184,1637.71,-8.17,-0.5,6746229760000,1.88,97,187,华培动力,10.02
475,昨日触板,BK0817,15.41,-0.08,-0.52,224210440000,11.66,11,17,联合精密,9.99
476,Kimi概念,BK1169,1005.33,-5.29,-0.52,427571648000,2.22,6,11,ST信源,5.58
477,苹果概念,BK0666,5201.9,-27.32,-0.52,5122793728000,2.09,53,73,恒铭达,6.51
478,数据确权,BK1118,1327.79,-6.95,-0.52,218399948000,2.92,10,22,顶点软件,2.55
479,Web3.0,BK1110,1617.44,-8.84,-0.54,442974032000,2.91,20,28,宇信科技,6.68
480,工业母机,BK1004,2148.16,-12.48,-0.58,1897093728000,1.9,34,54,山东威达,8.18
481,知识产权,BK0839,1951.51,-11.67,-0.59,319008576000,2.43,13,24,莱美药业,4.64
482,数字阅读,BK0959,1476.92,-8.98,-0.6,167701981000,1.77,7,12,平治信息,1.97
483,2025三季报预减,BK1199,1139.38,-7.18,-0.63,60500279000,2.97,3,4,华尔泰,1.38
484,拼多多概念,BK0957,1517.18,-9.81,-0.64,178838310000,2.26,7,20,跨境通,1.51
485,英伟达概念,BK1161,2118.27,-14.31,-0.67,3299116992000,2.52,22,43,罗博特科,7.47
486,机器视觉,BK0998,1936.13,-13.05,-0.67,1094102944000,1.89,31,67,美亚光电,4.31
487,培育钻石,BK1023,2747.34,-19.15,-0.69,275303040000,3.1,7,12,楚江新材,2.06
488,AI制药（医疗）,BK1170,1346.53,-9.47,-0.7,942636976000,2.41,26,46,可孚医疗,3.66
489,长寿药,BK0936,1089.24,-7.75,-0.71,145186017000,3.68,5,8,华润双鹤,1.25
490,同步磁阻电机,BK1131,2052.74,-14.61,-0.71,90204129000,1.77,3,3,英威腾,0.75
491,MLCC,BK0890,4794.85,-35.3,-0.73,951899808000,3.57,10,24,红星发展,2.35
492,麒麟电池,BK1092,1859.89,-13.81,-0.74,1873067840000,1.46,5,3,瑞泰新材,1.06
493,减速器,BK1100,1696.18,-12.76,-0.75,1088801824000,2.19,23,64,德新科技,3.56
494,AI芯片,BK1127,1797.05,-13.59,-0.75,2704405024000,1.74,14,24,澜起科技,3.38
495,盲盒经济,BK0954,1295.28,-11.03,-0.84,109462417000,2.36,4,9,潮宏基,0.63
496,创新医疗服务,BK1658,970.19,-8.42,-0.86,1616570544000,2.19,27,52,开开实业,10.01
497,空间计算,BK1143,1445.99,-15.28,-1.05,160525691000,2.0,8,15,华设集团,1.13
498,机器人执行器,BK1145,1958.35,-21.99,-1.11,636752176000,1.72,7,28,鸣志电器,1.43
499,DRG/DIP,BK1054,887.15,-10.15,-1.13,122147822000,1.98,7,11,科创信息,2.89
500,CRO,BK0899,2252.61,-28.01,-1.23,1131791216000,3.77,12,37,康希诺,20.0
501,昨日炸板,BK1631,504.14,-7.0,-1.37,203894861000,16.09,8,16,联合精密,9.99
502,托育服务,BK1074,871.81,-12.63,-1.43,25607432000,1.21,1,4,时代出版,0.43
503,历史新高,BK1675,1611.73,-33.56,-2.04,190805683000,0.02,0,1,松发股份,-2.04
504,反转股,BK1716,587.33,-15.13,-2.51,67028318000,7.04,1,8,肯特股份,5.47
