排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
106,油气开采Ⅱ,BK1276,3437.58,-70.51,-2.01,1648446208000,1.43,0,5,中国海油,-0.68
107,钢铁,BK0479,7761.63,-159.84,-2.02,821130176000,0.84,4,41,鄂尔多斯,1.48
108,辅料,BK1348,2977.71,-61.71,-2.03,23923506000,2.68,2,2,浔兴股份,1.99
109,视频媒体,BK1296,717.4,-14.99,-2.05,27761496000,1.21,0,1,芒果超媒,-2.05
110,旅游及景区,BK1272,2820.32,-59.08,-2.05,126298336000,1.38,1,26,岭南控股,0.53
111,涤纶,BK1413,1587.0,-33.25,-2.05,74771546000,1.89,3,7,天富龙,3.92
112,摩托车及其他,BK1263,3720.16,-77.96,-2.05,242783833000,1.18,4,16,春风动力,3.88
113,软饮料,BK1586,1900.73,-40.17,-2.07,193770956000,1.88,3,5,养元饮品,1.62
114,跨境物流,BK1488,1578.65,-33.54,-2.08,171938013000,0.81,1,13,嘉友国际,1.07
115,水泥制品,BK1463,1999.9,-42.54,-2.08,28792880000,1.56,0,9,四方新材,-0.26
116,培训教育,BK1557,4912.89,-104.58,-2.08,61667806000,3.55,2,10,学大教育,9.99
117,出版,BK1218,1821.95,-38.91,-2.09,236757943000,1.01,6,22,中原传媒,1.87
118,钢铁管材,BK1368,577.86,-12.4,-2.1,24952469000,0.98,0,3,友发集团,-0.97
119,食品加工,BK1280,4265.04,-91.56,-2.1,229590830000,3.39,4,23,百合股份,10.0
120,金融控股,BK1359,1906.87,-40.95,-2.1,231321472000,0.64,0,9,国投资本,-1.12
121,电动乘用车,BK1519,4362.8,-93.71,-2.1,928229264000,1.01,0,3,比亚迪,-0.97
122,旅游零售Ⅲ,BK1549,5884.13,-127.51,-2.12,118356412000,1.1,0,2,中国中免,-1.86
123,旅游零售Ⅱ,BK1269,5884.13,-127.51,-2.12,118356412000,1.1,0,2,中国中免,-1.86
124,化学制药,BK0465,36664.01,-798.24,-2.13,2449028160000,3.92,23,135,哈三联,9.99
125,燃气Ⅲ,BK1381,1884.69,-41.28,-2.14,262564851000,1.86,6,25,胜利股份,2.17
126,燃气Ⅱ,BK1028,1884.69,-41.28,-2.14,262564851000,1.86,6,25,胜利股份,2.17
127,其他酒类,BK1578,1479.83,-32.45,-2.15,60797385000,1.48,0,11,张  裕Ｂ,-0.25
128,家纺,BK1353,4116.04,-90.5,-2.15,31423596000,1.83,1,6,梦洁股份,1.42
129,铁矿石,BK1371,1704.54,-37.49,-2.15,65913716000,1.42,0,5,广东明珠,-1.44
130,广告媒体,BK1292,2217.71,-48.96,-2.16,79363617000,1.51,1,2,分众传媒,0.4
131,综合电商,BK1548,948.72,-21.29,-2.19,23773431000,0.38,0,2,ST易购,-1.68
132,自然景区,BK1563,2816.34,-63.78,-2.21,57365406000,1.6,0,13,黄山旅游,-0.63
133,房地产开发,BK0451,13451.67,-304.83,-2.22,869557088000,1.8,8,79,盈新发展,3.81
134,长材,BK1369,499.92,-11.36,-2.22,16994441000,0.62,0,3,三钢闽光,-2.03
