代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,10.68,10.78,10.51,10.51,10.71,-1.87,1193370303.56
000021,深科技,44.36,50.27,44.36,50.27,45.7,10.0,9165517683.42
000063,中兴通讯,37.5,38.38,36.8,37.42,38.01,-1.55,6099574723.03
000100,TCL科技,4.8,4.95,4.75,4.85,4.85,0.0,5701700643.2
000166,申万宏源,4.57,4.67,4.47,4.5,4.61,-2.39,746830329.0
000301,东方盛虹,11.92,12.33,11.78,12.03,11.89,1.18,317710908.39
000333,美的集团,78.5,78.7,76.0,76.63,78.07,-1.84,2950191887.16
000338,潍柴动力,29.79,30.42,29.5,29.69,30.06,-1.23,2557210291.76
000408,藏格矿业,72.0,74.18,71.37,73.2,72.5,0.97,1076671516.96
000425,徐工机械,8.68,8.72,8.23,8.33,8.7,-4.25,1558758863.99
000538,云南白药,48.53,49.2,47.49,47.63,48.53,-1.85,514086273.92
000568,泸州老窖,78.7,79.55,76.85,76.87,78.87,-2.54,1052746855.2
000617,中油资本,7.25,7.29,6.99,7.01,7.35,-4.63,811611780.4
000630,铜陵有色,6.88,6.99,6.6,6.94,7.14,-2.8,5530897228.09
000636,风华高科,69.51,73.5,69.0,72.38,70.21,3.09,9351229258.95
000651,格力电器,37.0,37.28,36.7,37.11,37.28,-0.46,1286222529.27
000657,中钨高新,99.86,101.96,94.79,100.08,102.5,-2.36,11846475063.75
000725,京东方Ａ,6.7,7.15,6.57,7.07,6.77,4.43,24997368682.67
000776,广发证券,23.17,23.67,22.42,22.66,23.32,-2.83,4512532169.19
000792,盐湖股份,29.0,31.5,28.9,31.34,29.09,7.73,3995295419.88
000807,云铝股份,24.31,25.2,24.01,24.64,23.93,2.97,1965520475.67
000838,*ST发展,1.49,1.58,1.44,1.58,1.5,5.33,43076508.09
000858,五 粮 液,74.54,75.45,73.28,73.3,74.76,-1.95,2218704130.12
000895,双汇发展,22.79,23.02,22.57,22.57,22.78,-0.92,202364577.91
000938,紫光股份,26.81,27.66,26.69,27.66,26.91,2.79,3160553151.12
000958,电投产融,5.71,5.82,5.68,5.73,5.77,-0.69,172051041.0
000977,浪潮信息,63.74,65.17,62.72,64.8,64.0,1.25,3518877743.27
000988,华工科技,162.0,168.0,161.3,167.89,163.66,2.58,9095336036.1
001280,中国铀业,69.59,70.38,68.8,70.0,70.26,-0.37,514432182.69
001289,龙源电力,16.52,16.69,16.07,16.2,16.51,-1.88,95049485.93
001309,德明利,759.0,816.88,743.51,810.0,755.01,7.28,14330311182.02
001389,广合科技,182.0,185.3,178.89,184.0,182.9,0.6,1489503665.19
002001,新 和 成,29.76,31.08,29.58,30.74,29.75,3.33,1343614192.62
002008,大族激光,136.73,157.74,135.0,152.23,145.11,4.91,17500672231.17
002027,分众传媒,4.92,4.95,4.78,4.8,4.92,-2.44,895419168.34
002028,思源电气,191.14,192.7,184.0,187.0,193.0,-3.11,1912730001.66
002049,紫光国微,81.02,83.85,80.17,83.64,81.91,2.11,3028450354.78
002050,三花智控,43.18,44.56,42.7,43.9,43.19,1.64,3855765815.92
002080,中材科技,76.99,84.48,76.99,84.48,76.8,10.0,5260067753.43
002142,宁波银行,31.02,31.15,30.6,30.85,31.2,-1.12,1168974932.54
002156,通富微电,69.01,74.83,68.2,74.64,68.42,9.09,14557365210.81
002179,中航光电,41.2,42.58,40.51,41.99,41.5,1.18,2131122695.27
002185,华天科技,19.4,21.21,19.08,20.98,19.54,7.37,12201195164.77
002202,金风科技,21.55,22.42,21.04,22.2,21.75,2.07,2590827673.21
002230,科大讯飞,42.25,42.88,41.57,42.6,42.25,0.83,1776292054.24
002241,歌尔股份,22.89,24.16,22.57,23.83,23.07,3.29,2901573358.35
002281,光迅科技,262.47,272.44,260.0,266.36,266.9,-0.2,11228037749.93
002311,海大集团,42.4,42.7,41.0,41.4,42.4,-2.36,345580597.17
002352,顺丰控股,31.22,31.68,30.95,30.98,31.36,-1.21,612687204.87
002353,杰瑞股份,163.9,166.52,158.64,159.14,164.7,-3.38,2475025899.98
002371,北方华创,727.07,774.5,727.0,770.07,747.49,3.02,9923151131.44
002379,宏桥控股,16.3,16.42,15.95,16.19,16.19,0.0,401187354.82
002384,东山精密,252.14,260.97,252.0,257.13,255.02,0.83,14870963289.92
