代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,10.7,10.73,10.65,10.68,10.7,-0.19,1020057083.13
000021,深科技,37.22,37.98,35.9,37.73,36.37,3.74,7072333514.87
000063,中兴通讯,35.11,35.7,34.66,35.64,34.83,2.33,4217793336.36
000100,TCL科技,4.25,4.45,4.13,4.38,4.37,0.23,8329801613.29
000166,申万宏源,4.49,4.5,4.4,4.42,4.47,-1.12,432468455.67
000301,东方盛虹,12.45,12.62,12.33,12.39,12.52,-1.04,324250064.3
000333,美的集团,81.67,82.0,79.89,80.28,81.5,-1.5,2493884551.64
000338,潍柴动力,32.8,34.1,32.79,34.01,32.28,5.36,3368399383.56
000408,藏格矿业,79.15,81.39,78.02,80.96,78.19,3.54,991876360.15
000425,徐工机械,9.64,9.87,9.56,9.65,9.57,0.84,900077854.66
000538,云南白药,50.16,50.25,49.8,49.8,50.13,-0.66,314679699.86
000568,泸州老窖,91.41,91.97,89.69,90.02,91.42,-1.53,704539788.34
000617,中油资本,8.27,8.31,8.07,8.13,8.25,-1.45,859308755.47
000630,铜陵有色,5.81,6.36,5.75,6.36,5.78,10.03,3024948636.99
000636,风华高科,36.89,37.62,36.21,37.62,34.2,10.0,1172661611.76
000651,格力电器,38.9,38.99,38.42,38.74,38.86,-0.31,1495945910.61
000657,中钨高新,57.24,62.38,57.2,62.38,56.71,10.0,5545023114.29
000725,京东方Ａ,4.7,5.16,4.47,5.16,4.69,10.02,29162865531.99
000776,广发证券,19.65,19.66,18.91,19.05,19.32,-1.4,1010905389.76
000792,盐湖股份,32.26,32.98,31.81,32.84,32.28,1.73,2322469614.23
000807,云铝股份,30.5,31.0,30.03,30.76,29.99,2.57,1612758680.49
000838,*ST发展,1.72,1.79,1.72,1.74,1.8,-3.33,43632720.5
000858,五 粮 液,85.58,85.6,84.03,84.03,85.35,-1.55,2196206565.98
000895,双汇发展,25.9,25.98,25.6,25.73,25.88,-0.58,230176062.29
000938,紫光股份,29.62,29.99,29.11,29.86,29.25,2.09,4539277787.06
000958,电投产融,6.12,6.14,6.04,6.06,6.08,-0.33,174516847.0
000977,浪潮信息,67.2,68.58,65.95,68.25,66.31,2.93,3832414140.09
000988,华工科技,155.55,159.14,153.6,156.31,153.96,1.53,14169395950.46
001280,中国铀业,76.41,76.74,74.8,75.95,75.98,-0.04,637440489.04
001289,龙源电力,16.92,17.41,16.67,17.11,16.93,1.06,150380926.5
001309,德明利,671.0,680.39,651.02,674.0,656.1,2.73,8845020880.17
001389,广合科技,181.2,196.79,180.2,195.01,178.9,9.01,2544204769.49
002001,新 和 成,31.0,31.86,30.79,31.59,30.64,3.1,876928696.69
002008,大族激光,139.74,150.0,139.74,146.28,142.59,2.59,8245239380.28
002027,分众传媒,5.61,5.62,5.45,5.51,5.58,-1.25,1168191399.94
002028,思源电气,201.01,201.85,196.18,197.14,198.82,-0.84,1473033977.56
002049,紫光国微,78.4,79.98,77.55,79.73,77.89,2.36,2512936785.13
002050,三花智控,52.51,54.15,51.7,54.05,52.83,2.31,12369099250.4
002080,中材科技,65.0,71.28,65.0,71.28,64.8,10.0,3457930137.37
002142,宁波银行,31.45,31.53,31.07,31.09,31.53,-1.4,644452953.07
002156,通富微电,61.81,64.34,60.13,63.44,61.76,2.72,12527684547.77
002179,中航光电,41.07,41.71,40.8,41.27,40.8,1.15,1364307610.64
002185,华天科技,15.43,15.52,14.68,15.43,15.19,1.58,5173137730.66
002202,金风科技,24.74,25.25,24.3,25.2,24.73,1.9,2906885850.65
002230,科大讯飞,47.58,47.88,46.77,47.35,47.2,0.32,1949517529.13
002241,歌尔股份,24.99,25.59,24.3,25.56,24.94,2.49,3238383448.06
002281,光迅科技,213.0,219.18,210.0,215.87,217.3,-0.66,14591512680.39
002311,海大集团,45.46,46.32,44.58,45.68,45.13,1.22,563656304.96
002352,顺丰控股,35.4,35.45,35.0,35.15,35.48,-0.93,764275814.17
002353,杰瑞股份,133.2,136.5,131.23,133.25,132.98,0.2,2464328602.87
002371,北方华创,663.03,673.0,637.0,669.0,662.99,0.91,12983362651.06
002379,宏桥控股,20.87,21.26,20.48,20.94,20.66,1.36,485704703.3
002384,东山精密,210.92,221.73,210.92,220.55,206.97,6.56,18374458405.73
002409,雅克科技,114.75,118.18,110.32,116.5,113.9,2.28,3928009325.54
002415,海康威视,31.8,31.94,31.29,31.83,31.63,0.63,1322985375.32
002428,云南锗业,86.11,87.95,84.22,87.1,83.8,3.94,7138313314.31
002460,赣锋锂业,75.36,76.45,74.14,75.9,75.33,0.76,2706856234.65
002463,沪电股份,106.0,114.07,106.0,114.07,103.7,10.0,11400045606.38
002466,天齐锂业,65.78,66.83,64.68,66.52,65.78,1.12,3379785047.64
002475,立讯精密,69.5,72.88,68.9,72.4,67.87,6.67,13302102231.43
002484,江海股份,58.0,61.06,56.33,60.5,55.51,8.99,3445782562.89
002493,荣盛石化,11.62,11.66,11.28,11.45,11.52,-0.61,621206406.63
002594,比亚迪,93.55,94.19,92.61,93.75,93.51,0.26,2510615943.9
002600,领益智造,15.7,16.47,15.21,16.31,15.52,5.09,4975549021.86
002602,世纪华通,14.5,14.57,14.21,14.41,14.4,0.07,1226967752.52
002648,卫星化学,24.99,25.2,24.37,24.68,24.85,-0.68,1016808573.15
002653,海思科,52.6,52.6,50.15,51.12,52.15,-1.98,172175347.22
002709,天赐材料,57.71,58.89,55.81,58.08,57.71,0.64,6410156073.1
002714,牧原股份,39.8,39.94,38.65,38.84,39.49,-1.65,1760360511.3
002736,国信证券,10.25,10.28,10.07,10.09,10.22,-1.27,320106304.57
002816,*ST和科,25.4,26.57,25.18,26.57,25.3,5.02,151240865.65
002837,英维克,102.44,106.35,100.77,104.94,100.53,4.39,4161824521.48
002851,麦格米特,116.72,120.72,116.72,120.33,116.69,3.12,1933178045.94
002916,深南电路,357.63,378.27,357.29,378.27,343.88,10.0,5585495347.87
002938,鹏鼎控股,103.92,103.93,103.88,103.93,94.48,10.0,1527127023.97
003816,中国广核,4.4,4.49,4.37,4.47,4.4,1.59,623780725.97
159516,半导体设备ETF国泰,1.268,1.288,1.23,1.282,1.27,0.94,4572130402.915
159558,半导体设备ETF易方达,2.966,3.024,2.888,3.007,2.981,0.87,1581113854.544
300014,亿纬锂能,64.6,64.84,63.5,64.38,63.95,0.67,2906335527.0
300015,爱尔眼科,9.33,9.4,9.16,9.18,9.36,-1.92,866732374.0
300033,同花顺,236.0,239.49,224.36,226.87,236.2,-3.95,5663855528.0
300054,鼎龙股份,74.0,75.45,70.1,73.0,72.98,0.03,3383247100.0
300059,东方财富,19.96,20.09,19.36,19.5,19.98,-2.4,8405438741.0
300124,汇川技术,77.87,79.36,76.3,78.99,77.77,1.57,3871943450.0
300136,信维通信,106.0,120.6,104.06,118.98,109.55,8.61,12765083333.0
300223,北京君正,133.0,139.34,132.07,138.4,130.72,5.88,4392581925.0
300274,阳光电源,168.0,171.94,162.5,164.51,165.38,-0.53,14837255184.0
300285,国瓷材料,42.61,48.98,42.61,48.4,41.53,16.54,5439216946.0
300308,中际旭创,1010.04,1044.87,1006.18,1037.98,993.34,4.49,21509318911.0
300394,天孚通信,346.0,375.0,345.18,372.5,337.21,10.47,20691160951.0
300408,三环集团,104.99,118.0,104.68,115.0,98.47,16.79,9261375803.0
300433,蓝思科技,35.86,38.55,35.26,38.4,36.51,5.18,8235808884.0
300442,润泽科技,92.9,93.8,90.51,93.35,91.58,1.93,4655883526.0
300475,香农芯创,181.21,187.86,179.22,187.69,177.75,5.59,6614741121.0
300476,胜宏科技,346.04,375.5,346.04,375.5,331.4,13.31,28996147579.0
300498,温氏股份,14.35,14.41,13.6,13.78,14.28,-3.5,1263925543.0
300502,新易盛,577.33,613.88,570.0,606.77,566.0,7.2,23856790585.0
300555,ST路通,13.94,14.45,13.81,14.36,13.72,4.66,37231237.0
300567,精测电子,195.0,196.0,180.88,195.3,190.83,2.34,3016876307.0
300604,长川科技,237.71,241.77,229.5,236.02,234.77,0.53,8186842432.0
300620,光库科技,254.19,270.85,254.1,266.18,249.9,6.51,4026414282.0
300661,圣邦股份,111.0,112.5,108.35,111.01,109.62,1.27,2095968515.0
