代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
000001,平安银行,11.06,11.09,11.02,11.07,11.06,0.09,476801864.0
000010,*ST美丽,3.66,3.66,3.56,3.58,3.62,-1.1,62622075.0
000021,深科技,28.4,28.77,28.08,28.12,28.69,-1.99,1097117736.0
000063,中兴通讯,37.58,37.88,37.31,37.35,37.58,-0.61,1972593942.0
000100,TCL科技,4.82,4.85,4.71,4.72,4.83,-2.28,1690832619.0
000166,申万宏源,5.1,5.12,5.09,5.09,5.1,-0.2,265964208.0
000301,东方盛虹,12.76,13.52,12.61,13.2,12.76,3.45,513864717.0
000333,美的集团,80.0,80.21,79.6,79.69,80.19,-0.62,1581382077.0
000338,潍柴动力,25.64,26.44,25.58,25.97,25.89,0.31,2270345421.0
000408,藏格矿业,84.56,86.2,84.5,84.84,85.04,-0.24,892654887.0
000425,徐工机械,11.98,12.24,11.95,12.1,11.95,1.26,1003288047.0
000538,云南白药,57.25,57.45,57.1,57.21,57.25,-0.07,270260641.0
000568,泸州老窖,118.18,118.74,117.0,117.94,118.19,-0.21,1008430171.0
000617,中油资本,8.89,8.97,8.87,8.89,8.89,0.0,327001212.0
000630,铜陵有色,7.06,7.29,7.04,7.18,7.11,0.98,3139994787.0
000636,风华高科,21.24,22.0,21.0,21.06,21.24,-0.85,1241241100.0
000651,格力电器,38.78,38.86,38.69,38.72,38.8,-0.21,706297155.0
000657,中钨高新,48.04,52.37,47.91,52.37,47.61,10.0,4778793345.0
000725,京东方Ａ,4.31,4.34,4.28,4.29,4.32,-0.69,1601277108.0
000776,广发证券,21.64,21.65,21.4,21.5,21.62,-0.56,543152100.0
000792,盐湖股份,32.94,34.19,32.85,33.92,32.94,2.98,2389763147.0
000807,云铝股份,31.53,32.43,31.53,32.04,31.61,1.36,1148748252.0
000838,*ST发展,2.69,2.71,2.64,2.66,2.69,-1.12,94748300.0
000858,五 粮 液,106.31,106.65,105.85,106.04,106.5,-0.43,1219688888.0
000895,双汇发展,26.72,26.8,26.55,26.69,26.71,-0.07,157304374.0
000938,紫光股份,25.18,25.42,25.1,25.13,25.31,-0.71,692789201.0
000958,电投产融,6.46,6.57,6.45,6.47,6.45,0.31,158539716.0
000977,浪潮信息,62.2,63.0,61.71,62.08,62.0,0.13,2278916077.0
000988,华工科技,75.97,76.88,74.74,74.82,76.43,-2.11,2043788770.0
001280,中国铀业,91.3,96.58,91.3,93.35,92.59,0.82,2025668884.0
001289,龙源电力,15.52,15.6,15.46,15.57,15.51,0.39,47324284.0
001309,德明利,234.89,240.68,234.65,235.97,237.55,-0.67,1666987577.0
001389,广合科技,101.14,103.04,99.5,101.21,101.65,-0.43,418242798.0
002001,新 和 成,29.82,30.99,29.78,30.45,29.95,1.67,1633767395.0
002008,大族激光,50.01,51.28,49.56,49.78,50.21,-0.86,722444012.0
002027,分众传媒,7.48,7.54,7.42,7.47,7.48,-0.13,986707234.0
002028,思源电气,206.9,210.33,204.24,206.6,208.0,-0.67,1038123455.0
002049,紫光国微,77.79,77.97,77.21,77.31,77.94,-0.81,932184596.0
002050,三花智控,52.6,53.2,52.0,52.16,53.3,-2.14,5102572654.0
002080,中材科技,42.66,45.34,42.49,45.34,41.22,10.0,1330299439.0
002102,ST能特,3.48,3.64,3.45,3.54,3.48,1.72,213432154.0
002142,宁波银行,32.0,32.3,31.68,31.95,32.3,-1.08,1047933740.0
002156,通富微电,48.0,48.66,47.61,47.77,48.16,-0.81,2139791346.0
002179,中航光电,34.37,34.77,34.22,34.3,34.57,-0.78,777212252.0
002185,华天科技,14.03,14.23,13.78,13.8,13.85,-0.36,2132536545.0
002202,金风科技,25.65,26.13,25.4,25.46,25.67,-0.82,3442629687.0
002230,科大讯飞,56.51,57.16,56.38,56.47,56.86,-0.69,2359057319.0
002241,歌尔股份,26.43,26.56,26.3,26.31,26.62,-1.16,1251079311.0
002281,光迅科技,70.3,71.95,69.75,69.93,70.89,-1.35,1436524890.0
002311,海大集团,53.88,54.7,53.4,54.49,53.97,0.96,329959765.0
002352,顺丰控股,38.81,38.85,38.44,38.56,38.82,-0.67,781443147.0
002353,杰瑞股份,95.68,98.14,94.98,96.3,95.8,0.52,1369875303.0
002371,北方华创,478.8,481.0,471.0,475.0,482.9,-1.64,2115590183.0
002379,宏桥控股,31.08,31.77,30.78,31.3,30.92,1.23,678983364.0
002384,东山精密,76.5,77.49,72.21,72.33,77.03,-6.1,4670420611.0
002409,雅克科技,89.4,91.25,89.04,89.65,90.02,-0.41,512156030.0
002415,海康威视,32.81,32.9,32.37,32.4,32.86,-1.4,1348595724.0
002428,云南锗业,34.65,35.72,34.65,35.09,35.11,-0.06,940474483.0
002460,赣锋锂业,65.09,66.9,64.9,66.65,65.03,2.49,2280661706.0
002463,沪电股份,71.76,72.75,69.31,69.41,72.26,-3.94,3319244377.0
002466,天齐锂业,50.24,51.33,50.08,51.15,50.19,1.91,1866072401.0
002475,立讯精密,51.39,51.92,51.02,51.15,51.69,-1.04,3542639012.0
002484,江海股份,29.74,30.19,29.15,29.35,29.85,-1.68,449715273.0
002493,荣盛石化,14.77,15.77,14.69,15.41,14.83,3.91,1237101770.0
002565,顺灏股份,16.1,16.63,15.71,15.73,16.55,-4.95,1811110304.0
002594,比亚迪,90.88,92.95,90.88,92.28,90.81,1.62,3662117779.0
002600,领益智造,15.29,15.34,15.08,15.1,15.3,-1.31,1139782693.0
002602,世纪华通,19.14,19.41,18.94,19.24,19.04,1.05,2134517437.0
002648,卫星化学,22.4,23.59,22.3,22.84,22.41,1.92,1566426729.0
002653,海思科,49.28,50.36,49.0,49.4,49.2,0.41,110590718.0
002709,天赐材料,40.89,41.81,40.66,41.51,40.91,1.47,1995654539.0
002714,牧原股份,45.88,46.17,45.35,46.03,45.92,0.24,1308787202.0
002736,国信证券,12.53,12.65,12.48,12.56,12.54,0.16,361097588.0
002816,*ST和科,25.18,25.18,24.16,24.38,25.06,-2.71,92228053.0
002837,英维克,104.11,106.5,99.06,99.5,103.79,-4.13,4076873318.0
002851,麦格米特,117.9,119.09,113.6,113.93,117.91,-3.38,1639615125.0
002916,深南电路,246.35,247.5,238.0,241.46,246.69,-2.12,1378233623.0
002938,鹏鼎控股,58.03,58.49,56.58,56.77,58.61,-3.14,1397651423.0
003816,中国广核,3.91,3.92,3.88,3.89,3.9,-0.26,307898905.0
159516,半导体设备ETF国泰,1.811,1.825,1.798,1.803,1.822,-1.04,661651142
159558,半导体设备ETF易方达,2.135,2.139,2.108,2.114,2.135,-0.98,231160195
300014,亿纬锂能,63.22,64.8,62.9,63.79,63.37,0.66,1978418468.0
300015,爱尔眼科,10.7,10.79,10.67,10.72,10.7,0.19,663238866.0
300024,机器人,17.56,17.69,17.5,17.56,17.66,-0.57,295143374.0
300033,同花顺,348.78,348.78,342.35,344.8,349.59,-1.37,1663486226.0
300054,鼎龙股份,44.03,45.58,44.0,44.58,44.47,0.25,514663529.0
300059,东方财富,22.85,22.94,22.73,22.77,22.89,-0.52,3410394918.0
300124,汇川技术,78.0,78.0,75.38,75.45,78.37,-3.73,2631589512.0
300136,信维通信,78.81,81.68,76.2,76.2,78.8,-3.3,7458830234.0
300152,*ST动力,2.46,2.49,2.38,2.39,2.53,-5.53,187635835.0
300223,北京君正,120.5,122.22,119.15,120.7,122.19,-1.22,1603324814.0
300274,阳光电源,154.71,155.49,149.58,152.2,155.49,-2.12,7296757022.0
300285,国瓷材料,30.48,32.8,30.39,31.4,30.5,2.95,1161734441.0
300308,中际旭创,551.01,554.0,522.53,531.91,555.71,-4.28,21161447644.0
300394,天孚通信,286.8,299.24,285.0,288.5,287.87,0.22,10085141018.0
300408,三环集团,56.03,57.77,56.03,57.12,56.75,0.65,1169174629.0
300433,蓝思科技,34.95,35.22,34.4,34.49,35.1,-1.74,1950305673.0
300475,香农芯创,134.5,135.28,132.36,132.97,137.28,-3.14,2599987586.0
300476,胜宏科技,266.44,270.0,262.31,263.4,268.5,-1.9,4611506192.0
300498,温氏股份,15.78,15.83,15.65,15.77,15.79,-0.13,479286817.0
300502,新易盛,390.1,393.5,368.14,371.66,393.11,-5.46,16651302485.0
300555,ST路通,14.73,14.76,14.41,14.46,14.64,-1.23,31836331.0
300567,精测电子,132.0,136.36,129.49,132.11,131.55,0.43,1378247707.0
300594,ST朗进,26.28,26.84,26.08,26.66,26.43,0.87,58094818.0
300604,长川科技,128.0,130.5,126.78,128.9,128.2,0.55,1916258561.0
300620,光库科技,177.6,184.84,176.0,176.88,180.95,-2.25,2656012080.0
300661,圣邦股份,69.29,69.86,68.88,68.91,69.29,-0.55,675359619.0
300666,江丰电子,129.8,133.35,126.0,130.69,132.2,-1.14,1924029751.0
300750,宁德时代,366.9,370.99,364.5,368.0,364.97,0.83,7239804071.0
300751,迈为股份,308.0,314.92,300.0,306.07,308.11,-0.66,2868227194.0
